Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Colonna3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;dubbi;Commenti
KPS004;#3550;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1112577&end=1116759;1112577;1116759;KPS004;;0,084895833;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;il pastore ne mangiava di meno // perchè era molto pesante a digerire // ah okay // sì sì // perchè era senza lievito //;comunque;tu non hai ha~ hai sentito problemi di digestione quando mangi l''orzo? // no no // ma eh in realtà io forse faccio di più il;;;;1;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;
KPS004;#3875;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1188164&end=1188938;1188164;1188938;KPS004;;0,084895833;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;// per la zuppa mischiato al latte // mh // mh cotto // sì caso mai caso mai // eh scusa cappuc~ // cappuccino d''orzo //;comunque;// beh tipo la caro da piccola lo prendeva delle volte quando eravamo in vacanza // per non bere il caffè // ma a me non mi è;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;
KPS004;#5342;doc#0;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1615363&end=1616761;1615363;1616761;KPS004;;0,084895833;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;piccoli? // e quindi // delle scuole medie eh elementa~ no medie eh medie proprio // mh roba delle // settantacinque? //;comunque;c''ho quelle del kenya // sì ma infatti lo zio // non me lo immaginavo // eh allora eh allora e loro poi son andati hanno fatto;;;;1;1;;1;;;;;;;;;1;;;;;;;;;;;;;;0;;tentativo (fallito) di presa di turno
PBB024;#29372;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1576493&end=1582026;1576493;1582026;PBB024;;0,025868056;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;però // quando poi sono andata in @nomeazienda mi son resa conto che ho ho fatto bene a farlo nonostante avessi paura;comunque;perché poi un anno e mezzo // conoscevi tutti sapevi il lavoro eh // e quindi ogni tanto ci vuole un po'' di // eh // coraggio?;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
PBB024;#30060;doc#1;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1824296&end=1826952;1824296;1826952;PBB024;;0,025868056;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;se ne hai la possibilità // mh // o comunque // sì sì // mh un paio di volte alla settimana sì // okay bene quindi abbastanza;comunque;// sì sì sì sì sì d''inverno diciamo che // facciamo una media un po'' più // bassa perché // quando si è a casa al calduccio che;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;1;;0;;"""l'ho fatto lo stesso"" - congiunzione, connettivo testuale con valore di ripresa avversativa"
TOA3011;#33451;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=476896&end=478113;476896;478113;TOA3011;;0,016597222;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;4;conversazione libera;// ma perché? // perché comunque in età cioè nel senso // grazie // aspetta no non è vero hai ragione // no vabbè è ug~ // età;comunque;sta c~ // cioè il problema è che non è // scusami età è comunque // non è un morfema unico? // ma non deve avere qualche;  ;    ;   ;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;1;;
TOA3011;#35147;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=848449&end=852736;848449;852736;TOA3011;;0,016597222;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;4;conversazione libera;fine sì // secondo me costa meno che // fare tutto sto bordello della vita // mi sa quindici al giorno aveva chiesto // ma;comunque;non cambia un cazzo perché anche senza cane non esistono i mezzi di trasporto // ma no senza cane ci arrangiamo ma figura~;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOA3011;#35367;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=889393&end=892174;889393;892174;TOA3011;;0,016597222;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;4;conversazione libera;se non conosci il posto cosa fai // con lo zaino muori // segui le statali? // no no no // in effetti // beh l'' abbiam fatto eh;comunque;in bici // non è bello // ma no lì eravamo nei castelli della loira ma figurte // le piste ciclabili che non esistevano ma;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;"""ma comunque"" - congiunzione"
TOA3011;#35926;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=1017859&end=1019471;1017859;1019471;TOA3011;;0,016597222;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;lombardia;laurea in corso;4;conversazione libera;cazzo // // // il nostro gruppo whatsapp si chiama kandinsky''s family // grande // bello // veramente? // sì // beh bello;comunque;// e no e comunque sta avendo le mestruazioni e questa cosa mi sta turbando molto // ma perché io in prima persona non ho mai;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOA3011;#36519;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=1147436&end=1151401;1147436;1151401;TOA3011;;0,016597222;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;4;conversazione libera;// perché co~ cioè l'' importante è trovare qualcuno che sia affidabile e che magari l'' ha già fatto // che ti piace // però;comunque;a quel prezzo lo trovi tranquillamente secondo me // potrei potrei pagare anche alessia // ma alessia è qua? // xxx tanto;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA004;#39394;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=600728&end=604050;600728;604050;PBA004;;0,039756944;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;sempre via per lavoro // ehm // sono a casa praticamente il fine settimana // a // attualmente andare in~ in affitto // o;comunque;prendermi un appartamento andare in affitto per conto mio // lo vedo più come una questione diciamo // non ti conviene //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;"""però comunque"" - congiunzione"
PBA004;#42307;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1512970&end=1515040;1512970;1515040;PBA004;;0,039756944;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;;comm;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;che in~ durante la settimana è peggio // perchè // ah sì // sì perchè // contrario di lui // e sì perchè cioè mhmh // lavoran~;comunque;noi chiudiamo alle due no? // quindi vedi che // ah // le persone che sono fuori a quell''ora son poche però è gente che //;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;"""o comunque"" - congiunzione"
PBA004;#42570;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1587270&end=1591840;1587270;1591840;PBA004;;0,039756944;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;;stud;;;calabria;laurea in corso;4;intervista semistrutturata;// eh sì // sta sve~ cioè sta sveglia fino a tardi // non so che fauna ci sia qua però // no e in realtà a me piace perchè di là;comunque;c''è vita invece da questa parte // calmissimo // mh // però mh // e sono carini i locali di là diciamo che a volte ci sono //;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;
PBA004;#44998;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2375100&end=2380390;2375100;2380390;PBA004;;0,039756944;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;frenare forse perchè mentre io scendevo da questa discesa // mi ha attravers~ cioè mi è passato davanti un bimbo o lei;comunque;qualcuno c''era un ostacolo // // e niente io ho dovuto frenare // però i freni della bici // forse era un motivo per cui;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;"""in ogni caso"" - avverbio"
PBA004;#45214;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2435500&end=2440420;2435500;2440420;PBA004;;0,039756944;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;non mi ricordo se fo~ forse però era il freno della bici // dici // forse era il freno della bici comunque o o il freno o;comunque;il manubrio della bici o una di queste pietre // della bici io mi ricordo che // // me lo sono conficcato // poi è caduto;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD2001;#50772;doc#4;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2001&begin=770496&end=773413;770496;773413;BOD2001;;0,011099537;;https://search.corpuskiparla.it/corpus/conversations/BOD2001.html;https://search.corpuskiparla.it/corpus/conversations/BOD2001_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;che veramente vive in quel posto cioè potrebbero intervenire in qualche modo? // mh // s~mh // forse sì nel senso che;comunque;quando // quando ho cercatomh un a~ un alloggio là // eh diciamo chemh l'' università proprio diceva noi non cimh;;;;1;1;1;;;;;;;;;;1;;1;;;;;;;;;;;;0;;
PBB021;#57957;doc#6;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB021&begin=791460&end=799150;791460;799150;PBB021;;0,021678241;;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;// frequenti che magari ci sono parecchie amicizie o che comunque conosci bene // allora // fr~ il pratello lo frequento;comunque;con qualche amico principalmente d''estate primavera così che andiamo // ah okay quindi okay va bene // e andiamo ogni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
PBB021;#60619;doc#6;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB021&begin=1733630&end=1735740;1733630;1735740;PBB021;;0,021678241;;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021_jefferson.html;36-40;M;;uff;;;emilia-romagna;med;3;intervista semistrutturata;così // no non io n~ io credo di non averne mai conosciute di persone che studiano una determinata di~ // studiano boxe o;comunque;praticano boxe // per poi andare a fare i cretinetti fuori ecco per capirci // cioé non non ho memoria di questa roba qua //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;ERR
PBC010;#62981;doc#7;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=741800&end=748700;741800;748700;PBC010;;0,031319444;;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;mi sono chiesta appunto eh io non conoscevo questi luoghi e neanche la maggior parte dei ragazzi ma // dato che sono;comunque;un po'' di anni anche se questo progetto è più recente però in generale che vi occupate di // sì // mantenere viva la memoria;;;;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;0;;
PBC010;#67228;doc#7;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=2311320&end=2314920;2311320;2314920;PBC010;;0,031319444;;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;// // è~ è anche bene che ciascuno segua qualcosa e faccia girare gli altri // xxxx // sì sì sì no certo certo // e quindi son;comunque;sono tutti finanziati dal comune questi progettti // eh // xx // allora in parte s~ dal quartiere porto saragozza // mh //;;;;1;1;;;;;;;;;;;1;;;;;;;;;1;;;;;0;;
PBC010;#67931;doc#7;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=2554070&end=2556894;2554070;2556894;PBC010;;0,031319444;;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;pezzo manualmente // sì // eh abbiam visto insomma che i ragazzi son stati molto affascinati da questa cosa // quindi sì;comunque;appunto da quello che ho capito in generale // che sia il pro~ questo proge~ cioè questi progetti sulla memoria che altri;;;;1;1;1;;;;;;;;;;1;;;;;;;;;;;;;;1;;
KPC002;#82530;doc#11;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=1044457&end=1049295;1044457;1049295;KPC002;;0,034479167;;https://search.corpuskiparla.it/corpus/conversations/KPC002.html;https://search.corpuskiparla.it/corpus/conversations/KPC002_jefferson.html;51-55;M;;intell;;;toscana;phd;3;pasto;nuo~ // io ero quel giorno ero a scuola io quel giorno ero a scuola tutta la mattina ero // // esatto no ma a maggior ragione;comunque;sì si manda la foto delle due nuore // si manda le due // se poi son state loro io no io son maschio e lì c''è la foto d''una donna;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
KPC002;#83059;doc#11;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC002&begin=1173552&end=1175153;1173552;1175153;KPC002;;0,034479167;;https://search.corpuskiparla.it/corpus/conversations/KPC002.html;https://search.corpuskiparla.it/corpus/conversations/KPC002_jefferson.html;21-25;M;;stud;;;toscana;laurea in corso;3;pasto;no // ma scusa una cesta per buttare la b~ la biancheria la metterai nel bagnetto // dai fra la cesta in camera eh // va bene;comunque;i~ // bagnetto // ma scusate ma c''è dieci metri eh // c''ha bisogno d''avere lì la cesta per i panni sporchi in camera? io non;;;;1;1;1;1;;;;;;;;;1;;;;;;;;;;;;;;0;;
BOD2005;#107504;doc#13;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2005&begin=835602&end=838000;835602;838000;BOD2005;;0,023009259;;https://search.corpuskiparla.it/corpus/conversations/BOD2005.html;https://search.corpuskiparla.it/corpus/conversations/BOD2005_jefferson.html;21-25;F;;stud;;;basilicata;laurea in corso;3;intervista semistrutturata;però boh un po'' // insipidi non so come cioè // ma da dove venivano erano di palermo? // tutti // sì pa~ erano siciliani;comunque;// palermo e dintorni // eh se non palermo dintorni che poi ti sposti // esatto // quindi capito cioè noi xxx da dove vieni;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
KPN009;#130643;doc#17;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN009&begin=941012&end=943653;941012;943653;KPN009;;0,026527778;;https://search.corpuskiparla.it/corpus/conversations/KPN009.html;https://search.corpuskiparla.it/corpus/conversations/KPN009_jefferson.html;16-20;M;;stud;;;sicilia;laurea in corso;4;pasto;i baccelli dici // xx // non proprio mh s ni ni s sì le assomigliano però mh quelle fave sono più acide // cioè più // fava // //;comunque;il pokè con il riso venere è il più buono vero? // sì // ma in realtà io sono per il riso sushi // perchè è come mangiare un;;;;1;1;;1;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBA021;#137720;doc#18;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA021&begin=1175915&end=1178075;1175915;1178075;PBA021;;0,031608796;;https://search.corpuskiparla.it/corpus/conversations/PBA021.html;https://search.corpuskiparla.it/corpus/conversations/PBA021_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;// non dico tanto bologna centro perchè magari // ci son tanti fuorisede è diverso no? parlare del centro // è vuoto;comunque;d''estate il centro di bologna // però tutti i provinciali come me // vanno al mare // o per lo meno la maggior parte // e;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
PBA021;#140040;doc#18;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA021&begin=1949195&end=1952250;1949195;1952250;PBA021;;0,031608796;;https://search.corpuskiparla.it/corpus/conversations/PBA021.html;https://search.corpuskiparla.it/corpus/conversations/PBA021_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;il mercato immobiliare qui a bologna? // eh // è caro // nel senso che vabbè in provincia non tanto // nel senso che noi;comunque;la nostra casa // quando ci siam trasferiti adesso parlo di trasferirsi perchè // ci siam trasferiti da poco da una casa;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBA021;#140817;doc#18;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA021&begin=2215161&end=2218003;2215161;2218003;PBA021;;0,031608796;;https://search.corpuskiparla.it/corpus/conversations/PBA021.html;https://search.corpuskiparla.it/corpus/conversations/PBA021_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;difficile organizzarsi poi c''è da dire che più si cresce più // le persone con cui sei legata hanno altre ambizioni //;comunque;siam messi tutti nella stessa situazione alla fine // io non sono una persona troppo festaiola nel senso che a me piace;;;;1;1;;;;;;;;;;;1;;;;;;;;1;;;;;;0;;
KPS015;#142633;doc#19;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS015&begin=78756&end=79935;78756;79935;KPS015;;0,027789352;;https://search.corpuskiparla.it/corpus/conversations/KPS015.html;https://search.corpuskiparla.it/corpus/conversations/KPS015_jefferson.html;76-80;F;;pens;;;campania;laurea;3;pasto;sì però loro sono specializzati nella mortadella // eh eh eh // quindi non posso andarci perchè non mi piace // eh eh // sì;comunque;// // mhmh prendo i // fazzoletti // vai mettilo a tavola // mettilo a tavola quello là // metto a tavola? // xx // xx //;;;;1;1;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;
KPS015;#146633;doc#19;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS015&begin=1114397&end=1116196;1114397;1116196;KPS015;;0,027789352;;https://search.corpuskiparla.it/corpus/conversations/KPS015.html;https://search.corpuskiparla.it/corpus/conversations/KPS015_jefferson.html;21-25;F;;stud;;;sardegna;laurea in corso;3;pasto;deve attraversare eh // è vicinissimo // però però la strada di~ è è molto g~ ampia // eh eh sì // infatti cioè è lunghissima;comunque;// cioè per ar~ lui comunque // è molto vicino // nel senso che // è in centro praticamente no? // ah // ah ah ah // però ci;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;Funzione fatica
KPS015;#146965;doc#19;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS015&begin=1200078&end=1201958;1200078;1201958;KPS015;;0,027789352;;https://search.corpuskiparla.it/corpus/conversations/KPS015.html;https://search.corpuskiparla.it/corpus/conversations/KPS015_jefferson.html;21-25;F;;stud;;;sardegna;laurea in corso;3;pasto;abbiamo preso il monopattino per andare in centro no? // e mi ha detto // stavamo per entrare in una // in una stradina;comunque;con la discesina // e quindi matteo mi ha detto // no qua fai piano vai più piano perchè potresti cadere // oh // e io anzichè;;;;1;1;;;;;;;;;;;;;;1;;;;;;1;;;;;0;;
KPS015;#150451;doc#19;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS015&begin=2065220&end=2068175;2065220;2068175;KPS015;;0,027789352;;https://search.corpuskiparla.it/corpus/conversations/KPS015.html;https://search.corpuskiparla.it/corpus/conversations/KPS015_jefferson.html;21-25;F;;stud;;;sardegna;laurea in corso;3;pasto;questi capelli // vabbè // eh // però in realtà mi sto trovando molto me~ cioè // okay tutto il tempo che ci vuole però;comunque;mi mh // però ti trovi bene // mi fa aspetta che prendo io nonno // però mi fa piacere perchè alla fine ho i capelli più // no no;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
BOC1004;#152123;doc#20;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1004&begin=159380&end=164244;159380;164244;BOC1004;;0,013923611;;https://search.corpuskiparla.it/corpus/conversations/BOC1004.html;https://search.corpuskiparla.it/corpus/conversations/BOC1004_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;2;esame;fosse ottocento si intitolasse ottocento letterario italiano // okay // vorrebbe dire che // no può fare può essere;comunque;un libro edito nel novecento che fa riferimento // ah ecco quindi non è che abbia a che fare con il titolo? // sì no no esatto;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOA1001;#160552;doc#21;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1001&begin=2037555&end=2040938;2037555;2040938;BOA1001;;0,025925926;;https://search.corpuskiparla.it/corpus/conversations/BOA1001.html;https://search.corpuskiparla.it/corpus/conversations/BOA1001_jefferson.html;21-25;F;;stud;;;campania;laurea in corso;2;ricevimento studenti;le miglioriamo // più avanti però // abbiamo bisogno anche di di // vedere meglio // sì più distribuiti per ambiti e;comunque;più // quali sarà l'' articolazione del tema // mh // organizzate e questo in riferimento // mh // alle // risposte su // eh;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
PTA018;#164518;doc#22;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA018&begin=1195370&end=1197760;1195370;1197760;PTA018;;0,039895833;;https://search.corpuskiparla.it/corpus/conversations/PTA018.html;https://search.corpuskiparla.it/corpus/conversations/PTA018_jefferson.html;26-30;M;;artig;;;piemonte;dip_lic;2;intervista semistrutturata;siete? avete finito? // // voi mentite eh // eh sì ogni tanto sì // // ma invece altre cose? // altre cose // alcune hanno //;comunque;sempre una valenza leggermente // non so come spiegare // un po'' // erotica // ma perché? // finisci sempre in queste;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PTA018;#165468;doc#22;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA018&begin=1532703&end=1535282;1532703;1535282;PTA018;;0,039895833;;https://search.corpuskiparla.it/corpus/conversations/PTA018.html;https://search.corpuskiparla.it/corpus/conversations/PTA018_jefferson.html;26-30;M;;artig;;;piemonte;dip_lic;2;intervista semistrutturata;bisogna un attimo motivarlo // e quando si motivaha delle reazioni nervose // spesso riesce poi bene // quando perché;comunque;le braccia ce le ha // // i muscoli ce li ha solo che ogni tanto non // non ha la motivazio~ // non li colle~ non collega la;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA003;#171383;doc#23;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA003&begin=221407&end=226967;221407;226967;PBA003;;0,036990741;;https://search.corpuskiparla.it/corpus/conversations/PBA003.html;https://search.corpuskiparla.it/corpus/conversations/PBA003_jefferson.html;26-30;F;;intell;;;lazio;laurea;2;intervista semistrutturata;un po'' traumatico // // però poi ci sono ritornata più volte e anche in tutta tranquillità ehm // è un bel posto perchè;comunque;mi piace camminare quindi mi faccio una bella passeggiata // ehm // sì // poi mi rilasso quando arrivo // eh in che area;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;"""perché comunque"" - connettivo testuale "
PBA003;#172993;doc#23;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA003&begin=1034021&end=1036190;1034021;1036190;PBA003;;0,036990741;;https://search.corpuskiparla.it/corpus/conversations/PBA003.html;https://search.corpuskiparla.it/corpus/conversations/PBA003_jefferson.html;26-30;F;;intell;;;lazio;laurea;2;intervista semistrutturata;anche la città un po'' più mia vorrei iniziare boh un''attività sportiva un qualcosa che // mi leghi un po'' di più qui o che;comunque;ecco // mi dia qualcos''altro oltre a una casa e il lavoro praticamente // // mhmh // e quindi sì diciamo che // dal;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA003;#174824;doc#23;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA003&begin=1797584&end=1804226;1797584;1804226;PBA003;;0,036990741;;https://search.corpuskiparla.it/corpus/conversations/PBA003.html;https://search.corpuskiparla.it/corpus/conversations/PBA003_jefferson.html;26-30;F;;intell;;;lazio;laurea;2;intervista semistrutturata;mi dovevo svegliare presto // quando ho iniziato il tirocinio non avevo proprio la necessità di svegliarmi presto ma;comunque;// cioè mi andava di svegliarmi presto // non facevo così tanta fatica in realtà // ehm ma adesso // sarà che un po'' mi sono;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA003;#175484;doc#23;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA003&begin=2112892&end=2115871;2112892;2115871;PBA003;;0,036990741;;https://search.corpuskiparla.it/corpus/conversations/PBA003.html;https://search.corpuskiparla.it/corpus/conversations/PBA003_jefferson.html;26-30;F;;intell;;;lazio;laurea;2;intervista semistrutturata;// cioè riteneva che ehm avendo un qualcosa che si possa // diciamo iniziare e finire anche nel breve tempo // fosse;comunque;// come dire? più mh // non mi viene il termine // più // soddisfacente // no // sì // appagante // più appagante // perchè;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;0;;Funzione fativa
