Reference;;;;annotation.audio_file;;;;;;;;;;;;;;;;;;;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;CUMULO;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;;dubbi;commenti
PBA020;#51712;doc#5;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA020&begin=140631&end=141785;140631;141785;BOI089;PBA020;0,017974537;;https://search.corpuskiparla.it/corpus/conversations/PBA020.html;https://search.corpuskiparla.it/corpus/conversations/PBA020_jefferson.html;21-25;M;;comm;;;estero;dip_tec_prof;3;intervista semistrutturata;hai sempre vissuto qua // da bologna sono da // a febbraio prossimo anno due anni // mhmh // e carina // tanti giovani;quindi;// ho conosciuto chen voi eh // e prima dove stavi? // prima stavo // in veneto // mh // a montebelluna // un paese;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;0;;
PBA020;#53214;doc#5;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA020&begin=682499&end=686061;682499;686061;BOR029;PBA020;0,017974537;;https://search.corpuskiparla.it/corpus/conversations/PBA020.html;https://search.corpuskiparla.it/corpus/conversations/PBA020_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;// mh // invece quello nostro tradizionale è proprio // fine gennaio // quest''anno è proprio fine gennaio //;quindi;per te l''anno non finisce il trentuno dicembre l''anno finisce più avanti // perché finisce trentun dicembre perché // è;;;;;1;;1;;;;;;;;;;;;;;;;;1;;;;;;1;;
PBB021;#57970;doc#6;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB021&begin=797250&end=799490;797250;799490;BOR023;PBB021;0,021678241;;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021_jefferson.html;21-25;F;;stud;;;marche;laurea in corso;3;intervista semistrutturata;fr~ il pratello lo frequento comunque con qualche amico principalmente d''estate primavera così che andiamo // ah okay;quindi;okay va bene // e andiamo ogni tanto a fare due chiacchiere // diciamo che amicizie non ce ne sono moltissime anche perché;;;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;;0;;ah okay quindi ok va bene
PBB021;#59365;doc#6;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB021&begin=1277590&end=1283580;1277590;1283580;BOR023;PBB021;0,021678241;;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021_jefferson.html;21-25;F;;stud;;;marche;laurea in corso;3;intervista semistrutturata;indicativamente // sarà stato boh scorso settembre no scusami // sì due anni e mezzo due anni e qualcosa // mhmh mhmh // e;quindi;eh dicevi che ti~ che ci lavori bene insomma perché comunque è una persona molto seria // sì noi non abbiamo non facciamo;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;0;;e quindi
PTA016;#71135;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=378360&end=381920;378360;381920;TOR006;PTA016;0,028043981;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;a tutto // mhmh // mhmh // almeno // io la penso così vicino a tutto quindi mi // okay // mi trovo strabene qua // okay // e;quindi;hai frequentato anche le scuole qua sempre // sì // okay // da asilo elementari medie superiori // okay // eh i tuoi amici;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;e quindi
PTA016;#71589;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=528040&end=530620;528040;530620;TOR006;PTA016;0,028043981;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;si chiama xxx // eh e quindi sono il terzo anno che partecipiamo a questo torneo // mhmh // con coi miei amici che x // okay //;quindi;sono cioè erano persone che già conoscevi // sì sì sono tutti quanti miei ex compagni di squadra // ah okay // di calcio a;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PTA016;#71766;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=574892&end=579530;574892;579530;TOI033;PTA016;0,028043981;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;M;;oper;;;piemonte;dip_tec_prof;2;intervista semistrutturata;// quando eri più piccolo // quando ero più piccolo ho provato basket // // però x è stato amore a prima vista con il calcio;quindi;sempre calcio // mhmh // quindi tipo guardi anche le partite // di calcio sì sì assolutamente // okay // assolutamente;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;0;;
PTA016;#72353;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=759382&end=762820;759382;762820;TOR006;PTA016;0,028043981;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;// quindi sì poi adesso che sono le festività // andiamo xx anche tante volte // ho capito // ehm ti volevo chiedere //;quindi;cioè mi hai detto che hai iniziato così un po'' giocando // sì // poi hai hai iniziato a produrre cose tue // sì qualcosina //;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;0;;
PTA016;#74164;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=1266691&end=1269490;1266691;1269490;TOI033;PTA016;0,028043981;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;M;;oper;;;piemonte;dip_tec_prof;2;intervista semistrutturata;mettiamola così // vabbè ma // si può rifare // assolutamente sì // // è che ibiza è tanto costosa quello lo devo ammettere;quindi;// però tu lavori // sì però diciamo che proprio andarli a spendere tutti in // // va bene // preferirei anche tenermeli un;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;0;;
PTA016;#77574;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=2234211&end=2236500;2234211;2236500;TOI033;PTA016;0,028043981;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;M;;oper;;;piemonte;dip_tec_prof;2;intervista semistrutturata;fuori di testa // e ne giova la mia squadra // ho capito // quindi cioè // ma tante persone sono convinte di questa cosa // e;quindi;ti diranno non è razzismo io non sono razzista // mhmh // io lo faccio per // conosci willie peyote // willieil coyote? //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
