Reference;;;;annotation.audio_file;;;;;;;;;;;;;;;;;;;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;CUMULO;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;;dubbi;commenti
PTB007;#519239;doc#74;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB007&begin=4912574&end=4913846;4912574;4913846;TOI021;PTB007;0,06119213;;https://search.corpuskiparla.it/corpus/conversations/PTB007.html;https://search.corpuskiparla.it/corpus/conversations/PTB007_jefferson.html;66-70;F;;pens;;;sicilia;elem;2;intervista semistrutturata;// ah // è tornato che era quarantaquattro chili // sì quindi quaranta chili in meno // quindi quaranta chili in meno //;quindi;eh lui // mio zio non aveva riconosciuto mio papà guardava sto militare dice strano // però più ~l militare si avanzava;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOD2007;#521029;doc#75;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2007&begin=204051&end=210007;204051;210007;TO043;TOD2007;0,021076389;;https://search.corpuskiparla.it/corpus/conversations/TOD2007.html;https://search.corpuskiparla.it/corpus/conversations/TOD2007_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;quello però sono diciamo le uniche in cui // cioè // tutte le società a cui tutte le società si riv~ si rivolgono // okay // e;quindi;lavoro ne hai non non falliscono maieh s~ xx xx // cosa dovresti fare per entrare // allora innanzi tutto devi avere una;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOD2007;#524090;doc#75;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2007&begin=1111808&end=1120234;1111808;1120234;TO043;TOD2007;0,021076389;;https://search.corpuskiparla.it/corpus/conversations/TOD2007.html;https://search.corpuskiparla.it/corpus/conversations/TOD2007_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;agli altri allora i ti tieni un po'' // e poi certo non mi è mai successo nulla di grave o particolare da dover litigare e;quindi;non saprei dirti come mi comporterei davanti // mh mh // a un qualcosa di perché alla fine // in tutti e due gli anni che ho;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOD2007;#524461;doc#75;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2007&begin=1219404&end=1220986;1219404;1220986;TO043;TOD2007;0,021076389;;https://search.corpuskiparla.it/corpus/conversations/TOD2007.html;https://search.corpuskiparla.it/corpus/conversations/TOD2007_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;un divano per esempio anche // mh // che quando arrivi alla sera e ti metti lì un attimo comoda ti riposi guardi la tv // eh;quindi;voglio cambiare // okay // eh // ho avuto l'' opportunità di cambiare perché // delle mie amiche // devono cambiare casa //;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
TOD2007;#525088;doc#75;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2007&begin=1392401&end=1393441;1392401;1393441;TO043;TOD2007;0,021076389;;https://search.corpuskiparla.it/corpus/conversations/TOD2007.html;https://search.corpuskiparla.it/corpus/conversations/TOD2007_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;sì // e quindi ho deciso al terzo anno di andare a vivere // e tu dove vivi? // a torino // no no // a // e vivo a mondovì // okay //;quindi;a a un'' ora // x x // un'' ora di treno // un'' ora un'' ora e dieci poi ovviamente con i tempi di trenitalia a volte erano anche un'';;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
TOD2007;#525422;doc#75;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2007&begin=1482596&end=1487960;1482596;1487960;TO043;TOD2007;0,021076389;;https://search.corpuskiparla.it/corpus/conversations/TOD2007.html;https://search.corpuskiparla.it/corpus/conversations/TOD2007_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;c'' è gente strana eh // poi tra l'' altro dove vivo adesso ho ho sotto delle scuole medie // le scuole superiori c'' è un asilo;quindi;comunque è abbastanza frequentata non succede mai nulla di strano // se no proprio crocetta crocetta lì deve essere;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
KPC006;#534058;doc#77;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC006&begin=278226&end=279530;278226;279530;PKP063;KPC006;0,022881944;;https://search.corpuskiparla.it/corpus/conversations/KPC006.html;https://search.corpuskiparla.it/corpus/conversations/KPC006_jefferson.html;21-25;M;;stud;;;marche;laurea in corso;2;pasto;xxx // eh perché ancora // qui all''agriturismo? // sì // e s''è tagliata come s''era tagliata quell''altra volta // okay;quindi;sulla mano // sì sul dito // però essa non è che l''ha denunciato capito // e gli ha detto su il pronto soccorso guarda m''è;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB002;#547747;doc#79;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB002&begin=1056394&end=1061875;1056394;1061875;BOI003;PBB002;0,024930556;;https://search.corpuskiparla.it/corpus/conversations/PBB002.html;https://search.corpuskiparla.it/corpus/conversations/PBB002_jefferson.html;56-60;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;delle città molto più grandi di bologna proprio delle // delle metropoli che hanno molto più verde rispetto a noi ecco;quindi;// si potrebbe fare di più // però mh sì mh secondo me questa zona in particolare è una zona anche molto verde // ehm // e son;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;0;;ecco quindi
PBB002;#549881;doc#79;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB002&begin=1801994&end=1805840;1801994;1805840;BOR001;PBB002;0,024930556;;https://search.corpuskiparla.it/corpus/conversations/PBB002.html;https://search.corpuskiparla.it/corpus/conversations/PBB002_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;del mare è sempre stata uguale più o meno ecco esatto // ah okay // pensavo che fosse mh // sì // no // fosse diverso insomma;quindi;comunque i bolognesi hanno sempre // cioé la riviera eh è un po'' la seconda casa // cioé abbastan~ // sì ehm // beh sì però;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA030;#551697;doc#80;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA030&begin=197010&end=201218;197010;201218;BOR031;PBA030;0,02712963;;https://search.corpuskiparla.it/corpus/conversations/PBA030.html;https://search.corpuskiparla.it/corpus/conversations/PBA030_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;cioè il corso? // il corso il corso di ostetricia e anche di infermieristica a quanto ho capito // ah // ah okay // okay e;quindi;ti piace però come è organizzato a bologna cioè sei contenta di frequentare xx // sì nono~ sì nonostante queste cose che;;;;;1;1;;1;;;;;;;;;;;;;;;;1;;;;;;1;;e quindi
PBA030;#554128;doc#80;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA030&begin=825328&end=826407;825328;826407;BOR031;PBA030;0,02712963;;https://search.corpuskiparla.it/corpus/conversations/PBA030.html;https://search.corpuskiparla.it/corpus/conversations/PBA030_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;// // // sì // e x x x x // i mh // voi che x qua a medicina siete diciamo quasi a metà // tra romagna emilia e emilia no? // sì //;quindi;immagino che eh // non so la differenza te lo dico già non la so // // // // // ogni volta litigo perchè non non so mai la cosa;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;frase interrotta
PBB009;#565671;doc#82;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB009&begin=698052&end=700842;698052;700842;BOI028;PBB009;0,050439815;;https://search.corpuskiparla.it/corpus/conversations/PBB009.html;https://search.corpuskiparla.it/corpus/conversations/PBB009_jefferson.html;71-75;F;;intell;;;molise;laurea;3;intervista semistrutturata;// mh // non so se hai letto foucault no // no purtroppo no // vabbè // comunque no era per far capir // // e;quindi;p~ data dai tempi dalle cose // pensa che loro non potevano avere nè forchetta nè coltello // mh // mh // l''utilizzo era;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;frase interrotta
PBB009;#567725;doc#82;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB009&begin=1484309&end=1490437;1484309;1490437;BOI027;PBB009;0,050439815;;https://search.corpuskiparla.it/corpus/conversations/PBB009.html;https://search.corpuskiparla.it/corpus/conversations/PBB009_jefferson.html;31-35;M;;intell;;;calabria;laurea;3;intervista semistrutturata;impatti tu sulla vicenda è relativamente poco // sì // in un caso ed è // forse eccessivo in un altro // e al lato opposto //;quindi;diciamo che io sono in questa situazione in cui ho iniziato questa professione nel duemila e diciotto duemila;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
TOC1002;#578130;doc#83;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1002&begin=671647&end=675096;671647;675096;TO007;TOC1002;0,013958333;;https://search.corpuskiparla.it/corpus/conversations/TOC1002.html;https://search.corpuskiparla.it/corpus/conversations/TOC1002_jefferson.html;21-25;M;;stud;;;piemonte;laurea in corso;2;esame;nelle società per azioni // allo~ a~ eh gli amministratori sono nominati daleh dall'' assemblea dei soci // mh //;quindi;vi è un un rapporto di subordinazione degli amministratori // un po'' troppo dire subordinazione se ci sente un;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOA3003;#589598;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3501987&end=3505813;3501987;3505813;BO019;BOA3003;0,054560185;;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;;stud;;;lombardia;laurea in corso;4;conversazione libera;del cazzo // allora // // // fogli tortelli xxxxxx // xxxxxx // basta xx che stavamo a di'' // stavam parlando di grigi;quindi;allora abbiamo detto massimo livello di generalità // me la provi a ripetere senza guardare // allora grigi considera;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBC019;#598750;doc#86;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=33080&end=36580;33080;36580;BOR010;PBC019;0,023842593;;https://search.corpuskiparla.it/corpus/conversations/PBC019.html;https://search.corpuskiparla.it/corpus/conversations/PBC019_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;diciamo // sì sì ero ehm ero un autista // x visto il cambio // mamma mia che lavoro faticoso // non oso immaginare che //;quindi;qua~ vabbè ha sempre vissuto nello stesso quartiere suppongo di no // sì da quando sono venuto a bologna sì sempre;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;frase interrotta
PBC019;#599771;doc#86;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=417000&end=420479;417000;420479;BOI044;PBC019;0,023842593;;https://search.corpuskiparla.it/corpus/conversations/PBC019.html;https://search.corpuskiparla.it/corpus/conversations/PBC019_jefferson.html;66-70;M;;pens;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;i turni di lavoro immagino // oh quello non lo so // io s~ io mi ricordo i miei però sento che adesso // un po'' si lamentano;quindi;x cosa ci sarà // ah pensavo che fosse per quello che che non c''era più così tanta gente // invece // accidenti quindi ho;;;;;1;;;;;;;;;;;;1;;;;;;;1;;;;;;1;;
PBC019;#603013;doc#86;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=1623990&end=1631827;1623990;1631827;BOR010;PBC019;0,023842593;;https://search.corpuskiparla.it/corpus/conversations/PBC019.html;https://search.corpuskiparla.it/corpus/conversations/PBC019_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;devo essere sincera io sono una di quelle persone che non parla dialetto // lei comunque appena esce ha cioè c''è qualche;quindi;parla principalemente in italiano oppure c''è anche qualche momento in cui riesce ancora a // a parlare in dialetto con;;;;;1;;;1;;;;;;;;;;;;;;;;1;;;;;;1;;
PBA013;#608625;doc#87;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA013&begin=1236706&end=1237877;1236706;1237877;BOI074;PBA013;0,038796296;;https://search.corpuskiparla.it/corpus/conversations/PBA013.html;https://search.corpuskiparla.it/corpus/conversations/PBA013_jefferson.html;21-25;M;;uff;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;// beh come dice la canzone di di elo~ d''elodie è già finità male // // cioè è subito finita male nel cioè // // no ma esatto;quindi;// xx // chissà // arriverà arriverà // forse f~ forse col tempo troverò questa stabilità ma chissà // però comunque tu ti;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBA013;#610536;doc#87;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA013&begin=1754198&end=1757751;1754198;1757751;BOI074;PBA013;0,038796296;;https://search.corpuskiparla.it/corpus/conversations/PBA013.html;https://search.corpuskiparla.it/corpus/conversations/PBA013_jefferson.html;21-25;M;;uff;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;a fare delle frasi complesse con delle subordinate eccetera // okay // anche perché c''ha una grammatica tutta strana;quindi;sarebbe già complicato // e quello si parla tra quelli più anziani // invece noi più giovani lo capiamo // il gergo // eh il;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBA013;#612444;doc#87;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA013&begin=2253916&end=2259340;2253916;2259340;BOI074;PBA013;0,038796296;;https://search.corpuskiparla.it/corpus/conversations/PBA013.html;https://search.corpuskiparla.it/corpus/conversations/PBA013_jefferson.html;21-25;M;;uff;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;gli studenti // esatto // punto // senza di eh senza di loro comunque // rimini ha già l''aspetto turistico che è la riviera;quindi;già è un conto ravenna vabbè anche lì c''ha il mare però // beh dai almemo xxx // sì ravenna ecco a me piace di più ravenna per;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBA013;#612729;doc#87;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA013&begin=2337961&end=2338911;2337961;2338911;BOI074;PBA013;0,038796296;;https://search.corpuskiparla.it/corpus/conversations/PBA013.html;https://search.corpuskiparla.it/corpus/conversations/PBA013_jefferson.html;21-25;M;;uff;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;romana // cioè queste città qua che son nate in epoca romana su questa via emilia // erano tutte città di passaggio //;quindi;non è che // avessero come dire delle peculiarità // xxx // mh // bologna l''ha trovata nell''università ad esempio // okay;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
TOD1016;#624043;doc#88;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=3337403&end=3340144;3337403;3340144;TO070;TOD1016;0,067951389;;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;;intell;;;piemonte;phd;1;lezione;non si era mai fatta in un'' aria prima // e che // è proprio anche uno dei risultati di avere fuso i generi // serio e buffo e;quindi;mescolato // le categorie per cui l'' opera buffa era tutta azione e l'' opera seria era tutta invece // canto tutta;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBB012;#629536;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=389245&end=392175;389245;392175;BOI039;PBB012;0,034606481;;https://search.corpuskiparla.it/corpus/conversations/PBB012.html;https://search.corpuskiparla.it/corpus/conversations/PBB012_jefferson.html;51-55;M;;comm;;;emilia-romagna;laurea;3;intervista semistrutturata;// la vicenda weisz grazie anche poi a // una ricerca storica perchè lui // matteo marani è poi anche mh laureato in storia;quindi;// ha ha la capacità ha avuto la capacità di ricostruire // e documentalmente // e // i vari passaggi // e diciamo la;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB012;#631480;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=1136385&end=1136735;1136385;1136735;BOR006;PBB012;0,034606481;;https://search.corpuskiparla.it/corpus/conversations/PBB012.html;https://search.corpuskiparla.it/corpus/conversations/PBB012_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;fondamentale poi nel lavoro di ricostruzione storica // sì sì // quando matteo marani si è interessato alla vicenda //;quindi;// probabilmente senza questo scambio epistolare tra mh // il figlio di weisz e suo padre // mh sarebbe stato molto;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBB012;#633918;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=2041750&end=2044980;2041750;2044980;BOI039;PBB012;0,034606481;;https://search.corpuskiparla.it/corpus/conversations/PBB012.html;https://search.corpuskiparla.it/corpus/conversations/PBB012_jefferson.html;51-55;M;;comm;;;emilia-romagna;laurea;3;intervista semistrutturata;// e // mh aveva addirittura pubblicato un libro // sui vari schemi e tecniche e tattiche di allora // ehm //;quindi;mh sì anche dal punto di vista sportivo insomma // se uno st~ mh studia uno po'' della sua storia // è interessante insomma è;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
KPC008;#642755;doc#90;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC008&begin=2122582&end=2128789;2122582;2128789;PKP069;KPC008;0,028101852;;https://search.corpuskiparla.it/corpus/conversations/KPC008.html;https://search.corpuskiparla.it/corpus/conversations/KPC008_jefferson.html;46-50;F;;intell;;;piemonte;phd;2;pasto;ciuccia tantissima acqua quindi desertifica e // sì // destruttura i acidifica i suoli // okay // quindi assorbe ci o due;quindi;dal punto di vista del protocollo di kyoto va va benissimo // va benissimo // però // però poi fa danni da altri punti di;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
KPC008;#643606;doc#90;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC008&begin=2388320&end=2393370;2388320;2393370;PKP063;KPC008;0,028101852;;https://search.corpuskiparla.it/corpus/conversations/KPC008.html;https://search.corpuskiparla.it/corpus/conversations/KPC008_jefferson.html;21-25;M;;stud;;;marche;laurea in corso;2;pasto;che lo sappiano // eh no lo so // poi ogni tanto dico no aspetta non è per tutti così // non tutti sanno quello che so anch''io;quindi;devo un attimo rimodulare l''offerta // esatto esatto // // va bene dai interessante questa cosa // mh // ti può;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB014;#643915;doc#91;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB014&begin=51405&end=55318;51405;55318;BOR005;PBB014;0,022152778;;https://search.corpuskiparla.it/corpus/conversations/PBB014.html;https://search.corpuskiparla.it/corpus/conversations/PBB014_jefferson.html;21-25;M;;stud;;;marche;laurea in corso;2;intervista semistrutturata;// mi son trasferita qua da piccolina poi io sono cresciuta a casalecchio // mhmh // okay // ehm appunto casalecchio? //;quindi;diciamo negli anni in cui ci sei cresciuta come ti sembrava come quartiere? // ma molto tranquillo io poi abitavo //;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBB014;#644751;doc#91;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB014&begin=249270&end=251058;249270;251058;BOI041;PBB014;0,022152778;;https://search.corpuskiparla.it/corpus/conversations/PBB014.html;https://search.corpuskiparla.it/corpus/conversations/PBB014_jefferson.html;46-50;F;;oper;;;estero;dip_lic;2;intervista semistrutturata;che con un gruppo di amici abbiam detto se ci promuovono tutti per la maturità andiam su a piedi // // vero quindi // e;quindi;l''abbiam fatto // no parlando anche con dei miei colleghi che sono di bologna o della zona vedo che molto spesso c''è un po'';;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;0;;e quindi
PBB014;#648599;doc#91;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB014&begin=1244630&end=1245625;1244630;1245625;BOR005;PBB014;0,022152778;;https://search.corpuskiparla.it/corpus/conversations/PBB014.html;https://search.corpuskiparla.it/corpus/conversations/PBB014_jefferson.html;21-25;M;;stud;;;marche;laurea in corso;2;intervista semistrutturata;periodo siete anche sotto organico // un po'' è un eufemismo // mh // mh // secondo me // un po'' molto // mh // mh // sì sì sì sì //;quindi;insomma // non è il m~ periodo migliore // no // no no no no no come gestione personale non è lo periodo migliore no no no no //;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBB014;#649084;doc#91;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB014&begin=1386759&end=1391670;1386759;1391670;BOI041;PBB014;0,022152778;;https://search.corpuskiparla.it/corpus/conversations/PBB014.html;https://search.corpuskiparla.it/corpus/conversations/PBB014_jefferson.html;46-50;F;;oper;;;estero;dip_lic;2;intervista semistrutturata;ammazzato un giorno del resto // mh nah quello sì // mh // // il quindici gennaio del quindici è anche una data palindroma;quindi;mi è rimasta bene impressa nella mente // eh è un camion e l''autista è svenuto alla guida e m''ha // venuto addosso mhmh mhmh;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PTD021;#651592;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=149994&end=152507;149994;152507;TOR002;PTD021;0,063530093;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;26-30;M;;intell;;;piemonte;phd;5;intervista semistrutturata;ogni giorno per fortuna cambi linea se no // mh mh // impazzisci // meh una noia mortale // e impazzisci si esatto // okay //;quindi;devi sapere i percorsi di più linee? // sì // eh ma in realtà eh tutti si spaventano di questa cosa in realtà è molto più;;;;;1;;;1;;;;;;;;1;;;;;;;;;;;;;;1;;
PTD021;#651774;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=192061&end=194345;192061;194345;TOR001;PTD021;0,063530093;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;26-30;F;;intell;;;lombardia;phd;5;intervista semistrutturata;// sì // eh quando lo fai fai sempre le stesse strade tutti i giorni impazzisci // così ti aumenti in questo senso // okay e;quindi;solo pullman? o anche tram // per ora solo pullman per guidare i tram c~ un una patente interna // ah okay // alla ditta;;;;;1;;;1;;;;;;;;1;;;;;;;;;;;;;;1;;
PTD021;#652650;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=469102&end=471532;469102;471532;TOI013;PTD021;0,063530093;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;21-25;M;;oper;;;puglia;dip_tec_prof;5;intervista semistrutturata;raggruppa tantissime mansione dall''attivare il cliente dal lavorare in centrale dal lavorare solo in strada //;quindi;vorreimh cambiare // e lavorare solo in strada // okay // eliminare la parte del contatto col pubblico insom~ // sì sì // è;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTD021;#653307;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=659711&end=665184;659711;665184;TOI012;PTD021;0,063530093;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;31-35;M;;oper;;;piemonte;dip_tec_prof;5;intervista semistrutturata;anche // uno uno uno // okay un sacco // sì sì e ma perchè // nell''ambiente sono conosciuto e conosco parecchia gente e;quindi;oh cazzo ho bisogno di qualcuno chiamiamo marcello // okay // poi tanto conosco il materiale che vendo e per fare il;;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;0;;e quindi
PTD021;#653357;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=673517&end=674640;673517;674640;TOI012;PTD021;0,063530093;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;31-35;M;;oper;;;piemonte;dip_tec_prof;5;intervista semistrutturata;principale // certo // sono appassionato conosco i clienti perchè tanto son sempre gli stessi che girano // mh mh mh mh //;quindi;era facile per entrambi // certo // beh sì po~ cioè per esempio non so io di fumetti ne so poco // immagino che se // andassi;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTD021;#653465;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=701571&end=704754;701571;704754;TOI012;PTD021;0,063530093;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;31-35;M;;oper;;;piemonte;dip_tec_prof;5;intervista semistrutturata;conoscendo quello che sta vendendo oltre a darti quello che vuoi tu // fa come si suol dire cross selling // indirizza // e;quindi;ti vende qualunque altra cosa tu non hai idea di queleh // che esista // certo // su quello che a te piace ma io te lo vendo lo;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTD021;#657564;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=1877187&end=1880569;1877187;1880569;TOI012;PTD021;0,063530093;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;31-35;M;;oper;;;piemonte;dip_tec_prof;5;intervista semistrutturata;// pechino // funzionano da dio nel senso che son puntuali // abbiamo siete an~ siete anche andati post olimpiadi;quindi;ci stava // beh siamo andati l''anno scorso? // l''hanno rifatta tutta nuova // eh sì // eh le xxx olimpiadi son state nel;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;0;;
PTD021;#657854;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=1952909&end=1955381;1952909;1955381;TOI012;PTD021;0,063530093;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;31-35;M;;oper;;;piemonte;dip_tec_prof;5;intervista semistrutturata;// no èmeh come per la cina una cultura completamente diversa dalla nostra ovviamente // mh mh // peh in più sono un''isola;quindi;son sempre stati da soli // e hanno poco della cultura occidentale nella loro // mh mh // e hanno una cultura mo~ proprio;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTD021;#659418;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=2396488&end=2398455;2396488;2398455;TOI012;PTD021;0,063530093;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;31-35;M;;oper;;;piemonte;dip_tec_prof;5;intervista semistrutturata;ore // mado~ // siamo xxx // cioè quattro ore per attraversare la città? // no io ci ho messo a piedi quattro ore // vabbè //;quindi;lui ci avrà mh in m~ in macchina // e almeno quarantacinque minuti tutti quindi // eh sì // penso tanti non lo so tanti //;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
