Reference;;;;annotation.audio_file;;;;;;;;;;;;;;;;;;;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;;
PTD019;#583381;doc#82;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD019&begin=2088436&end=2093305;2088436.0;2093305.0;PTD019;TOI011;00:54:47;;https://search.corpuskiparla.it/corpus/conversations/PTD019.html;https://search.corpuskiparla.it/corpus/conversations/PTD019_jefferson.html;31-35;M;;comm;;;lombardia;dip_tec_prof;4;intervista semistrutturata;// sì io son contento perchè // ah a parte che lì c''è il mercato di corso racconigi // eh un posto in cui non ci sono mai andato;praticamente;però è molto bello ho sentito dire // xxx // anch''io sarò andata due volte // no cioè perchè invece c''è la la conad che è;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;
PTD019;#584109;doc#82;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD019&begin=2255193&end=2257599;2255193.0;2257599.0;PTD019;TOI010;00:54:47;;https://search.corpuskiparla.it/corpus/conversations/PTD019.html;https://search.corpuskiparla.it/corpus/conversations/PTD019_jefferson.html;36-40;M;;comm;;;piemonte;dip_lic;4;intervista semistrutturata;residenti ''ste robe qua? // sì è quello che mi hanno aumentato sì esa~ // ah è quello che ti hanno okay okay vabbè no // cioè;praticamente;in realtà viv~ vivo qua dietro // okay // ehm cioè in realtà vivo proprio in questo isolato // okay // eh cos''è cos''è questo;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;
PBB028;#601067;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=126860&end=129730;126860.0;129730.0;PBB028;BOI099;00:54:54;;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;M;;artig;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;// passare i pomeriggi i~ in sto capannone a lavorare il ferro la carta e tutto a noi piaceva quello alla fine // cioè;praticamente;andavi a lavorare ancora prima di // di iniziare // mhmh // il lavoro // #sciappinare // #sì s~ sciappi~ sì facevi i tuoi;;;;;1;1.0;;;;;;;;;;1;;;1;;;;;;;;1;;;1.0;preceduto da cioè
PBB028;#604094;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=1054880&end=1060780;1054880.0;1060780.0;PBB028;BOI099;00:54:54;;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;M;;artig;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;il giardino davanti a ca~ cioè son tutte piccole cose l''appartamento // parcheggio // il parcheggio sempre in giro cioè;praticamente;sei esci di casa e sei già in mezzo a // ah lo so // al caos // al casino // per noi è caos // xx // sì sì // per uno che abita in città;;;;;1;;;;;;;;;;;;;1;;;;;;;;;1;;;1.0;
PBB028;#604543;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=1189810&end=1194070;1189810.0;1194070.0;PBB028;BOI099;00:54:54;;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;M;;artig;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;tu stai dietro a la vostra parte e poi lavori anche fuori? // no io lavoro solo fuori // ah lavori solo fuori okay // x // sì;praticamente;ormai i frutti non ci son più è solo tutt~ tutta terra nuda // che facciam tutto praticamente quasi tutti i lavori li;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB028;#604561;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=1194430&end=1198550;1194430.0;1198550.0;PBB028;BOI099;00:54:54;;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;M;;artig;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;solo fuori okay // x // sì praticamente ormai i frutti non ci son più è solo tutt~ tutta terra nuda // che facciam tutto;praticamente;quasi tutti i lavori li facciam fare a conto terzi // e // e io mi s~ // mi dedico tra virgolette a // solo al mio lavoro // che è;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;
PBB028;#605305;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=1432442&end=1434596;1432442.0;1434596.0;PBB028;BOI100;00:54:54;;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;M;;artig;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;lati // a buonacompra dico? // e buonacompra è venuto giù tutto il tetto dall''ingresso fino a // buonacompra è xxto // a;praticamente;l''altare // il tetto // vabbè come no secondo me veniva come tipo non so se io mi rico~ io mi ricordo i video di assisi;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;
PBB028;#605360;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=1446962&end=1449444;1446962.0;1449444.0;PBB028;BOI099;00:54:54;;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;M;;artig;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;// di sant''agostino xx // ci sono che cioè io mi ricordo che ero piccolo quando è successo // xxx // però li vedevo in tv //;praticamente;uguale cioè vedi tutto il tetto che viene giù // eh invece a mirabello sono venute giù anche le pareti laterali // della;;;;;1;;;;;;;;;;;;;1;;;;;;;;;1;;;1.0;
PBB028;#607838;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB028&begin=2237724&end=2240138;2237724.0;2240138.0;PBB028;BOI100;00:54:54;;https://search.corpuskiparla.it/corpus/conversations/PBB028.html;https://search.corpuskiparla.it/corpus/conversations/PBB028_jefferson.html;31-35;M;;artig;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;che rompeva le palle // che voleva che lui andasse là la sera perché così si addormentavano insieme // quindi lui //;praticamente;non poteva andare via coi campanari // e allora cosa faceva? andava là che si addormentava // con lei poi dopo lui tipo;;;;;1;;;;;;;;;1;;;;1;;;;;;;;;;;;1.0;
TOD2015;#612943;doc#85;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2015&begin=595676&end=602533;595676.0;602533.0;TOA1004; TOD2015;laurea in corso;;TOD2015;https://search.corpuskiparla.it/corpus/conversations/TOD2015.html;https://search.corpuskiparla.it/corpus/conversations/TOD2015_jefferson.html;21-25;;2;;;stud;intervista semistrutturata;F;piemonte;al prezzo modico che la pagavo io // cioè // eh // ehm si fa che eh ho questa amica di infanzia che conosco da quando sono nata;praticamente;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;
TOD2015;#613888;doc#85;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2015&begin=874170&end=877854;874170.0;877854.0;TOA1004; TOD2015;laurea in corso;;TOD2015;https://search.corpuskiparla.it/corpus/conversations/TOD2015.html;https://search.corpuskiparla.it/corpus/conversations/TOD2015_jefferson.html;21-25;;2;;;stud;intervista semistrutturata;F;piemonte;cui c'' è sempre stato un rapporto di // odio e amore profondissimo nel senso che // mh mh // abbiamo vissuto questo erasmus;praticamente;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;
TOD2015;#616294;doc#85;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2015&begin=1580842&end=1583540;1580842.0;1583540.0;TOA1003;TO071;00:30:52;;https://search.corpuskiparla.it/corpus/conversations/TOD2015.html;https://search.corpuskiparla.it/corpus/conversations/TOD2015_jefferson.html;31-35;M;;stud;;;abruzzo;laurea in corso;2;intervista semistrutturata;anche legato dei ricordi molto belli che ho di murcia perciò // lo ricordo con super piacere // vabbè ci si infrattano lì;praticamente;x // e // sì anche no però anche no nel senso che io c'' ho portato praticamente tutte le persone che sono venute a farmi;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;
TOD2015;#616312;doc#85;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2015&begin=1582532&end=1589580;1582532.0;1589580.0;TOA1004; TOD2015;laurea in corso;;TOD2015;https://search.corpuskiparla.it/corpus/conversations/TOD2015.html;https://search.corpuskiparla.it/corpus/conversations/TOD2015_jefferson.html;21-25;;2;;;stud;intervista semistrutturata;F;piemonte;con super piacere // vabbè ci si infrattano lì praticamente x // e // sì anche no però anche no nel senso che io c'' ho portato;praticamente;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB031;#618383;doc#86;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB031&begin=314450&end=320210;314450.0;320210.0;PBB031;BOI108;00:49:58;;https://search.corpuskiparla.it/corpus/conversations/PBB031.html;https://search.corpuskiparla.it/corpus/conversations/PBB031_jefferson.html;56-60;F;;comm;;;emilia-romagna;laurea;3;intervista semistrutturata;stanno cercando eh bologna welcome eccetera stanno cercando di // di incentivare un po'' // bologna welcome m~ c~ che //;praticamente;e~ è una è un sito di bologna che aiu~ cioè welcome proprio per // sì // per incentivare questo discorso della della mh // eh;;;;;1;;;;;;;;;;;;;1;;;;;;;;;1;;;1.0;
PBB031;#622471;doc#86;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB031&begin=1476220&end=1481900;1476220.0;1481900.0;PBB031;BOI108;00:49:58;;https://search.corpuskiparla.it/corpus/conversations/PBB031.html;https://search.corpuskiparla.it/corpus/conversations/PBB031_jefferson.html;56-60;F;;comm;;;emilia-romagna;laurea;3;intervista semistrutturata;tosto sì // invece in cinque minuti sono dove devo andare eccetera eccetera // okay // mh sì poi in più lui ha il lavoro qua;praticamente;la zona è la su~ è questa // e non è sicuramente la città // eh io invece nel periodo che lavoravo // a borgo panigale invece;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;
PBB031;#625001;doc#86;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB031&begin=2285540&end=2287400;2285540.0;2287400.0;PBB031;BOI108;00:49:58;;https://search.corpuskiparla.it/corpus/conversations/PBB031.html;https://search.corpuskiparla.it/corpus/conversations/PBB031_jefferson.html;56-60;F;;comm;;;emilia-romagna;laurea;3;intervista semistrutturata;// eh quelli con i mh camioncini // che non mi viene mai in mente come si chiamano // ah beh sì sono eh // sì fanno fanno;praticamente;una // che fanno i // praticame~ i camioncini che che fanno i // fanno da mangiare in mezza alla strada insomma // l le le il;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;1.0;1
PTB025;#636205;doc#87;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB025&begin=2858899&end=2862678;2858899.0;2862678.0;PTB025;TOI116;01:09:45;;https://search.corpuskiparla.it/corpus/conversations/PTB025.html;https://search.corpuskiparla.it/corpus/conversations/PTB025_jefferson.html;66-70;F;;pens;;;piemonte;dip_lic;4;intervista semistrutturata;sono vecchie case quindi sempre qualcosa // certo // da da rinnovare o rimettere in sesto // e quindi i fine settimana;praticamente;li passiamo lì // // ah sempre? // tu~ tutta l''estate // ehm d''inverno no eh d''inverno no ma ci andiamo da da marzo // okay;;;;;1;;;;;;;;;;;;;1;;;;;;;;;1;;;1.0;
PTB025;#637105;doc#87;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB025&begin=3163244&end=3164193;3163244.0;3164193.0;PTB026;TOR002;01:09:45;;https://search.corpuskiparla.it/corpus/conversations/PTB025.html;https://search.corpuskiparla.it/corpus/conversations/PTB025_jefferson.html;26-30;M;;intell;;;piemonte;phd;4;intervista semistrutturata;casino eh perché tu parti da un minuto e quarantacinque e arrivo a venti ventidue minuti eh // // cioè poi fa un trailer //;praticamente;// no no no aspetta no // quello è il film ridotto // poi faccio vedere quattro o cinque trailer // allora lì sono anche solo;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;1;;;
PBB026;#644597;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=697047&end=705873;697047.0;705873.0;PBB026;BOI093;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;51-55;F;;tec;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;e e e la ed è proprio // sì è curato // mh // sì // il venerdì sabato e la domenica della terza domenica di settembre // mh // eh;praticamente;ci sono le bancarelle ci sono tutte tutti gli abitanti si vestono con abiti medioevali // ah // e vanno in giro e poi // ci;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB026;#646354;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=1252570&end=1258140;1252570.0;1258140.0;PBB026;BOR032;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;16-20;F;;stud;;;emilia-romagna;laurea in corso;4;intervista semistrutturata;iniziato // cioè io di meno ovviamente perchè son più piccola abbiamo iniziato a lavorare per esempio mio fratello;praticamente;ogni torre // ha lo stendardo? // sì // che si porta in in in sfilata mio fratello lo portava sempre così // poi adesso lui e;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;
PBB026;#647584;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=1609085&end=1622060;1609085.0;1622060.0;PBB026;BOI093;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;51-55;F;;tec;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;sì? // okay // e poi di bologna almeno eh io è qualche anno che sto andando alla strabologna // strabologna? non // perchè è;praticamente;una gara che si può fare sia correndo che cammine~ camminando ci sono tre tre te~ ti~ tre percorsi // // gara // x // // eh uno;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;
PBB026;#648262;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=1803140&end=1809360;1803140.0;1809360.0;PBB026;BOR032;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;16-20;F;;stud;;;emilia-romagna;laurea in corso;4;intervista semistrutturata;sono // sì // mhmh // i bangladini e i pakistani che ti portano i paninoni a due e cinquanta // ah // // e ci metti dentro;praticamente;quello che vuoi poi al massimo c''è qualcosina che fa aumentare tipo di cinquanta centesimi il prezzo però bene o male //;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB026;#648521;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=1872540&end=1878177;1872540.0;1878177.0;PBB026;BOI094;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;56-60;M;;tec;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;sì la gastro~ // ah // e sono due le librerie coop // eh sì // dove si mangia anche // sono abbastanza vicine ma ce n''è una che;praticamente;fa libreria e sopra ristorante // bello // non ci vado da un bel po'' // e poi una cosa bella di bologna c''è la galleria cavour;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB026;#649122;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=2030548&end=2035477;2030548.0;2035477.0;PBB026;BOI094;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;56-60;M;;tec;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;// no no no no lì c''è mh adesso non so se c''è ancora avevano fatto un ascensore posticcio // ah // con un terrazzo eh;praticamente;andavi su e vedevi vedevi bologna // adesso cosa vuol dire posticcio? // bello // n~ n~ l''ho l''ho immaginato non // ma //;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB026;#649533;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=2163140&end=2164356;2163140.0;2164356.0;PBB026;BOI094;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;56-60;M;;tec;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;insomma molto bello molto interessante // poi siamo andati due volte a vedere // in due momenti diversi // mhmh // uno;praticamente;// la domenica che ci fu il secondo defunto per covid in italia // ah sì // al museo de mh del mh della cosa industriale dove;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;
PBB026;#650148;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=2374351&end=2379501;2374351.0;2379501.0;PBB026;BOI094;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;56-60;M;;tec;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;bologna la la strage quella della // della val di sole d~ dov''è che è stata pure // // vado a cercar su internet? // // // cioè;praticamente;andammo una domenica mattina andammo a visitare la rocchetta mattei // non ne ho idea // okay // eh // è quello del tipo che;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;
PBB026;#650699;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=2538540&end=2541877;2538540.0;2541877.0;PBB026;BOI094;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;56-60;M;;tec;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;okay // che è proprio una strada vera e propria // ah okay okay okay // oppure da un pa~ da un parco di casalecchio // mh // che;praticamente;scali il monte di san luca // ah // ci sono proprio è una specie una mezza mulattiera praticamente che passi solo // ah // a;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB026;#650718;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=2542670&end=2548413;2542670.0;2548413.0;PBB026;BOI094;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;56-60;M;;tec;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;casalecchio // mh // che praticamente scali il monte di san luca // ah // ci sono proprio è una specie una mezza mulattiera;praticamente;che passi solo // ah // a piedi o con la mountain bike // e qual è il più bello secondo voi? dal dei tre // eh quello dei portici;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;
PBB026;#654466;doc#89;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=3644280&end=3653402;3644280.0;3653402.0;PBB026;BOI094;01:01:20;;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;56-60;M;;tec;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;sì // mhmh // poi prendi la mh // lo strumento per tagliare i tortellini // mhmh // e inizi a fare delle strisce // okay sì // e;praticamente;vengono fuori dei quadrettini di di di di sfoglia ripieni con la carne dei tortellini che tu penserai // buono // sono;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB027;#656575;doc#90;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB027&begin=549462&end=553204;549462.0;553204.0;PBB027;BOI097;00:44:49;;https://search.corpuskiparla.it/corpus/conversations/PBB027.html;https://search.corpuskiparla.it/corpus/conversations/PBB027_jefferson.html;31-35;M;;uff;;;emilia-romagna;laurea;3;intervista semistrutturata;le superiori le avete fatte qua cioè // vi sentite abbastanza di vivere anche la città // sì // vi sembra no? // sì beh;praticamente;siam sem~ siamo sempre a bologna eh cioè // o no? // mh // beh bologna per // per tanti anni comunque // è rimasta un po'' la;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB027;#661105;doc#90;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB027&begin=1715060&end=1716716;1715060.0;1716716.0;PBB027;BOI098;00:44:49;;https://search.corpuskiparla.it/corpus/conversations/PBB027.html;https://search.corpuskiparla.it/corpus/conversations/PBB027_jefferson.html;31-35;M;;artig;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;metri quindici metri di tiro // questo cade // cade nessuno si preoccupa di don eh // non si era mai visto un tiro così;praticamente;// eh gol // secco così capito // secco questo ho fatto gol // lui ha detto ho fatto gol ho fatto gol // e tu eri presente o è una;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;
PBB021;#676770;doc#93;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB021&begin=421490&end=427700;421490.0;427700.0;PBB021;BOI085;00:31:13;;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021_jefferson.html;36-40;M;;uff;;;emilia-romagna;med;3;intervista semistrutturata;professionale intendo // eh mh aiutato sul piano professionale // e milano è stata è stata dura infatti non ho legato;praticamente;con n~ cioé non ho nessuno da andare a trovare là // se non un cliente con cui vabbé son stato in rapporto lavorativo vabbé;;;;;1;;;;;;;;;;;;;1;;;;;;;;;1;;;1.0;
PTD013;#682432;doc#95;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD013&begin=487048&end=495897;487048.0;495897.0;PTD013;TOI111;00:20:25;;https://search.corpuskiparla.it/corpus/conversations/PTD013.html;https://search.corpuskiparla.it/corpus/conversations/PTD013_jefferson.html;56-60;F;;intell;;;piemonte;dip_lic;2;intervista semistrutturata;il nuovo paese? // mah quando mi sono trasferita // l''impatto è stato soprattutto con con la con con i vicini di casa che;praticamente;sono in frazione // perché noi abitiamo in frazione e lì non è stato un grande impatto // perché come succede in tanti;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBC005;#690182;doc#97;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC005&begin=780810&end=786930;780810.0;786930.0;PBC005;BOI014;01:01:27;;https://search.corpuskiparla.it/corpus/conversations/PBC005.html;https://search.corpuskiparla.it/corpus/conversations/PBC005_jefferson.html;76-80;F;;pens;;;emilia-romagna;dip_lic;2;intervista semistrutturata;i miei fratelli della gue~ // ah okay // della guerra raccontavano queste cose qui // #mio padre al di'' la guerra;praticamente;non ha mai raccontato perchè lui è stato riformato // perchè lui aveva l''asma // okay e riformato significa? // quindi //;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBC005;#696739;doc#97;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC005&begin=3184740&end=3187640;3184740.0;3187640.0;PBC005;BOI014;01:01:27;;https://search.corpuskiparla.it/corpus/conversations/PBC005.html;https://search.corpuskiparla.it/corpus/conversations/PBC005_jefferson.html;76-80;F;;pens;;;emilia-romagna;dip_lic;2;intervista semistrutturata;la loro vita // i tempi adesso sono // cambiati moltissimo anche il mondo del lavoro non // il posto fisso non esiste;praticamente;più // e ci dobbiamo ade~ vi dovete adeguare perchè è così // quindi // se s~ uno aspetta di avere // le sicurezze non;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;
PBC003;#712485;doc#98;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC003&begin=4021162&end=4022930;4021162.0;4022930.0;PBC003;BOI010;01:15:05;;https://search.corpuskiparla.it/corpus/conversations/PBC003.html;https://search.corpuskiparla.it/corpus/conversations/PBC003_jefferson.html;71-75;M;;pens;;;emilia-romagna;med;3;intervista semistrutturata;più il tuo vici~ (balbetta quello di hai di fronte nel p~ ne n~ nel pianerottolo // c''era // mh // mh // non lo conosci;praticamente;// sì // ma quando siete venuti a abitare qua in via della beverara // avevamo solo una signora da sola di fronte // okay ma;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;1
KPS004;#734948;doc#100;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=614743&end=616942;614743.0;616942.0;KPS004;PKP033;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;e questo // piglio un piatto xxx metto qua dentro // questo anche non serve // metto qua dentro xxxx // ah xxxx // cioè;praticamente;io ho già finito di mangiare // c''è la frittata qua eh // eh lo so // e mangia più piano io io sono // ma adesso mi aiutate a;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
KPS004;#735466;doc#100;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=778128&end=781369;778128.0;781369.0;KPS004;PKP033;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;nonno // tipo il libro che ho letto io xxxxx // sì // cioè dopo questi vanno // lei si è incontrata con questa persona qui //;praticamente;mhmh praticamente dopo tu sei vuoi // eh // allora può si può registrare la mia vita // gliela dico xxxxx // no ma non non è eh;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#735468;doc#100;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=778128&end=781369;778128.0;781369.0;KPS004;PKP033;02:02:15;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;;intell;;;emilia-romagna;laurea;3;pasto;che ho letto io xxxxx // sì // cioè dopo questi vanno // lei si è incontrata con questa persona qui // praticamente mhmh;praticamente;dopo tu sei vuoi // eh // allora può si può registrare la mia vita // gliela dico xxxxx // no ma non non è eh no però è deve;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBA008;#782185;doc#104;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA008&begin=68087&end=74674;68087.0;74674.0;PBA008;BOI067;00:42:44;;https://search.corpuskiparla.it/corpus/conversations/PBA008.html;https://search.corpuskiparla.it/corpus/conversations/PBA008_jefferson.html;21-25;F;;disocc;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;dall''altra parte del ventisette cioè proprio // attraversa la città // attraversa la città sì sì // perchè bologna;praticamente;è fatta a raggera come un raggio di una bicicletta non so se te te l''hanno te l''hanno raccontato sicuramente // si vede //;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBA008;#782789;doc#104;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA008&begin=292600&end=297912;292600.0;297912.0;PBA008;BOI067;00:42:44;;https://search.corpuskiparla.it/corpus/conversations/PBA008.html;https://search.corpuskiparla.it/corpus/conversations/PBA008_jefferson.html;21-25;F;;disocc;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;ricerca // e svilupparla e poi diciamo prendere dei riferimenti // ehm // modificarli e creare un po'' la tua opera finale;praticamente;e e spiegarla // molto spesso facevamo al contrario // // partivamo // partivamo dall''opera finale // per poi andare a;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;
