Reference;;;;annotation.audio_file;;;;;;;;;;;;;;;;;;;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;;
BOD2010;#66213;doc#9;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2010&begin=648620&end=653512;648620.0;653512.0;BOD2010;BO074;00:24:57;;https://search.corpuskiparla.it/corpus/conversations/BOD2010.html;https://search.corpuskiparla.it/corpus/conversations/BOD2010_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;di tempo allora abbiamo detto // vabbè facciamocela in treno e ci siamo attraversati l'' italia e la francia in treno;praticamente;// è stato un bel viaggio? // sì // piacevole? // poi è stato // poi quello è stato l'' inizio del vero viaggio poi dopo // eh //;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;1;;;
BOD2019;#69917;doc#10;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=423045&end=424643;423045.0;424643.0;BOD2019;BO122;00:32:02;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;M;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;la staziona è vicina il centro è vicina è vicino ce stanno // concerti in ogni dove vicini anche parecchio perché //;praticamente;casa mia è circondata da tre l~ // tre locali che fanno musica dal vivo // anzi quattro perché c'' è pure~ c'' è il locomotiv il;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;1;1.0;
BOD2019;#74855;doc#10;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=1853022&end=1855839;1853022.0;1855839.0;BOD2019;BO122;00:32:02;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;M;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;posto // certo // quindi non so se se bologna è adatta // a // a me perché poi io so mh una persona // che sente veramente caldo;praticamente;tutto l'' anno // e passa'' l'' estate a bologna è ''na cosa che me terrorizza cioè se so // no ce credo // se penso de doverlo fare;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;
PBB029;#89375;doc#12;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB029&begin=181732&end=187577;181732.0;187577.0;PBB029;BOI101;00:38:16;;https://search.corpuskiparla.it/corpus/conversations/PBB029.html;https://search.corpuskiparla.it/corpus/conversations/PBB029_jefferson.html;31-35;M;;tec;;;emilia-romagna;dip_lic;2;intervista semistrutturata;a parte che // ma le uscite serali? // le uscite serali io tra virgolette per tutto il periodo m medie superiori avevo;praticamente;// principalmente uscivo con il mio gruppetto di amici del paesino // mh mh // quindi eravamo lì // quindi ci;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB029;#90973;doc#12;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB029&begin=654276&end=657996;654276.0;657996.0;PBB029;BOI101;00:38:16;;https://search.corpuskiparla.it/corpus/conversations/PBB029.html;https://search.corpuskiparla.it/corpus/conversations/PBB029_jefferson.html;31-35;M;;tec;;;emilia-romagna;dip_lic;2;intervista semistrutturata;qua della @nomesocietà a bolo~ nel campo estivo // che eh che facciamo alla @nomesocietà // avendolo preso in mano;praticamente;faccio fatica a spostarmi essendo il cordinatore // devo essere quasi sempre presente // mhmh // quindi // tutta;;;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;;1.0;
PBB029;#91601;doc#12;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB029&begin=855541&end=857933;855541.0;857933.0;PBB029;BOI101;00:38:16;;https://search.corpuskiparla.it/corpus/conversations/PBB029.html;https://search.corpuskiparla.it/corpus/conversations/PBB029_jefferson.html;31-35;M;;tec;;;emilia-romagna;dip_lic;2;intervista semistrutturata;più forti al mondo anche perché // ah funzio~ sì vabbè // hanno hanno il predominio // mhmh // nel mondo della ginnastica;praticamente;e quindi // vabbè ultimamente c''è quella brasiliana no? anche // sì rebecca andrade // cosa ne pensi? // che è un exploit;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
PBB029;#92931;doc#12;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB029&begin=1242408&end=1247121;1242408.0;1247121.0;PBB029;BOI101;00:38:16;;https://search.corpuskiparla.it/corpus/conversations/PBB029.html;https://search.corpuskiparla.it/corpus/conversations/PBB029_jefferson.html;31-35;M;;tec;;;emilia-romagna;dip_lic;2;intervista semistrutturata;// stat~a torino qualche città ma non a viverci proprio e // mhmh // poi vabbé però bologna è proprio bella tutta poi aveva;praticamente;tutto // cioè // okay quello che dicono tutti gli manca il mare però cioè // vabbé // chi se ne frega cioè // bastanza vicini;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;1;1.0;
PBB029;#93599;doc#12;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB029&begin=1458356&end=1459321;1458356.0;1459321.0;PBB029;BOI101;00:38:16;;https://search.corpuskiparla.it/corpus/conversations/PBB029.html;https://search.corpuskiparla.it/corpus/conversations/PBB029_jefferson.html;31-35;M;;tec;;;emilia-romagna;dip_lic;2;intervista semistrutturata;incontri sempre le stesse persone gli stessi cioè anche vedo // allenando appunto bambini di medie superiori // mhmh //;praticamente;// alle medie e quando passano alle superiori metà classe è praticamente la stessa perché hanno scelto tutti la stessa;;;;;1;;;;;;;;;;;;;1;;;;1;;;;;;;;;
KPN029;#97603;doc#13;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=267266&end=268662;267266.0;268662.0;KPN029;PKP139;00:31:11;;https://search.corpuskiparla.it/corpus/conversations/KPN029.html;https://search.corpuskiparla.it/corpus/conversations/KPN029_jefferson.html;21-25;F;;stud;;;basilicata;laurea in corso;3;pasto;ti ricordi alessio? quell''amico di andre fighissimo? // quello che vedemmo // sì okay me lo ricordo okay // quello là;praticamente;// ci siamo incontrati con andre // eh in giro così che c''era marco pure // sì // eh e abbiamo detto vabbè che cosa vogliamo;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;
KPN029;#99837;doc#13;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=850390&end=852043;850390.0;852043.0;KPN029;PKP139;00:31:11;;https://search.corpuskiparla.it/corpus/conversations/KPN029.html;https://search.corpuskiparla.it/corpus/conversations/KPN029_jefferson.html;21-25;F;;stud;;;basilicata;laurea in corso;3;pasto;// ho visto tipo la foto il be real però // dove // perché diceva in giornata // eh mh a quanto ho capito // vediamo se ha // mh;praticamente;// avevano organizzato una cosa proprio con l''università // c''aveva invitato pure a noi // e lei è andata con i suoi amici;;;;;1;;;;;;;;;;;;;1;;;;1;;;;;;;;1.0;
