Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
PTA015;#307942;doc#41;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA015&begin=120230&end=128400;120230;128400;TOR006;PTA015;00:37:36;;https://search.corpuskiparla.it/corpus/conversations/PTA015.html;https://search.corpuskiparla.it/corpus/conversations/PTA015_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;quindi qu~ questo posto attuale n~ non è il tuo primo impiego ma mi hai detto che prima lavoravi in una cartotecnica ho;capito;bene? // sì // ho lavorato con @nomeazienda // e lì che cosa facevi concretamente? // eh lì in realtà avendo avuto poco;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PTA015;#310846;doc#41;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA015&begin=1250300&end=1256391;1250300;1256391;TOR006;PTA015;00:37:36;;https://search.corpuskiparla.it/corpus/conversations/PTA015.html;https://search.corpuskiparla.it/corpus/conversations/PTA015_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;l''arte salverà il mondo? // l''arte lo sta già facendo // quindi sì // okay // // molto bene // ehmh // pensi che allora non ho;capito;il posto in cui lavori eh dove si in che paese si trova // si trova a grugliasco // okay // trentacinque chilometri da casa;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB007;#319897;doc#43;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB007&begin=201892&end=203014;201892;203014;BOI025;PBB007;00:37:32;;https://search.corpuskiparla.it/corpus/conversations/PBB007.html;https://search.corpuskiparla.it/corpus/conversations/PBB007_jefferson.html;31-35;M;;comm;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;c''è sempre stata // sono cambiati i locali // mhmh // sì ho capito però c''era molta meno gente molti meno studenti // ho;capito;xxx // cioè // anni fa via zamboni // e mh piazza verdi erano // pieni di ragazzi è gente della nostra età non gente che;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB007;#321812;doc#43;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB007&begin=803225&end=806219;803225;806219;BOI024;PBB007;00:37:32;;https://search.corpuskiparla.it/corpus/conversations/PBB007.html;https://search.corpuskiparla.it/corpus/conversations/PBB007_jefferson.html;36-40;F;;tec;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;dispersiva mh // è molto grande bologna è più raccolta cioè tu // attraversi la città in mezz''ora quando non c''è traffico;capito;cioè // mhmh // non è non non ci sono mai posti irraggiungibili // mhmh // e con i mezzi ti xxx ti puoi muo~ muovere benissimo;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;
PBC013;#328598;doc#44;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC013&begin=836870&end=839120;836870;839120;BOI035;PBC013;01:08:09;;https://search.corpuskiparla.it/corpus/conversations/PBC013.html;https://search.corpuskiparla.it/corpus/conversations/PBC013_jefferson.html;76-80;F;;pens;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;// oh meno male // // ehm e dicevo ai miei compagni in quel momento lì emotivamente io ho avuto un imprinting // cioè ho;capito;da che parte stare // e proprio perché erano i miei famigliari i miei parenti la gente che amavo quella che veniva e non ho;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC013;#328734;doc#44;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC013&begin=893680&end=897900;893680;897900;BOI035;PBC013;01:08:09;;https://search.corpuskiparla.it/corpus/conversations/PBC013.html;https://search.corpuskiparla.it/corpus/conversations/PBC013_jefferson.html;76-80;F;;pens;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;a casa piangendo // verso le undici del mattino io non capivo perché // qualcuno mi ha detto perché è morto stalin cioè hai;capito?;// mh // eh che era il faro dell''avvenire // era colui che prometteva una vita diversa migliore senza padroni senza // ehm;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB027;#352991;doc#48;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB027&begin=803052&end=804199;803052;804199;BOI097;PBB027;00:44:49;;https://search.corpuskiparla.it/corpus/conversations/PBB027.html;https://search.corpuskiparla.it/corpus/conversations/PBB027_jefferson.html;31-35;M;;uff;;;emilia-romagna;laurea;3;intervista semistrutturata;il motorino // nessuno // cioè comunque la strada la strada la sera brutta // sì // se devo pensare a mio figlio // sì ho;capito;// sì è brutta // io se devo pensare adesso a mio figlio a quattordic''anni che prende il motorino sudo freddo quando mi;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB027;#353619;doc#48;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB027&begin=989478&end=995983;989478;995983;BOR036;PBB027;00:44:49;;https://search.corpuskiparla.it/corpus/conversations/PBB027.html;https://search.corpuskiparla.it/corpus/conversations/PBB027_jefferson.html;31-35;F;;intell;;;emilia-romagna;phd;3;intervista semistrutturata;trascritte dagli studenti mi diceva ma gli studenti quanti anni hanno così // fatto bene // certo // v~ mh // non ho;capito;esattamente che cosa in mente cioè non capisco se è perchè la città cambia o perchè uno cambia // no // uno cambia mh // uno;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB027;#353749;doc#48;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB027&begin=1029615&end=1030409;1029615;1030409;BOR036;PBB027;00:44:49;;https://search.corpuskiparla.it/corpus/conversations/PBB027.html;https://search.corpuskiparla.it/corpus/conversations/PBB027_jefferson.html;31-35;F;;intell;;;emilia-romagna;phd;3;intervista semistrutturata;a capire se la ci~ com''era la città // in quel momento lì // mh mh // quindi non te lo posso dire adesso se è cambiata o no // ho;capito;sì // beh però // son passati dieci anni non son passati // quarant''anni // sì sì sì // però un un po'' un po'' un po'' di;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB027;#358447;doc#48;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB027&begin=2202272&end=2206372;2202272;2206372;BOI097;PBB027;00:44:49;;https://search.corpuskiparla.it/corpus/conversations/PBB027.html;https://search.corpuskiparla.it/corpus/conversations/PBB027_jefferson.html;31-35;M;;uff;;;emilia-romagna;laurea;3;intervista semistrutturata;eccetera di proprio di parole che si dicono solo qui il rusco // beh // #il rusco? // #il rusco il rusco che non abbiamo mai;capito;esattamente // #il rusco so // x // quale sia // #no rusco non so da dove deriva // il significato // però si parla di parole;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB027;#359629;doc#48;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB027&begin=2459304&end=2460705;2459304;2460705;BOI098;PBB027;00:44:49;;https://search.corpuskiparla.it/corpus/conversations/PBB027.html;https://search.corpuskiparla.it/corpus/conversations/PBB027_jefferson.html;31-35;M;;artig;;;emilia-romagna;dip_tec_prof;3;intervista semistrutturata;in dialetto // e poi non avrebbe neanche senso // no no beh certo sì sì la situazione sì sì // quello che ti sto dicendo cioè;capito;// la situazione // è proprio la situazione se una persona mi parla in dialetto // m~ mi attiva // il coso la cosa diale~;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;0;;
PTB003;#370247;doc#50;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB003&begin=1661296&end=1664700;1661296;1664700;TOR004;PTB003;00:52:01;;https://search.corpuskiparla.it/corpus/conversations/PTB003.html;https://search.corpuskiparla.it/corpus/conversations/PTB003_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;3;intervista semistrutturata;una ragazza una mi piaceva ma ha detto di no basta è finito // e aspetta un attimo com''è che ti ha trovata io non ho mica;capito;// come m''ha trovata io stavo a luce~ mia m~ nonna la mamma di mia mamma stava a lucera // eh // e abitavano // nello stesso;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPC005;#375933;doc#51;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC005&begin=350540&end=358105;350540;358105;PKP064;KPC005;00:32:16;;https://search.corpuskiparla.it/corpus/conversations/KPC005.html;https://search.corpuskiparla.it/corpus/conversations/KPC005_jefferson.html;56-60;M;;artig;;;marche;med;3;pasto;allora alla fine glie fa // guarda sta a senti'' // ha detto l''importante ha detto è non falla sposa'' con un albanese;capito;ha detto perché ruba tutti ammazza tutti // no no ha detto quelli è bravi è bravi quelle è brave persone non è gli ho detto ma;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;
KPC005;#376432;doc#51;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC005&begin=517450&end=523540;517450;523540;PKP065;KPC005;00:32:16;;https://search.corpuskiparla.it/corpus/conversations/KPC005.html;https://search.corpuskiparla.it/corpus/conversations/KPC005_jefferson.html;56-60;F;;uff;;;calabria;dip_tec_prof;3;pasto;perché a tornare giù e meglio? // a tornare giù eh non mi intere~ interessa nel senso che // arrivo un''ora più tardi xxx //;capito;eh però arrivare su con tutto il traffico che c''è entrare dentro bologna arriva~ prima di tutto // tanto se lavoriamo;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;0;;
KPC005;#378041;doc#51;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC005&begin=1071543&end=1074632;1071543;1074632;PKP065;KPC005;00:32:16;;https://search.corpuskiparla.it/corpus/conversations/KPC005.html;https://search.corpuskiparla.it/corpus/conversations/KPC005_jefferson.html;56-60;F;;uff;;;calabria;dip_tec_prof;3;pasto;andare a torre melissa da pinuccia a fare la pitta nchiusa // è vero che te~ // io il ponte dell''otto l''ho prenotato // ho;capito;ma come se fa come se fa // a dicembre mh c''è da pagare il mondo c''è da pagare oh // devi pagare le tasse dell''università //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
