Reference;Tok_ID;Doc_ID;Year;Topic;conv_transcription;conv_jefferson;Speaker_Age;età;Speaker_Gender;Place;Provenience;Relationship;Text_Type;Job;Education;N_Speakers;annotation.audio_file;Left;KWIC;Right;Non SD;presenta complementatore;sta per sapere, es. saper dire;;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
BOA3013;#2150562;doc#290;2017/18;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3013.html;https://search.corpuskiparla.it/corpus/conversations/BOA3013_jefferson.html;21-25;;F;BO;sicilia;simmetrico;conversazione libera;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3013&begin=760130&end=761259;// oppure perché non mi guardi? // esatto // perché non mi guardi più? // mamma mia // non xx xxx andare a studiare // mh //;mi sa;che sei un po'' stanca? // chissà perché poi xxx // c'' è freddo // il freddo stanca // // a me il freddo stanca anche come;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOA3013;#2150594;doc#290;2017/18;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3013.html;https://search.corpuskiparla.it/corpus/conversations/BOA3013_jefferson.html;21-25;;F;BO;lombardia;simmetrico;conversazione libera;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3013&begin=777740&end=781914;po'' stanca? // chissà perché poi xxx // c'' è freddo // il freddo stanca // // a me il freddo stanca anche come pensieri // mh;mi sa;che adesso lavo i piatti poi mi faccio ancora una mezz'' oretta con // tisana o caffè d'' orzo // ci sta ci sta // e poi xx // sì i;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBB019;#2155893;doc#291;2022;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB019.html;https://search.corpuskiparla.it/corpus/conversations/PBB019_jefferson.html;51-55;;F;BO;emilia-romagna;asimmetrico;intervista semistrutturata;intell;laurea;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB019&begin=1816510&end=1818950;identificabile perchè non è troppo marcato // eh si capisce che non sei di bologna però non si capisce di dove // // senti;mi sa;che io ormai devo andare // sì no infatti io non voglio // tu hai abbastanza materiale? // ma sì direi che // adesso vediamo;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOA3011;#2161281;doc#292;2019;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;;F;TO;lombardia;simmetrico;conversazione libera;stud;laurea in corso;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=1210454&end=1212303;// il cane xxx già // credo che sia lo stesso formato di cani di // primo incontro con gianna // di guido più o meno // sì;mi sa;che è simile // ah eh rossi? // eh non non sta un attimo fermo // no ma adesso è tranquillo ma perché tu quando l'' hai;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOD2014;#2163962;doc#293;2017/18;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2014.html;https://search.corpuskiparla.it/corpus/conversations/BOD2014_jefferson.html;21-25;;M;BO;emilia-romagna;simmetrico;intervista semistrutturata;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2014&begin=632803&end=635003;e lui è arrivato tutto a posto mentre noi cucinavamo ha iniziato a bere ma ha bevuto neanche tanto // una birra però;mi sa;che aveva già bevuto a casa // e poi è crollato // ad addormentare non ha mangiato un cazzo // si è risvegliato alle due di;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOD2014;#2164768;doc#293;2017/18;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2014.html;https://search.corpuskiparla.it/corpus/conversations/BOD2014_jefferson.html;21-25;;M;BO;emilia-romagna;simmetrico;intervista semistrutturata;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2014&begin=920385&end=921881;lui è pieno // c'' ha // lucio e sandro c'' è // le acide radici ci sono a pesaro ne ha altri due eh se a pesaro a rimini // anche se;mi sa;che quelli li lascia // oh ma sai che poi // lodo ha trovato una mezza tipa? // mh? // ma quella del le giocatrici di;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOD2018;#2217778;doc#301;2017/18;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2018.html;https://search.corpuskiparla.it/corpus/conversations/BOD2018_jefferson.html;21-25;;F;BO;marche;simmetrico;intervista semistrutturata;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2018&begin=232200&end=233660;in realtà non ci sto quasi mai perché son sempre qua a bologna e // non ho in realtà un~ una stanza preferita // nemmeno io;mi sa;che ce l'' ho // anche perché casa mia tipo è molto cioè dà molto un senso di freddo // perché l'' hanno rifatta da poco quindi è;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTD006;#2247949;doc#307;2019;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD006.html;https://search.corpuskiparla.it/corpus/conversations/PTD006_jefferson.html;21-25;;F;TO;piemonte;asimmetrico;intervista semistrutturata;stud;laurea in corso;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD006&begin=1046856&end=1048481;in un call center per torino alla // posso dire l''a~ l''azienda? // sì sì // si chiama @nomeazienda // ah ma è famoso;mi sa;// che è in vi~ in vi via #nomeluogo sì ehm // iomh non homh non ho avuto una bellissima esperienza in questo // ma secondo te;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBA019;#2263453;doc#308;2023;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA019.html;https://search.corpuskiparla.it/corpus/conversations/PBA019_jefferson.html;21-25;;M;BO;lazio;asimmetrico;intervista semistrutturata;uff;dip_tec_prof;4;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA019&begin=1640790&end=1642599;a sei // forse è quello il sei // è quello quello // allora devo anda'' a vede'' allora // quindi li sai tutti adesso? // io;mi sa;di sì eh io li so tutti // ma allora le freccie // sì // il telefono senza fili in piazza maggiore // il telefono senza fili //;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOC1003;#2270469;doc#310;2017/18;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1003.html;https://search.corpuskiparla.it/corpus/conversations/TOC1003_jefferson.html;56-60;;M;TO;piemonte;asimmetrico;esame;intell;phd;2;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=21036&end=22791;// eh ha le dispense? // sì // giusto pereh // benissimo quindi di quest'' anno // sì // ehm // iniziamo dall'' impresa //;mi sa;dire qualcosa sull'' institore // sì // allora l'' insti~ l'' instintore è colui cheè preposto dalehmh dall'' imprenditore;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
