Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
PBC025;#2685257;doc#377;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC025&begin=898293&end=901910;898293;901910;BOR025;PBC025;00:52:18;;https://search.corpuskiparla.it/corpus/conversations/PBC025.html;https://search.corpuskiparla.it/corpus/conversations/PBC025_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;anche in quel momento quando buttaron giù la porta d''azeglio che non c''è più // ah // ah ah // eh purtroppo // esatto //;immagino;quanto fosse se già è ricca adesso figuriamoci un tempo bologna // eh beh // può darsi // ehm parlando appunto invece;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC025;#2686391;doc#377;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC025&begin=1253497&end=1257399;1253497;1257399;BOR025;PBC025;00:52:18;;https://search.corpuskiparla.it/corpus/conversations/PBC025.html;https://search.corpuskiparla.it/corpus/conversations/PBC025_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;è un''opera quasi d''arte che vien fatta da artisti per // sì // col comune // mhmh // che // io non l''ho mai visto però;immagino;almeno una volta sia da vedere // sì sì sì // sì poi sai se vuoi entrare nella piazza ci sono i pass // ah // è un numero chiuso;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PTD017;#2695275;doc#378;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD017&begin=725160&end=727369;725160;727369;TOI078;PTD017;00:38:22;;https://search.corpuskiparla.it/corpus/conversations/PTD017.html;https://search.corpuskiparla.it/corpus/conversations/PTD017_jefferson.html;36-40;M;;impr;;;piemonte;dip_lic;2;intervista semistrutturata;che passavano la polizia cioè è quello che dico c''è una situazione // quando lasci a sé stare a s~ a sè stare le // le zone //;immagino;che questa cosa si possa verificare no? // mh mh mh mh // quindi la gente va lì perché tanto sa che bene o male può starci // mh;1;penso che questa cosa si possa verificare no?;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC002;#2703641;doc#379;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC002&begin=926690&end=929300;926690;929300;BOR003;PBC002;00:32:19;;https://search.corpuskiparla.it/corpus/conversations/PBC002.html;https://search.corpuskiparla.it/corpus/conversations/PBC002_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;succedono queste cose // purtroppo è quello che impedisce adesso di vivere sereni // ed è una cosa che a me dispiace // mh;immagino;da bolognesi è // sì no ma poi ci si impegna le associazioni commercianti singoli // se si si impegnano a pulire il giorno;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;0;;
PBC002;#2703681;doc#379;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC002&begin=942120&end=943750;942120;943750;BOR003;PBC002;00:32:19;;https://search.corpuskiparla.it/corpus/conversations/PBC002.html;https://search.corpuskiparla.it/corpus/conversations/PBC002_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;singoli // se si si impegnano a pulire il giorno dopo è di nuovo come prima è una cosa che disturba moltissimo // mhmh no;immagino;// un bolognese non è abituato a questa cosa // purtroppo // non puoi mettere l''esercito nelle strade insomma // no no è;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;0;;
TOD1005;#2723890;doc#381;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1005&begin=650135&end=653735;650135;653735;TO017;TOD1005;01:02:06;;https://search.corpuskiparla.it/corpus/conversations/TOD1005.html;https://search.corpuskiparla.it/corpus/conversations/TOD1005_jefferson.html;31-35;M;;intell;;;piemonte;phd;1;lezione;che riguarda l''esame // è orale // la parte // che riguarda dialettologia araba // cioè // il sottoscritto // la bianchi;immagino;vi abbia spiegato che fate l'' e~ non c'' è stato l'' esonero ancora vero // no // okay // quindi farete l'' esame scritto con lei;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPC009;#2759004;doc#385;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=1400808&end=1404949;1400808;1404949;PKP088;KPC009;01:04:17;;https://search.corpuskiparla.it/corpus/conversations/KPC009.html;https://search.corpuskiparla.it/corpus/conversations/KPC009_jefferson.html;21-25;F;;stud;;;umbria;laurea in corso;3;pasto;sentito là ma // non era b(uono) // eh vabbè ma gli è piaciuto ? // non era un gra~ eh no // eh ha detto un antro sapore quindi me;immagino;q~ quel che ha bevuto // eh // eh ma gli è piaciuto insomma // sì sì // insomma eh arriva lui non capiva niente de quello che;1;penso a quel che ha bevuto;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
KPC009;#2759390;doc#385;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=1499280&end=1500242;1499280;1500242;PKP089;KPC009;01:04:17;;https://search.corpuskiparla.it/corpus/conversations/KPC009.html;https://search.corpuskiparla.it/corpus/conversations/KPC009_jefferson.html;21-25;F;;artig;;;umbria;dip_tec_prof;3;pasto;vabbè comunque c''era il salame prosciutto formaggio cioè non è che c''era tanto eh // ah ho capito quale se // eh // mh // me;immagino;// quindi due spritz un tagliere noccioline trentacinqu''euro // porca puttana // eh come m a arezzo // eh // semo lì //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC015;#2768747;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=155635&end=159720;155635;159720;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;// che poi dev''essere molto semplice soprattutto // non so io non non riesco a orientarmi neanche con google maps;immagino;// // no beh // oddio // sai eh mh è chiaro che per noi // le difficoltà // erano erano maggiori però poi è anche vero che //;;;;;1;;;1;;;;1;;;;;;;;;;;;1;;;;;;1;;
PBC015;#2769129;doc#386;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC015&begin=309729&end=312385;309729;312385;BOR010;PBC015;00:32:24;;https://search.corpuskiparla.it/corpus/conversations/PBC015.html;https://search.corpuskiparla.it/corpus/conversations/PBC015_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;// decisamente il piacevole vince insomma ecco sono stati trent''anni belli insomma // eh assolutamente;immagino;di sì // // // // tra l''altro non so io mi stupi~ cioè io ammiro tantissimo tutte le persone che riescono a muoversi per;1;penso di si;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
