Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
PTD015;#2383064;doc#339;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD015&begin=1003213&end=1008006;1003213;1008006;PTD015;;00:48:55;;https://search.corpuskiparla.it/corpus/conversations/PTD015.html;https://search.corpuskiparla.it/corpus/conversations/PTD015_jefferson.html;36-40;F;;intell;;;piemonte;dip_lic;4;intervista semistrutturata;devo dire che mi é piaciuto il f~ il fatto di riuscire a vedere un''altra // realtà nella stessa città diversa e trovare;comunque;persone // insomma di un certo valore // mh mh mh // quindi hai trova~ cioé comunque é stata un''esperienza positiva sia;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;
PTD015;#2383222;doc#339;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD015&begin=1050482&end=1054503;1050482;1054503;PTD015;;00:48:55;;https://search.corpuskiparla.it/corpus/conversations/PTD015.html;https://search.corpuskiparla.it/corpus/conversations/PTD015_jefferson.html;36-40;F;;intell;;;piemonte;dip_lic;4;intervista semistrutturata;in piazza borgo d''ora ero costretta e le prime volte avevo il terrore // mh mh // poi dopo // con il passare dei giorni;comunque;dopo anni dopo tempo // mi sentivo bene mi sentivo a casa tranquilla beh certo non si può dire che uno mh va in giro con;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;
PTD015;#2385728;doc#339;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD015&begin=1831807&end=1834607;1831807;1834607;PTD015;;00:48:55;;https://search.corpuskiparla.it/corpus/conversations/PTD015.html;https://search.corpuskiparla.it/corpus/conversations/PTD015_jefferson.html;36-40;F;;intell;;;piemonte;laurea;4;intervista semistrutturata;iniziato ad aprire locali notturni // e il locale notturno porta tanta gente // eh e quindi tanta gente significa // che;comunque;gli spacciatori son disturbati // eh // infatti si spostano al valentino adesso // sì sono più da via ormea verso // mh //;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;
PTD015;#2385938;doc#339;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD015&begin=1887769&end=1890717;1887769;1890717;PTD015;;00:48:55;;https://search.corpuskiparla.it/corpus/conversations/PTD015.html;https://search.corpuskiparla.it/corpus/conversations/PTD015_jefferson.html;36-40;F;;intell;;;piemonte;dip_lic;4;intervista semistrutturata;così non so se si dice ancora adesso // sì sì // non so sì sì beh credo di sì peró é é tipico nostro // non lo so // ha manda~;comunque;il sabato pomeriggio far le vasche in centro // non si usa? // // eh // eh sì e poi avevo degli amici che abitavano mh in;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
PTD015;#2388207;doc#339;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD015&begin=2550096&end=2554407;2550096;2554407;PTD015;;00:48:55;;https://search.corpuskiparla.it/corpus/conversations/PTD015.html;https://search.corpuskiparla.it/corpus/conversations/PTD015_jefferson.html;36-40;F;;intell;;;piemonte;laurea;4;intervista semistrutturata;xxx xxx // erano anacronistici // si guardavano lì dicevano no ma guarda là e io oh che carini // beh io quando viaggio;comunque;ho la mia guida cartacea eh io non mi non l''abbandono // sì ma da metterla su nella libreria // // no no no // io // // cioé;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTB001;#2399074;doc#341;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=332670&end=335190;332670;335190;PTB001;;01:17:52;;https://search.corpuskiparla.it/corpus/conversations/PTB001.html;https://search.corpuskiparla.it/corpus/conversations/PTB001_jefferson.html;61-65;M;;pens;;;puglia;elem;3;intervista semistrutturata;a porta nuova mi sembrava di essere nel mondo dei sogni di una cosa // che mai più avrei immaginato nella mia vita ma che;comunque;// televisori non ce n''erano non c''erano notizie // proprio zero di tutto // mh // eh arrivare qua e vedere // questa;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;
PTB001;#2399545;doc#341;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=461873&end=463170;461873;463170;PTB001;;01:17:52;;https://search.corpuskiparla.it/corpus/conversations/PTB001.html;https://search.corpuskiparla.it/corpus/conversations/PTB001_jefferson.html;61-65;M;;pens;;;puglia;elem;3;intervista semistrutturata;gente che andava a destra e sinistra da i %pullma che arrivavano i taxi // c''era tutta una cosa che era incredibile // e;comunque;niente questo // è andato bene eh // insomma ta~ // mh // talmente l''ha impressionata che se la ricorda ancora oggi xxxxx;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
PTB001;#2400257;doc#341;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=655502&end=657632;655502;657632;PTB001;;01:17:52;;https://search.corpuskiparla.it/corpus/conversations/PTB001.html;https://search.corpuskiparla.it/corpus/conversations/PTB001_jefferson.html;31-35;M;;stud;;;abruzzo;laurea in corso;3;intervista semistrutturata;per terra // con il bambino lì con la fiamma con la cosa che xxx xx gli scoppiava la bomba // eh sì // scoppiava // perché;comunque;c''erano ancora bombe interrate xxx // eh certo c''era il bo~ le bombe interrate o erano dei pezzi dimenti~ per lasciati lì;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;
PTB001;#2402285;doc#341;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=1179372&end=1182730;1179372;1182730;PTB001;;01:17:52;;https://search.corpuskiparla.it/corpus/conversations/PTB001.html;https://search.corpuskiparla.it/corpus/conversations/PTB001_jefferson.html;61-65;M;;pens;;;puglia;elem;3;intervista semistrutturata;alla settimana // lì le paghe me le davano settimanalmente // erano tanti? // erano // erano pochi erano pochi ma erano //;comunque;ti no no non stavi non stavi comunque in mezzo alla strada // no era già abbastanza // eh // questo era la cosa fondamentale;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
PTB001;#2402293;doc#341;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=1179372&end=1182730;1179372;1182730;PTB001;;01:17:52;;https://search.corpuskiparla.it/corpus/conversations/PTB001.html;https://search.corpuskiparla.it/corpus/conversations/PTB001_jefferson.html;61-65;M;;pens;;;puglia;elem;3;intervista semistrutturata;settimanalmente // erano tanti? // erano // erano pochi erano pochi ma erano // comunque ti no no non stavi non stavi;comunque;in mezzo alla strada // no era già abbastanza // eh // questo era la cosa fondamentale di mio padre // eh // era n~ // non;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;
