Reference;Token number;Document number;Anno di raccolta;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;annotation.audio_file;Left;KWIC;Right;Non SD;Test dell'omissione;Test della reggenza sintattica;Test prosodico;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
KPS004;#24638;doc#0;;7240938;7244438;PKP034;KPS004;;;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;;pens;;;puglia;dip_tec_prof;3;pasto;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=7240938&end=7244438;scendevamo io c''ho una fotografia che m''è rimasta mia e delle m~ // del gruppo delle // che mh prima scendevamo giù sotto;diciamo;al piazzale // che c''erano gli alberi poi c''era la // la cosa c''era il campo da tennis e // e di là s''andava al foro italico //; ;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;0;;
PBB024;#25149;doc#1;;84937;88358;BOI091;PBB024;;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=84937&end=88358;con me // ecco // d''accordo // mentre ritornando alla zona attuale in cui vivi eh hai pareri ti piace questa zona? //;diciamo;che a livello di traffico l''adoro // nel senso che quando vado a trovare mia mamma che abita // ancora in @nomeluogo ehm il;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB024;#25302;doc#1;;143603;149720;BOI091;PBB024;;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=143603&end=149720;fine ti ritrovi a doverti spostare spesso // sì // e in che zone più o meno // beh considerando che lavoro in corticella;diciamo;che quando poi devo fare qualcosa la zona che m~ // si può dire bazzico di più è quella nel senso che conosco bene quella;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB024;#25715;doc#1;;308148;313249;BOI091;PBB024;;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=308148&end=313249;certo // certo // e riterresti che sia sano? eh // scusa siano eh rapprasentativi quindi della cultura bolognese? // mah;diciamo;che è una cosa più turistica probabilmente che proprio culturalmente // perché diresti questo // mah // perché se pensi;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB024;#28639;doc#1;;1323920;1328879;BOI091;PBB024;;;https://search.corpuskiparla.it/corpus/conversations/PBB024.html;https://search.corpuskiparla.it/corpus/conversations/PBB024_jefferson.html;46-50;F;;uff;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB024&begin=1323920&end=1328879;a posto // perché eh leggevo che c''è l''iniziativa di risi~ ri // non ristruttararli di vabbè mh riportarli al loro arbore;diciamo;così // certo // albore // ehm // volevo chiederti infatti appunto abbiam parlato del loro stato // ci sono anche molte; ; ; ; ;1;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;
PBA004;#42048;doc#3;;1426310;1427760;BOI060;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1426310&end=1427760;// vabbè quello è tutta una parte se~ se~ assestante però si diciamo ehm ri~ ritornando all''argomento principale // ehm;diciamo;com''è // durante la settimana okay // al fine settimana o festivi // alla sera c''è // per~ non è per tutti ecco cioè sì //; ; ; ; ;1;1;;;;;;;;;;;;;;;;1;;;;;;;;0;;
PBA004;#42970;doc#3;;1725867;1728887;BOI060;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1725867&end=1728887;particolare più il classico vabbè uscire con gli amici ma // vabbè sì // è una cosa diciamo più // nella norma // ehm // poi;diciamo;a parte quello // una volta poi smesso non ho fatto // ho fatto un paio di anni di non dico completo abbandono ma // simile //; ;;;;1;1;;;;;;;;;;1;;;;;;1;;;;;;;;0;;
PBA004;#43124;doc#3;;1778560;1779010;BOR018;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;;stud;;;calabria;laurea in corso;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1778560&end=1779010;agonistico che avevo prima non posso più riprenderlo ormai è tardi // e sono vecchio ormai ci~ uhm diciamo // ehm // sì //;diciamo;// // su quel contesto lì ormai è tardi // (l''hai preso un biscotto // grazie // ehm // però si era // nel mio caso era una; ; ; ; ;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;1;;
PBA004;#45543;doc#3;;2527330;2530420;BOI060;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2527330&end=2530420;che mi è difficile diciamo ascoltare continuare ascoltare è la classica // mh // e non~ non su tutte // dipende da che mo~;diciamo;che cosa sto ascoltando // no ci sta può seccare ogni tanto // e la trovo un po'' troppo // calma // // definiamola in questa; ; ;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
PBA004;#46920;doc#3;;2969030;2969760;BOI060;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2969030&end=2969760;molto // è più il genere con i video e tutto erano queste cose strane // // con immagini strane // e anche un po'' // //;diciamo;// paurose // spinte ah no // sì no beh più che spinte erano // molto dark possiamo d~ cioè molto tetre molte // eh dicevi; ; ;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
PBA004;#48198;doc#3;;3328700;3330580;BOI060;PBA004;;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=3328700&end=3330580;non è nostra c''è un ristorante che ha la piscina giù // poi abbiamo un accesso // un po'' più // diciamo // fa~ non facilitato;diciamo;// e // abbiamo gli sconti in amicizia // abbiamo un pic~ un piccolo sconto amicizia residente // ah vabbè dai eh eh grazie; ; ;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
BOD2001;#49082;doc#4;;160265;175330;BO014;BOD2001;;;https://search.corpuskiparla.it/corpus/conversations/BOD2001.html;https://search.corpuskiparla.it/corpus/conversations/BOD2001_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2001&begin=160265&end=175330;soprattutto con i ragazzi che ho conosciuto qua a bologna ci mh magari se eravamo molti da modena o parma o altre zone eh;diciamo;dell'' emilia abbiamo fatto una macchina e siamo venute a bologna sì per qualche cosa sì // capito e tu hai detto hai sempre; ; ;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;0;;
BOD2001;#49332;doc#4;;255565;267173;BO014;BOD2001;;;https://search.corpuskiparla.it/corpus/conversations/BOD2001.html;https://search.corpuskiparla.it/corpus/conversations/BOD2001_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2001&begin=255565&end=267173;son trovata bene anche se devo dire che sì non era era uno studentato un po'' vecchio // eh un po'' eh sì fatiscente peròmh eh;diciamo;che le parti della cucina e il bagno erano stati tutti rinnovati quindi alla fine mi trovavo bene era solo la stanza un po'';1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD2001;#49483;doc#4;;304598;321196;BO014;BOD2001;;;https://search.corpuskiparla.it/corpus/conversations/BOD2001.html;https://search.corpuskiparla.it/corpus/conversations/BOD2001_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2001&begin=304598&end=321196;ragazzi con la birra che mi salutano e mi fanno hi e quindi ho capito che erano loro ad avermi lasciato questo complimento;diciamo;mh vabbè primo impatto un po'' traumatico poi diciamo sì si rompe il ghiaccio dai // siete diventati amici // sì // capito; ;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;;0;;
BOD2001;#50003;doc#4;;495465;509940;BO014;BOD2001;;;https://search.corpuskiparla.it/corpus/conversations/BOD2001.html;https://search.corpuskiparla.it/corpus/conversations/BOD2001_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2001&begin=495465&end=509940;amica ehm // orientativamente so che le zone un po'' meno care sono ex bolognina o insomma queste zone qui // e però sì mh;diciamo;che in base amh al luogo di lavoro oppure non so all'' università ecco cercherei qualcosa di eh vicino però che sia un po'' un;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA020;#51917;doc#5;;224338;225907;BOR029;PBA020;;;https://search.corpuskiparla.it/corpus/conversations/PBA020.html;https://search.corpuskiparla.it/corpus/conversations/PBA020_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA020&begin=224338&end=225907;domande generali? // sì se vuoi // allora // bologna è da sempre ricca di manifestazioni ed eventi // mhmh // ehm // questo;diciamo;// essere una città ricca di di di eventi // di cose da fare di // è un aspetto che ti piace // o è un aspetto che magari ti; ;;;;1;;;;;;;;;;;;;1;;;;1;;;;;;;;0;;
PBA020;#52984;doc#5;;603635;605947;BOR029;PBA020;;;https://search.corpuskiparla.it/corpus/conversations/PBA020.html;https://search.corpuskiparla.it/corpus/conversations/PBA020_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA020&begin=603635&end=605947;te è una tradizione forte // che ti colpisce in qualche modo // insomma ti ti influenza in qualche modo // oppure la la vivi;diciamo;in modo passivo // la lasci passare così // beh il natale mh // è stare in famiglia no? // anche noi // giustamente abbiamo; ;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
PBB021;#56280;doc#6;;191720;194540;BOI085;PBB021;;;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021_jefferson.html;36-40;M;;uff;;;emilia-romagna;med;3;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB021&begin=191720&end=194540;e qual è quella che ti ha ti è piaciuta di più? dove hai lavorato meglio? dove stai lavorando meglio? // milano // eh // ma;diciamo;che eh // bologna assolutamente // stavo stavo ragionando su una domanda magari più articolata però in verità bologna;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB021;#57244;doc#6;;543350;550030;BOI085;PBB021;;;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021_jefferson.html;36-40;M;;uff;;;emilia-romagna;med;3;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB021&begin=543350&end=550030;valutare dopo un periodo di tempo se le attività che sta svolgendo gli portano un profitto mh oppure no // se invece e //;diciamo;lo fa così mh a bologna si dice un tanto al chilo lo fa mh a caso comunque a livello amatoriale // la difficoltà è capire s~ e; ;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;0;;
PBB021;#57733;doc#6;;713070;725880;BOI085;PBB021;;;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021_jefferson.html;36-40;M;;uff;;;emilia-romagna;med;3;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB021&begin=713070&end=725880;sai proprio niente vai a manifestare per partito preso e non ti informi quello eh~ non è bello // mhmh // e mentre invece //;diciamo;che e io ho modo di parlare anche perché comunque ho trentasette anni ho modo di parlare di questi temi anche in modo un;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB021;#59063;doc#6;;1166560;1174540;BOI085;PBB021;;;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021_jefferson.html;36-40;M;;uff;;;emilia-romagna;med;3;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB021&begin=1166560&end=1174540;fuori? // l''ho fatto una volta in centro // okay // l''ho fatto una volta in centro molto divertente anche quelle sono // eh;diciamo;ricorrenze che non curo molto a cui non sono molto interessato // diciamo che dipende da come mi sveglio la mattina del; ;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;0;;
PBB021;#59519;doc#6;;1330210;1333340;BOI085;PBB021;;;https://search.corpuskiparla.it/corpus/conversations/PBB021.html;https://search.corpuskiparla.it/corpus/conversations/PBB021_jefferson.html;36-40;M;;uff;;;emilia-romagna;med;3;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB021&begin=1330210&end=1333340;modo di gestire le cose // poi ovviamente // eh lui ha un tipo di attività e e io mi occupo di tutt''altro // mhmh mhmh // però;diciamo;che mh // uh come posso dirti? è difficile trovare persone che quando parlano di eh riescono a trasmettere davvero;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC010;#61796;doc#7;;294606;308290;BOI029;PBC010;;;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;61-65;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=294606&end=308290;lapidi i singole cose che venivano fatte dalle classi che negli ultimi eh cinque anni abbiamo voluto eh non più farle;diciamo;in maniera spontanea // mhmh // ma abbiamo voluto raccogliere il lavoro delle classi // ejh questo ha portato a due; ;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
PBC010;#62000;doc#7;;388110;395944;BOI029;PBC010;;;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;61-65;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=388110&end=395944;no~ abbiamo ritenuto non opportuno continuare a fare un ennesimo percorso ma ca~ cambiare modalità di approccio // e;diciamo;che è stata una c~ scelta molto indovinata che quando l''abbiamo fatta in realtà non eravamo così consapevoli // nel;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC010;#68177;doc#7;;2637620;2644560;BOR001;PBC010;;;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=2637620&end=2644560;geni andavano male a scuola // infatti // xxx ho fatto questo discorso ieri con mia sorella che ha preso una pagella // eh;diciamo;norma~ cioè non brillante aveva un insufficienza lei mi fa eh sì fa schifo la mia pagella le ho detto // appunto cioè le ho; ;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;;0;;
PTA016;#70962;doc#9;;324800;327160;TOR006;PTA016;;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;F;;stud;;;piemonte;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=324800&end=327160;pagamento e // hanno n~ anche una cospicua somma sono abbastanza cari sì sì però // certo // okay // so che ci sono // però tu;diciamo;appunto hai imparato facendo // io ho imparato sì // diciamo facendo ho avuto un // un mio ex collega che mi è stato vicino i; ;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;1;;1;;
PTA016;#71093;doc#9;;364360;371430;TOI033;PTA016;;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;M;;oper;;;piemonte;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=364360&end=371430;ti piace questa zona // sì un sacco // cosa ti piace // xx tantissimo // che non siamo nè troppo in centro nè troppo fuori;diciamo;mettiamola così siamo in una zona neutra dove però siamo vicini a tutto // mhmh // mhmh // almeno // io la penso così vicino; ;;;;1;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;
PTA016;#72446;doc#9;;785720;789790;TOI033;PTA016;;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;M;;oper;;;piemonte;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=785720&end=789790;cercare di da~ dare un''impronta a un nostro genere // abbiamo fatto anche dei pezzi tutti amatoriali // mhmh // nessuno;diciamo;presso etichette o qualcosa robe serie // ci hanno anche siamo andati anche su emme due o ci hanno trasmesso un nostro; ;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;0;;
PTA016;#72873;doc#9;;901610;904950;TOI033;PTA016;;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;M;;oper;;;piemonte;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=901610&end=904950;dovevo andare a scuola xx ho fatto il continuato sì sì sì // e lì sei stato pagato? // qua sì // okay // perché ero ospite;diciamo;mettiamola così // quindi hai avuto // cioè i tuoi momenti di gloria li hai avuti dai // ma assolutamente sì sì eh qualche; ;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
PTA016;#74282;doc#9;;1304750;1309980;TOI033;PTA016;;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;M;;oper;;;piemonte;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=1304750&end=1309980;discoteca questo assolutamente // vai // basta che non fai nomi e cognomi poi puoi dire tutto // diciamo che // no no xx beh;diciamo;che alcune rimarrebbe~ rimangono censurate no vabbè scherzo // // no sì sono successe un sacco di coseallora la cosa più;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PTA016;#74329;doc#9;;1322364;1326570;TOI033;PTA016;;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;M;;oper;;;piemonte;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=1322364&end=1326570;più imbarazzante che mi è successa // ai murazzi // eh stavo suonando ehm // // ero andato con dei miei amici // appunto // e;diciamo;che questi miei amici conoscono un gruppetto di tre ragazze // ehm // durante questa io suonavo vedevo che ballavano con;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PTA016;#77253;doc#9;;2141053;2143890;TOI033;PTA016;;;https://search.corpuskiparla.it/corpus/conversations/PTA016.html;https://search.corpuskiparla.it/corpus/conversations/PTA016_jefferson.html;21-25;M;;oper;;;piemonte;dip_tec_prof;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=2141053&end=2143890;essere // // beh è un po'' simile la la discoteca // per alcuni versi dai // sì // s~ sì diciamo sì // c''è molto meno da bere però;diciamo;che // c''è la coca cola // la coca cola // o la birra // quello sì // ehm // situazioni allo s~ cioè tipo ora che c''è la polemica;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD2006;#112657;doc#14;;479940;482920;BO051;BOD2006;;;https://search.corpuskiparla.it/corpus/conversations/BOD2006.html;https://search.corpuskiparla.it/corpus/conversations/BOD2006_jefferson.html;26-30;M;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=479940&end=482920;in particolare m magari divertente che puoi raccontare o // beh e // anche qualcosa di imbarazzante va bene // // e ma no;diciamo;che // diciamo che l~ l~ quello che ha premiato di quell'' esperienza é stato in realtá // eh la grande libertá che si gode eh;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD2006;#113157;doc#14;;665015;674895;BO051;BOD2006;;;https://search.corpuskiparla.it/corpus/conversations/BOD2006.html;https://search.corpuskiparla.it/corpus/conversations/BOD2006_jefferson.html;26-30;M;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=665015&end=674895;// eh avendo morose che sono amiche tra di loro // capita capita a volte non di vedersi non per non per uscite di coppia;diciamo;che l'' ambiente festa cosí insomma capita che ci vediamo in questi contesti // bene // e la sala in cui fate le prove dove si;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD2006;#113892;doc#14;;936860;953120;BO051;BOD2006;;;https://search.corpuskiparla.it/corpus/conversations/BOD2006.html;https://search.corpuskiparla.it/corpus/conversations/BOD2006_jefferson.html;26-30;M;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=936860&end=953120;// in che senso aggressivo? // mah m sono persone molto molto orgogliose // e che tendono a imporsi sugli altri quindi;diciamo;che sì dal punto di vista umano dell'' accoglienza è stato meno gradevole che in cambogia però diciamo un paese;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA021;#134363;doc#18;;53805;59396;BOI090;PBA021;;;https://search.corpuskiparla.it/corpus/conversations/PBA021.html;https://search.corpuskiparla.it/corpus/conversations/PBA021_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA021&begin=53805&end=59396;sono anche problemi che magari vorresti migliorare? // no // forse ci sono persone un po'' // diciamo // non ben viste però;diciamo;che per il resto è tutto abbastanza comodo quindi no // d''accordo // e mh // trovi tutto quindi nel tuo quartiere? o devi;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA021;#140069;doc#18;;1959472;1961583;BOI090;PBA021;;;https://search.corpuskiparla.it/corpus/conversations/PBA021.html;https://search.corpuskiparla.it/corpus/conversations/PBA021_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA021&begin=1959472&end=1961583;adesso parlo di trasferirsi perchè // ci siam trasferiti da poco da una casa all''altra sempre nello stesso comune //;diciamo;lo scambio immobiliare è stato // facile è stato tutto abbastanza abbordabile ecco // se devo pensare anche solo un; ;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
PBA021;#141938;doc#18;;2591091;2593542;BOI090;PBA021;;;https://search.corpuskiparla.it/corpus/conversations/PBA021.html;https://search.corpuskiparla.it/corpus/conversations/PBA021_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA021&begin=2591091&end=2593542;tv ai film // però non x diciamo che se devo dire un // un tipo di film che guardo x più spesso // ma anche di serie tv // sono;diciamo;i // quelli per ragazzi ecco non sono un''amate di mh film d''azione in particolar modo fantascienza non mi piacciono; ;;;;1;;;;;;;;;;;;;1;;;;;;;;1;;;;1;;
KPS015;#147149;doc#19;;1251147;1252060;PKP083;KPS015;;;https://search.corpuskiparla.it/corpus/conversations/KPS015.html;https://search.corpuskiparla.it/corpus/conversations/KPS015_jefferson.html;21-25;F;;stud;;;sardegna;laurea in corso;3;pasto;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS015&begin=1251147&end=1252060;me lo faccio // eh pigliatell'' // allora quando sono stta mle // eh // sono stata alla fine // un fine settimana? // lungo;diciamo;// mh // perchè ce ne siamo andati martedì con lui // perchè lui aveva l''aereo martedì // ah ah // e quindi siamo partiti; ;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;0;;
BOA1001;#157244;doc#21;;748720;753733;BO026;BOA1001;;;https://search.corpuskiparla.it/corpus/conversations/BOA1001.html;https://search.corpuskiparla.it/corpus/conversations/BOA1001_jefferson.html;56-60;F;;intell;;;basilicata;phd;2;ricevimento studenti;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1001&begin=748720&end=753733;cioè quante lingue quantitative e qualitative quante lingue quali quanti studenti stranieri // poi // una un quadro;diciamo;delle lingue delle na~ delle lingue native delle nazionalità // ehmh // allora questa è in geneale quale delle quattro; ;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
PTA018;#167109;doc#22;;2042604;2047151;TOI031;PTA018;;;https://search.corpuskiparla.it/corpus/conversations/PTA018.html;https://search.corpuskiparla.it/corpus/conversations/PTA018_jefferson.html;26-30;M;;artig;;;piemonte;dip_lic;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA018&begin=2042604&end=2047151;una città molto // molto romantica // nonostante sia famosa per // le vetrine a luci rosse però // quelle distraggono;diciamo;però di per sé la la la città è molto romantica // ho capito // // ho capito // ehm // allora quindi // ti volevo fare altre; ;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
