Reference;Token number;Document number;Anno di raccolta;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;annotation.audio_file;Left;KWIC;Right;Non SD;Test dell'omissione;Test della reggenza sintattica;Test prosodico;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
BOC1005;#1729908;doc#241;;1043551;1047511;BO105;BOC1005;;;https://search.corpuskiparla.it/corpus/conversations/BOC1005.html;https://search.corpuskiparla.it/corpus/conversations/BOC1005_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1005&begin=1043551&end=1047511;da questi test dipenderebbe appunto una valutazione grande di tutto l'' anno scolastico dipenderebbe una grande //;diciamo;che la me~ in termini di media sarebbe molto influente // al termine dell'' anno scolastico // ci sono pochi test // mh //;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOC1005;#1730471;doc#241;;1273770;1283770;BO105;BOC1005;;;https://search.corpuskiparla.it/corpus/conversations/BOC1005.html;https://search.corpuskiparla.it/corpus/conversations/BOC1005_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1005&begin=1273770&end=1283770;apprendimento // sono utilizzate sia in classe nel sia nell'' ambiente classe nei laboraori linguistici quindi // eh;diciamo;che l'' insegnante o il tuter o il tutor in in presenza aiuta sgli studenti o li uguida nel processo di autoapprendimento;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOC1005;#1730523;doc#241;;1296205;1298823;BO105;BOC1005;;;https://search.corpuskiparla.it/corpus/conversations/BOC1005.html;https://search.corpuskiparla.it/corpus/conversations/BOC1005_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1005&begin=1296205&end=1298823;// m manuali che possono essere fruiti in autoapprendimento // cioè m ognuno quando lo studente // in autonomia ehm //;diciamo;svolge un percorso di apprendimento // mh se pensi proprio al processo didattico quindi mi dicevi negli anni novanta; ;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;0;;
BOC1005;#1731136;doc#241;;1501853;1508653;BO104;BOC1005;;;https://search.corpuskiparla.it/corpus/conversations/BOC1005.html;https://search.corpuskiparla.it/corpus/conversations/BOC1005_jefferson.html;36-40;F;;intell;;;emilia-romagna;phd;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1005&begin=1501853&end=1508653;su google drive // eh non non lo sapevo // perchè sono perchè sono a~ allego anche altri materiali e quindi sì è sempre bene;diciamo;contattare // anche via mail i docenti per // eh non // comunque allora diciamo per questa parte allora sicuramente hai; ;;;;1;;;;;;;;;;;;;;;;;1;;;;;;1;;0;;
BOC1005;#1731151;doc#241;;1511618;1519575;BO104;BOC1005;;;https://search.corpuskiparla.it/corpus/conversations/BOC1005.html;https://search.corpuskiparla.it/corpus/conversations/BOC1005_jefferson.html;36-40;F;;intell;;;emilia-romagna;phd;2;esame;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1005&begin=1511618&end=1519575;altri materiali e quindi sì è sempre bene diciamo contattare // anche via mail i docenti per // eh non // comunque allora;diciamo;per questa parte allora sicuramente hai studiato non non c'' è quella // come dire appropriatezza terminologica che //; ;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;0;;
BOA1009;#1787803;doc#252;;159205;163375;BO037;BOA1009;;;https://search.corpuskiparla.it/corpus/conversations/BOA1009.html;https://search.corpuskiparla.it/corpus/conversations/BOA1009_jefferson.html;21-25;F;;stud;;;trentino-alto-adige;laurea in corso;2;ricevimento studenti;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1009&begin=159205&end=163375;// esatto esatto // tendezialmente sono lavori americani // perché c'' è l'' università dei sordi la gallaudet per cui;diciamo;che // il panorama americano è molto più attivo in italia c'' è veramente molto poco // sì // molto poco // però qualcosa c'' è;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD2019;#1807313;doc#255;;43928;47485;BO122;BOD2019;;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;M;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=43928&end=47485;bologna dai // cominciamo da bologna // grande anch'' io volevo inizia'' da bologna // cominciamo da bologna perché dai è;diciamo;la casa più recente // è quella più // come se po'' di''? // eh protagonista de tutte le cose interessanti che c'' ho da di''; ;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;0;;
BOD2019;#1808207;doc#255;;319018;321013;BO122;BOD2019;;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;M;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=319018&end=321013;interessante sì e // vabbè // punto anche a~ // adesso che cambio casa anche magari avecce qualche elemento // eh blitz;diciamo;// anche magari non andare in casa con persone che già conosci // eh sì // anche perché magari // anche se // c'' hai un amico; ;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
BOD2019;#1808365;doc#255;;364905;371906;BO119;BOD2019;;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;F;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=364905&end=371906;alla fine so le difficoltà che uniscono quindi // che ne sai? // ehm vabbè comunque // ehm la zona no? di casa tua è un po'' più;diciamo;esterna anche se so che a te non t'' ha mai // no no // non t'' è mai pesata sta cosa? // a me non m'' ha mai pesato è vero però è vero sì; ;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;0;;
BOD2019;#1812270;doc#255;;1499859;1503706;BO122;BOD2019;;;https://search.corpuskiparla.it/corpus/conversations/BOD2019.html;https://search.corpuskiparla.it/corpus/conversations/BOD2019_jefferson.html;21-25;M;;stud;;;umbria;laurea in corso;2;intervista semistrutturata;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=1499859&end=1503706;così // quindi la // a bologna c'' è più lo spirito d'' adattamento che xxx di cui parlavamo prima // esatto // sì sicuramente;diciamo;ce stanno~ ce stanno più cose che te fanno uscì da casa // un po'' in generale // ecco il punto secondo me // qua ce ne stanno; ;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;
