Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1: Regge qualcosa come una subordinata o un obliquo?;Test 2: Ha un soggetto?;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti;;
BOA3003;#585913;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1800791&end=1806185;1800791;1806185;BOA3003;;01:18:34;;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;4;conversazione libera;quando lei torna a forse // quando lei torna ed è da solo // mh i tornei di xx xxx // comunque ragazzi cioè xx non va bene // non;va bene;perché non è normale questa cosa cioè ci rendiamo conto che non è normale? // i miei comprano i miei biglietti per i;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
BOA3003;#586338;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1900753&end=1902509;1900753;1902509;BOA3003;;01:18:34;;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;;stud;;;lombardia;laurea in corso;4;conversazione libera;di teoria? // ma che // tu parlami della differenza tra il benessere e povertà // ma che ma che // che cazzo cioè okay;va bene;so che cos'' è // eh qualcosa gli dico il benessere si confonde con il con il benav~ benavere // ma certo // poi però io mi;;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;;1;1;;;;
BOA3003;#589291;doc#84;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3246992&end=3248133;3246992;3248133;BOA3003;;01:18:34;;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;4;conversazione libera;// cioè un'' incompetenza // cioè posso capire magari se tipo non ti risponde uno e ti risponde l'' altro // // però non;va bene;comunque // cioè scusa eh // oppure magari prendono il numero e ti richiamano // ma io te lo giuro io mi son resa conto chemh;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
PBC019;#604127;doc#86;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=2044187&end=2045020;2044187;2045020;PBC019;;00:34:20;;https://search.corpuskiparla.it/corpus/conversations/PBC019.html;https://search.corpuskiparla.it/corpus/conversations/PBC019_jefferson.html;66-70;M;;pens;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;avremmo // abbiamo fatto più o meno quello che // sì sì // volevo così era un po'' per parlare stava un po'' parlando //;va bene;// ah bene intanto grazie per per // beh ma ci mancherebbe // è stato veramente gentile // quanto sei riuscito a fare? // eh;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;
TOD1016;#622218;doc#88;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=2430666&end=2431549;2430666;2431549;TOD1016;;01:37:51;;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;;intell;;;piemonte;phd;1;lezione;perché ve la racconto un po'' a spizzichi a seconda della scena che facciamo // eh? // è chiaro a tutti? // mh mh mh mh mh //;va bene;// // quindi di nuovo un'' aria in fondo in cui dà le disposizioni come un padrone di casa // finch'' han del vino calda la;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;0;;;;
TOD1016;#622951;doc#88;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=2709486&end=2710288;2709486;2710288;TOD1016;;01:37:51;;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;;intell;;;piemonte;phd;1;lezione;sono funzionali // a descrivere il carattere di // di don giovanni il carattere di chi sta cantando in quel momento //;va bene;// come se fosse proprio preso // da una vertigine // ehmh // poi vi faccio notare ancora una cosa perché qui poi nella;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;0;;;;
TOD1016;#627797;doc#88;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=5183890&end=5184493;5183890;5184493;TOD1016;;01:37:51;;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;;intell;;;piemonte;phd;1;lezione;più le carte o mi sono spiegata // eh? // va bene? // lei invece cosa chiedeva la stessa domanda? sì // è la stessa domanda //;va bene;// sì ma sentiamolo // ma comunque non non spaventatevi che poi intanto p~ io penso anche a come magari prendervi degli;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;
KPC008;#642719;doc#90;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC008&begin=2109281&end=2110319;2109281;2110319;KPC008;;00:40:28;;https://search.corpuskiparla.it/corpus/conversations/KPC008.html;https://search.corpuskiparla.it/corpus/conversations/KPC008_jefferson.html;46-50;F;;intell;;;piemonte;phd;2;pasto;si c~ si coltiva tantissimo // okay // qual è il problema con la palma africana assorbe un botto di ci o due // mhmh // quindi;va bene;// no? // mhmh // però dall''altro lato desertifica // desertifica // ciuccia tantissima acqua quindi desertifica e //;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;0;;;;
KPC008;#642794;doc#90;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC008&begin=2132975&end=2136550;2132975;2136550;KPC008;;00:40:28;;https://search.corpuskiparla.it/corpus/conversations/KPC008.html;https://search.corpuskiparla.it/corpus/conversations/KPC008_jefferson.html;46-50;F;;intell;;;piemonte;phd;2;pasto;// va benissimo // però // però poi fa danni da altri punti di vista // mh // no? e quindi gli ecologi ti dicono no non;va bene;perchè se tu // focalizzi solamente una variabile che in questo caso è la ci o due poi ti ti perdi tutte le altre // mhmh // mh;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
KPC008;#643305;doc#90;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC008&begin=2305505&end=2308025;2305505;2308025;KPC008;;00:40:28;;https://search.corpuskiparla.it/corpus/conversations/KPC008.html;https://search.corpuskiparla.it/corpus/conversations/KPC008_jefferson.html;46-50;F;;intell;;;piemonte;phd;2;pasto;che si che si in~ che si // diciamo che per ora abbiamo fatto questa presentazione generale delle teorie // va bene va bene;va bene;non non voglio fare casini dai // mh // quindi ora pian piano andiamo a vedere poi la questione del genere la questione;;;;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;1;;;;
KPC008;#643617;doc#90;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC008&begin=2397044&end=2400378;2397044;2400378;KPC008;;00:40:28;;https://search.corpuskiparla.it/corpus/conversations/KPC008.html;https://search.corpuskiparla.it/corpus/conversations/KPC008_jefferson.html;46-50;F;;intell;;;piemonte;phd;2;pasto;per tutti così // non tutti sanno quello che so anch''io quindi devo un attimo rimodulare l''offerta // esatto esatto // //;va bene;dai interessante questa cosa // mh // ti può interessare la cattedra // ma sì però vabbè c''è c''è c''è c''è no vabbè cosa boh //;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;0;;;;
PBB014;#644829;doc#91;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB014&begin=262986&end=271566;262986;271566;PBB014;;00:31:54;;https://search.corpuskiparla.it/corpus/conversations/PBB014.html;https://search.corpuskiparla.it/corpus/conversations/PBB014_jefferson.html;46-50;F;;oper;;;estero;dip_lic;2;intervista semistrutturata;non ci sono andata per una cosa un voto dello // mh mhmh // sì sì // però è proprio un''usa~ cioè una co~ un modo di dire anche se;va bene;vado a san luca a piedi e allora poi fummo promossi e andammo a san luca tutti insieme a piedi // superstizione // mhmh // //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
PBB014;#648652;doc#91;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB014&begin=1255478&end=1262257;1255478;1262257;PBB014;;00:31:54;;https://search.corpuskiparla.it/corpus/conversations/PBB014.html;https://search.corpuskiparla.it/corpus/conversations/PBB014_jefferson.html;46-50;F;;oper;;;estero;dip_lic;2;intervista semistrutturata;no no no // era meglio prima del duemila e dodici // // sì secondo me sì anche quello era meglio poi vabbé ti dico anche prima;va bene;ma negli ultimi tre quattro anni proprio secondo me // abbiam perso molto da quel punto della dei da diritti in questo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
PTD021;#652550;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=432089&end=434659;432089;434659;PTD021;;01:31:29;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;31-35;M;;oper;;;piemonte;dip_tec_prof;5;intervista semistrutturata;più che pereh // sì // sì // il lavoro in sè // guarda più che altro s~ siamo una generazione in cui // per me sì // il lavoro;va bene;punto // perchè o prendi quello o stai a casa a dormire quindi // secondo me ce lo facciamo anche paicere // mh // mh mh // sì è;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
PTD021;#653598;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=738687&end=739135;738687;739135;PTD021;;01:31:29;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;31-35;M;;oper;;;piemonte;dip_tec_prof;5;intervista semistrutturata;// perchè il bambino che viene dice oh ho visto un cartone animato in ti vu voglio un fumetto voglio la statuina // e;va bene;// ma il trentenne che va in un negozio del genere compra una statua che magari costa cinquecento euro // mh mh // di quel;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;Anche se il macrotema è lo stesso, il SD fa da cerniera tra 2 sotto-segmenti diversi;;
PTD021;#655232;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=1218892&end=1221984;1218892;1221984;PTD021;;01:31:29;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;26-30;F;;intell;;;lombardia;phd;5;intervista semistrutturata;fuori casa doveva andare e in due in realtà // cioè come per ammortizzare i costi è la cosa migliore // sì sì // cioè poi;va bene;siamo contenti va tutto bene // esatto sì sì va tutto benissimo è tutto perfetto // però cioè quando ne abbiam parlato ne;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;0;;;;
PTD021;#656813;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=1617204&end=1618319;1617204;1618319;PTD021;;01:31:29;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;26-30;F;;intell;;;lombardia;phd;5;intervista semistrutturata;per lunghe // per lunghe // esa~ xxx cosa intendi per vivere // e cos~ cosa intendi per lunga sosta // mesi // okay sì;va bene;// ah oka~ // eh allora spagna e francia però // più da turista che cioè ero lì per cazzeggiare // okay // okay e dove sei;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;0;;;;
PTD021;#665510;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=4137066&end=4138840;4137066;4138840;PTD021;;01:31:29;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;26-30;F;;intell;;;lombardia;phd;5;intervista semistrutturata;chiamo un amico che deve andare a ua casa a venaria e lo spacco una casa al settimo piano // ho anche degli amici pugliesi;va bene;// xxx // e nel complesso siete contenti della vostra città? // sì sì dai sì // tantissimo // cioè ma ne avete parlato male;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;0;;;;
PTD021;#666562;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=4425627&end=4427567;4425627;4427567;PTD021;;01:31:29;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;26-30;F;;intell;;;lombardia;phd;5;intervista semistrutturata;per un incendio // eh è vero avevo letto // sì // sì // però grande xxx perchè // museo di lombroso non si to~ // sì // mh //;va bene;cosa fate durante il tempo libero? // dormo // eh dai non è vero // digli cosa hai fatto oggi // ho giocato tre ore e mezza a;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;;
PTD021;#666937;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=4526436&end=4527879;4526436;4527879;PTD021;;01:31:29;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;26-30;F;;intell;;;lombardia;phd;5;intervista semistrutturata;all''angolo // vedi? // wow // xxx al tuo angolo quello dopo il portone // passo // oh hai già trovato // la quadra per tutto;va bene;// fate attività sportiva // io sì // sono iscritto al campionato di calcio a otto // okay // eh ho uneh faccio un;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;;;
PTD021;#667824;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=4801453&end=4802625;4801453;4802625;PTD021;;01:31:29;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;21-25;M;;oper;;;puglia;dip_tec_prof;5;intervista semistrutturata;cosa ascoltate? // io ascolto musica elettronica style hard coreeh // okay // techno // okay // eh eh cala il silenzio //;va bene;vado via // ciao // è stato bello ciao // no è che non so come interagire cioè non // // io okay non ho altre domande da poterti;;;;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;1;;Chiusura topic solo ironica;;
PTD021;#669099;doc#92;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=5132339&end=5132780;5132339;5132780;PTD021;;01:31:29;;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;26-30;F;;intell;;;lombardia;phd;5;intervista semistrutturata;ehmeh noneh vado al cinema spesso // mh mh // non seguo particolari filmeh // cioè uneh un film mi piace lo guardo // okay //;va bene;// tutto qua // io quello che voi in casa avete tra cd e libri eccetera io ho il doppio in film // okay // molto bene // quindi;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;0;;;;
BOA3002;#670788;doc#93;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3002&begin=127281&end=130291;127281;130291;BOA3002;;00:18:17;;https://search.corpuskiparla.it/corpus/conversations/BOA3002.html;https://search.corpuskiparla.it/corpus/conversations/BOA3002_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;4;conversazione libera;no no ba~ basta basta no no no rimango basta // così // hai presente le scene da panico // basta smettila di piangere basta;va bene;sto qua sto qua // xxx xxx // esatto esatto // il fatto è che mi ero calmata e di nuovo di punto in bianco ho cominciato a eh;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;;;
BOD2015;#678370;doc#94;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2015&begin=1333970&end=1334880;1333970;1334880;BOD2015;;00:22:14;;https://search.corpuskiparla.it/corpus/conversations/BOD2015.html;https://search.corpuskiparla.it/corpus/conversations/BOD2015_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;vitto e alloggio // mh // perchè se vado in trentino non vado ogni giorno in trentino non c'' ho neanche la patente // //;va bene;// allora alessandro mi dicevi tu quanti anni hai adesso? // eh diciotto // diciotto e abitate a chivasso dicevi // sì //;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;0;;;;
TOD2012;#689097;doc#97;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2012&begin=93478&end=96954;93478;96954;TOD2012;;00:45:32;;https://search.corpuskiparla.it/corpus/conversations/TOD2012.html;https://search.corpuskiparla.it/corpus/conversations/TOD2012_jefferson.html;31-35;M;;stud;;;abruzzo;laurea in corso;2;intervista semistrutturata;// okay // ehmh // invece dimmi qualcosa delle case in cui vivevi prima di vivere in questa // pure pure qua a torino;va bene;senza andare troppo indietro // // allora // la casa in cui vive~ vivevamo prima era comunque un buco locale // però;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;
TOD2012;#696256;doc#97;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2012&begin=2219402&end=2221302;2219402;2221302;TOD2012;;00:45:32;;https://search.corpuskiparla.it/corpus/conversations/TOD2012.html;https://search.corpuskiparla.it/corpus/conversations/TOD2012_jefferson.html;31-35;M;;stud;;;abruzzo;laurea in corso;2;intervista semistrutturata;// eh eh // due cognitiviste coi controcazzi e // mhmh // vabbè inso~ è stato è st~ è andata meglio // e va bene // ehmh;va bene;// quindi un un sacco di case // praticamente // tante case // quindi pure insomma tante storie // semh // boh scegl~;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;
TOD2012;#698054;doc#97;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2012&begin=2726929&end=2728149;2726929;2728149;TOD2012;;00:45:32;;https://search.corpuskiparla.it/corpus/conversations/TOD2012.html;https://search.corpuskiparla.it/corpus/conversations/TOD2012_jefferson.html;31-35;M;;stud;;;abruzzo;laurea in corso;2;intervista semistrutturata;era spazio ecco forse ho preso da mia madre anch'' io che voglio le case spaziose // spaziose enormi // ehmh // io direi che;va bene;così // grazie // prego // // figurati // che lavoro fai? // io faccio il grafico // okay // da quanto tempo fai il grafico?;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
PTD022;#698314;doc#98;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD022&begin=67655&end=68364;67655;68364;PTD022;;00:13:11;;https://search.corpuskiparla.it/corpus/conversations/PTD022.html;https://search.corpuskiparla.it/corpus/conversations/PTD022_jefferson.html;26-30;F;;intell;;;lombardia;phd;2;intervista semistrutturata;okay // assolutamente non non posso fare altro non voglio fare altro cioè la mia la mia idea è quella di non fare altro // //;va bene;// piuttosto // okay // magari guadagno meno ma non mh // perché // io pens~ penso nella mia testa cioè che mh // ho studiato;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;0;;;;
PTD022;#699102;doc#98;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD022&begin=290558&end=292608;290558;292608;PTD022;;00:13:11;;https://search.corpuskiparla.it/corpus/conversations/PTD022.html;https://search.corpuskiparla.it/corpus/conversations/PTD022_jefferson.html;26-30;F;;intell;;;lombardia;phd;2;intervista semistrutturata;sempre vissuto qua vero? // no no è da un anno e mezzo che vivo qua a torino in centro prima vivevo a pianezza in provincia //;va bene;e le scuole quindi le hai fatte a pianezza // allora le l~ sì // cioè no le superiori le ho fatte a torino // okay // e i tuoi;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;;;;1;;;;
PTD022;#700249;doc#98;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD022&begin=603425&end=603934;603425;603934;PTD022;;00:13:11;;https://search.corpuskiparla.it/corpus/conversations/PTD022.html;https://search.corpuskiparla.it/corpus/conversations/PTD022_jefferson.html;26-30;F;;intell;;;lombardia;phd;2;intervista semistrutturata;il mio tempo libero quando c''è faccio sport faccio gioco a basket mi alleno // il mio tempo libero è allenamento // okay //;va bene;// ehmh esci spesso? la sera o // sì quando capita quando riesco sì // okay sempre in zona tua o ti sposti? // sì sì sì in zona;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;;;;1;;;;
PTD022;#700620;doc#98;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD022&begin=714802&end=719602;714802;719602;PTD022;;00:13:11;;https://search.corpuskiparla.it/corpus/conversations/PTD022.html;https://search.corpuskiparla.it/corpus/conversations/PTD022_jefferson.html;31-35;M;;comm;;;piemonte;dip_tec_prof;2;intervista semistrutturata;lo associ a un episodio? cioè di // no perché io non sono uno che va allo stadio cioè nel senso sono uno che la guarda la tivù;va bene;// okay // tifo mi arrabbio ma // okay // cioè non mi // non mi piace andare allo cioè sì mi piace andare allo stadio ma è un;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;;;
PTD022;#700817;doc#98;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD022&begin=784046&end=786315;784046;786315;PTD022;;00:13:11;;https://search.corpuskiparla.it/corpus/conversations/PTD022.html;https://search.corpuskiparla.it/corpus/conversations/PTD022_jefferson.html;26-30;F;;intell;;;lombardia;phd;2;intervista semistrutturata;che guardano tutti cioè gomorra // okay // trono di spade // eh stranger things tutto // ah okay xx // e le classiche cioè //;va bene;va bene va bene a posto perfetto // // grazie posto così sì // finita // perfetto // grazie mille // figurati // madonna sto;;;;;1;;;;;;;;1;;;;1;;;;;;;;;;;;;1;;;;
BOA1014;#707077;doc#100;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1014&begin=181980&end=182450;181980;182450;BOA1014;;00:04:15;;https://search.corpuskiparla.it/corpus/conversations/BOA1014.html;https://search.corpuskiparla.it/corpus/conversations/BOA1014_jefferson.html;26-30;F;;stud;;;sicilia;laurea in corso;2;ricevimento studenti;prima? // okay // due uno due giorni prima // dunque la porto pure la porto in cartaceo // e la porta anche in cartaceo sì //;va bene;// quindi io dev~ io rimango sempre con la prenotazione di giorno dodici o posso anche toglierla // no no lei si iscrive lì;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;
BOA1014;#707292;doc#100;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1014&begin=245620&end=246080;245620;246080;BOA1014;;00:04:15;;https://search.corpuskiparla.it/corpus/conversations/BOA1014.html;https://search.corpuskiparla.it/corpus/conversations/BOA1014_jefferson.html;26-30;F;;stud;;;sicilia;laurea in corso;2;ricevimento studenti;sì perché devo mettere comunque la tesina // sì come promemoria ne mi anche se io adesso sto segnando tutto d'' accordo? //;va bene;// mi raccomando la tesina e la // okay // va bene // va bene // la ringrazio // arrivederci // buonasera // arrivederci //;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;0;;;;
BOA1014;#707304;doc#100;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1014&begin=249646&end=250041;249646;250041;BOA1014;;00:04:15;;https://search.corpuskiparla.it/corpus/conversations/BOA1014.html;https://search.corpuskiparla.it/corpus/conversations/BOA1014_jefferson.html;26-30;F;;stud;;;sicilia;laurea in corso;2;ricevimento studenti;come promemoria ne mi anche se io adesso sto segnando tutto d'' accordo? // va bene // mi raccomando la tesina e la // okay //;va bene;// va bene // la ringrazio // arrivederci // buonasera // arrivederci // okay innanzitutto grazie // e allora dimmi un;;;;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;
PBA014;#707584;doc#101;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA014&begin=102550&end=103739;102550;103739;PBA014;;00:27:54;;https://search.corpuskiparla.it/corpus/conversations/PBA014.html;https://search.corpuskiparla.it/corpus/conversations/PBA014_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;che quartieri frequentavi più spesso // allora adesso // o frequenti insomma // i nomi dei quartieri faccio fatica //;va bene;dimmi // però // però so che // bazzico spesso nel quartiere della noce // perchè c''è questo qui // okay // il quartiere è;;;;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;1;;;;
PBA014;#708509;doc#101;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA014&begin=437205&end=439295;437205;439295;PBA014;;00:27:54;;https://search.corpuskiparla.it/corpus/conversations/PBA014.html;https://search.corpuskiparla.it/corpus/conversations/PBA014_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;negozi mh no non in particolare // non non mi pare di essere // è andato troppo diciamo verso bologna bologna // okay okay;va bene;// ehm conosci altri magari luoghi non so di aggregazione circoli come // quello che dicevi per cui per cui lavori // eh //;;;;;1;;;;;1;;;;;;1;1;;;;;;;;;;;;;1;;;;
PBA014;#711449;doc#101;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA014&begin=1579700&end=1582515;1579700;1582515;PBA014;;00:27:54;;https://search.corpuskiparla.it/corpus/conversations/PBA014.html;https://search.corpuskiparla.it/corpus/conversations/PBA014_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;fila e // e quindi // non c~ non ho mai cercato di salirci di preciso // okay // non c''avevo mai fatto caso passando di lì ma;va bene;// e sei mai stato a san luca? // sì // più di una volta // hai fatto la salita a piedi? // perchè // purtroppo // // perchè;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
KPS002;#719950;doc#102;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS002&begin=2228598&end=2229406;2228598;2229406;KPS002;;00:37:23;;https://search.corpuskiparla.it/corpus/conversations/KPS002.html;https://search.corpuskiparla.it/corpus/conversations/KPS002_jefferson.html;21-25;F;;stud;;;calabria;laurea in corso;3;pasto;capi~ // adesso andiamo ad ascoltarlo magari è arrivato il momeno dai ero persa nelle palette dei colori per questo x x //;va bene;// ah ancora // grazie mille davvero non ti serve una mano? // oh è stato un parto fare quest''oggetto è stato difficile //;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;1;;1;;;;
KPS002;#719987;doc#102;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS002&begin=2240281&end=2241040;2240281;2241040;KPS002;;00:37:23;;https://search.corpuskiparla.it/corpus/conversations/KPS002.html;https://search.corpuskiparla.it/corpus/conversations/KPS002_jefferson.html;21-25;F;;stud;;;calabria;laurea in corso;3;pasto;mano? // oh è stato un parto fare quest''oggetto è stato difficile // no no no // immagino // era difficile // immagino //;va bene;// okay // ciao grazie // ciao ciao // bacini // comunque si io non so davvero cosa ho preso eh perché // quale hai preso alla;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;;;
KPN003;#723315;doc#103;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN003&begin=1244019&end=1247490;1244019;1247490;KPN003;;00:50:14;;https://search.corpuskiparla.it/corpus/conversations/KPN003.html;https://search.corpuskiparla.it/corpus/conversations/KPN003_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;3;pasto;// mh quindi non dorme al pomeriggio // anche solo sorvegliarlo // ha detto che devo farlo studiare ripetere però cioè;va bene;ci sta // solo che // no comunque ci sta // vediamo magari è una bestia di satana sto bambino // // // ma no dai secondo me;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;0;;;;
