Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1: Regge qualcosa come una subordinata o un obliquo?;Test 2: Ha un soggetto?;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti;;
TOA3011;#32560;doc#2;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3011&begin=263212&end=264208;263212;264208;TOA3011;;00:23:54;;https://search.corpuskiparla.it/corpus/conversations/TOA3011.html;https://search.corpuskiparla.it/corpus/conversations/TOA3011_jefferson.html;21-25;F;;stud;;;lombardia;laurea in corso;4;conversazione libera;le hai fatte? // dove hai fatto le supe~ // ah le superiori a torino // scrivi anche solo torino // ormai ho scritto xxx //;va bene;// quindi eravate compagne di classe // ma in realtà più o meno // per un mese e mezzo // per un mese e mezzo // ah // no perché;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;;;1;;convalida affermazione precedente e consente di dedurre la successiva;;
PBA004;#39299;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=562390&end=565910;562390;565910;PBA004;;00:57:15;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;;stud;;;calabria;laurea in corso;4;intervista semistrutturata;// comunque giù da quelle parti qualcosina ma non mai fatto il bagno // ho visto più // // non perchè // non ho mai avuto xx //;va bene;se dovessi passare scrivi che ti consiglio dei posti // buono a sapersi // // allora // ehm // e visto che mh hai detto che;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;"funge da ""in tal caso"", non è SD";;
PBA004;#40649;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=965530&end=967230;965530;967230;PBA004;;00:57:15;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;;comm;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;// vabbè quindi qualche locale // se la ndrangheta vuole // sì // // tanto l''ho visto // no era una cosa cattiva quindi;va bene;// se la ''ndran~ la ''ndrangheta mi volesse prendere per questo // // taglieremo questo pezzo // no non si può togliere;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;0;;;;
PBA004;#40811;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=1020713&end=1021600;1020713;1021600;PBA004;;00:57:15;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;;oper;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;posti che~ quei due tre locali vicini da lei dove conoscevo so che // quello che facevano mi piace // e quindi ho detto // mi;va bene;così // mh // ehm // no però anche i colli // al cavaioni // sì qualche cosa anche dei colli sì però diciamo // di mia;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;valore proposizionale con pieno valore semantico, no SD;;
PBA004;#44858;doc#3;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2330600&end=2331270;2330600;2331270;PBA004;;00:57:15;;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;;comm;;;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;tutti i bambini vedono me // in modo da raggrupparli in tutta // xxx uh uh uh // il paesino // e e niente iniziamo a giocare //;va bene;// e lui sol~ beh orso solitario // vicino a me // ho trovato sta bicicletta là nel garage ho detto l''ha messa là da parte ho;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;organizza la progressione narrativa;;
BOD2001;#49000;doc#4;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2001&begin=143370&end=146750;143370;146750;BOD2001;;00:15:59;;https://search.corpuskiparla.it/corpus/conversations/BOD2001.html;https://search.corpuskiparla.it/corpus/conversations/BOD2001_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;dire che alla fine anche quel poco che c'' èmh // ogni tanto sì mi piace andare // e quindi sì mh io non mi lamento secondo me;va bene;// è ovvio che non è una città magari così grande come bologna bologna sicuramente offre di più la sera // mhmh quindi vi;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;"uso proposizionale ""secondo me va bene"", no SD";;
BOD2001;#51288;doc#4;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2001&begin=953820&end=958500;953820;958500;BOD2001;;00:15:59;;https://search.corpuskiparla.it/corpus/conversations/BOD2001.html;https://search.corpuskiparla.it/corpus/conversations/BOD2001_jefferson.html;26-30;M;;intell;;;piemonte;phd;2;intervista semistrutturata;in una città // minore ecco no~ non consiglierei di andare a berlino di andare a londra ecco // mhmh mhmh mhmh ho capito;va bene;possiamo chiudere qui // okay // allora iniziamo // eh intanto come stai? // bene // tutto a posto // tutto a posto tutto a;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;ratifica la comprensione e autorizza la chiusura del topic;;
PBA020;#55723;doc#5;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA020&begin=1550378&end=1550686;1550378;1550686;PBA020;;00:25:53;;https://search.corpuskiparla.it/corpus/conversations/PBA020.html;https://search.corpuskiparla.it/corpus/conversations/PBA020_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;3;intervista semistrutturata;c''è chen? // no non c''è // tornato a casa // bastardo // // // quanto siamo? // siamo a venticinque // // x dev~ // va bene //;va bene;// va bene // okay // allora // innanzitutto ti chiedo come ti chiami'' // // mi chiamo marco marco rossi // okay e di dove;;;;;1;1;;;1;;;;;;;1;1;;;;;;;;;;;;;1;;funzione prevalentemente metatestuale con cumulo e conferma interazionale;;
PBA020;#55726;doc#5;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA020&begin=1550885&end=1551295;1550885;1551295;PBA020;;00:25:53;;https://search.corpuskiparla.it/corpus/conversations/PBA020.html;https://search.corpuskiparla.it/corpus/conversations/PBA020_jefferson.html;21-25;F;;stud;;;toscana;laurea in corso;3;intervista semistrutturata;// no non c''è // tornato a casa // bastardo // // // quanto siamo? // siamo a venticinque // // x dev~ // va bene // va bene //;va bene;// okay // allora // innanzitutto ti chiedo come ti chiami'' // // mi chiamo marco marco rossi // okay e di dove sei? // sono;;;;;1;;;;1;1;;1;;;1;;1;;;;;;;;;;;;;1;;strategia di cortesia implicita in quanto il parlante usa il SD come formula neutra e accettante;;
PBC010;#65696;doc#7;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=1774610&end=1778520;1774610;1778520;PBC010;;00:45:06;;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;61-65;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;ricordo più // eh in africa ah delle robe terrificanti cioè insomma // e e quindi insomma è un problema da porsi non // cioè;va bene;la memoria di ciò che è stato ma anche questo è stato // mhmh sì // xx sì no è ehm ehm // è importante questo progetto è // sì;;;;;1;;;;;;;;;;;;;;;;;1;;1;1;;;;;1;;introduce una concessione, mitiga la forza affermativa e aiuta ad organizzare il discorso;;
