Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;"Omissione: omettendo ""sai"" cambia il senso della predicazione";"Sintassi: ""sai"" regge una subordinata secondaria (es. sai che…)";"Prosodia: ""sai"" non costituisce un'unità prosodica indipendente";SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti;Macrofunzioni;Microfunzioni
PTA005;#687859;doc#86;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA005&begin=5350217&end=5352996;5350217;5352996;TOI005;PTA005;01:44:43;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA005.html;https://search.corpuskiparla.it/corpus/conversations/PTA005_jefferson.html;26-30;M;TO;oper;sì;asimmetrico;piemonte;med;4;intervista semistrutturata;// sì // hai guardato star wars? // sì non m''è piaciuto // l''ultimo star wars non non è stato bello // più che al~ // perché;sai;che ora è sotto la disney? // sì sì sì // mh mh // c~ c''erano i pokemon in questo star wars // sì // non c''erano gl~ gli animali;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTA005;#688289;doc#86;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA005&begin=5480534&end=5483399;5480534;5483399;TOI005;PTA005;01:44:43;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA005.html;https://search.corpuskiparla.it/corpus/conversations/PTA005_jefferson.html;26-30;M;TO;oper;sì;asimmetrico;piemonte;med;4;intervista semistrutturata;no davvero // dart fener // e anche l''attore che ha fatto anakin i primi era ragazzino // negli ultimi comunque la faccia;sai;la era // un attore pr~ becchi sto deficiente cioè ma raga // mh // che delusione // // che delusione // va bene che lei è una;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;Interazionale;Marcatura della conoscenza condivisa
PTA005;#688621;doc#86;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA005&begin=5587304&end=5591370;5587304;5591370;TOI005;PTA005;01:44:43;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA005.html;https://search.corpuskiparla.it/corpus/conversations/PTA005_jefferson.html;26-30;M;TO;oper;sì;asimmetrico;piemonte;med;4;intervista semistrutturata;macchina ascolto la musica classica che mi rilassa // // che ti devo dire quando c''ho i momenti eh // xxx musica classica;sai;c''è rai uno lì come si chiama // e basta // poi ascolto di tutto e di più // xx // okay // vai ai concerti? // x sono andato ai;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;Interazionale;Marcatura della conoscenza condivisa
PBB001;#695367;doc#87;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB001&begin=1516500&end=1517905;1516500;1517905;BOR001;PBB001;00:52:36;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB001.html;https://search.corpuskiparla.it/corpus/conversations/PBB001_jefferson.html;21-25;F;BO;stud;sì;asimmetrico;emilia-romagna;laurea in corso;2;intervista semistrutturata;ma anche lo stadio // anche se non sei troppo vabbè così tifosa // però eh // cosa ne pensi del fatto di fare mh // gli stadi;sai;che adesso c''è // un po'' la controversia su stadio // il dall''ara in particolare lo vogliono rifare nuovo // e non si sa se;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPN031;#701524;doc#88;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN031&begin=493900&end=495080;493900;495080;PKP036;KPN031;00:52:03;libero;https://search.corpuskiparla.it/corpus/conversations/KPN031.html;https://search.corpuskiparla.it/corpus/conversations/KPN031_jefferson.html;26-30;F;BO;intell;no;simmetrico;lazio;laurea;3;pasto;// no forse era prima del giappone la pizza // eh // davvero? // è da prima che ci sto pensando ma secondo me sì // mi sa di sì;sai;// quindi mi potete raccontare // perché era ancora un po'' estate // mi dovete raccontare del giappone // circa // eh già;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;Cognitiva;Modulazione del grado di confidenza del parlante
KPN031;#702867;doc#88;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN031&begin=891713&end=893633;891713;893633;PKP033;KPN031;00:52:03;libero;https://search.corpuskiparla.it/corpus/conversations/KPN031.html;https://search.corpuskiparla.it/corpus/conversations/KPN031_jefferson.html;26-30;F;BO;intell;no;simmetrico;emilia-romagna;laurea;3;pasto;tokyo // ah sì // ma a tokyo cosa si vede // xxx // a tokyo è tipo // son cinque città insieme // new york boh // ah no ma a new york;sai;che // cioè io voi ci siete stati // no no // mhmh // cioè secondo me dopo qualche giorno // non c''è più niente // cioè o uno fa;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPN031;#709469;doc#88;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN031&begin=2938089&end=2938499;2938089;2938499;PKP033;KPN031;00:52:03;libero;https://search.corpuskiparla.it/corpus/conversations/KPN031.html;https://search.corpuskiparla.it/corpus/conversations/KPN031_jefferson.html;26-30;F;BO;intell;no;simmetrico;emilia-romagna;laurea;3;pasto;adesso // datemi gli aggiornamenti ultimi ma cos''è il progetto? // okay // dell''assegno un prin? no // xxx // xx // non lo;sai;// no non xx non // cioè da dove arrivano i soldi? // sì dal pnrr // okay ok~ okay okay // giusto // ehm // sì // però niente è;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS014;#717674;doc#90;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS014&begin=140619&end=141648;140619;141648;PKP096;KPS014;00:35:07;libero;https://search.corpuskiparla.it/corpus/conversations/KPS014.html;https://search.corpuskiparla.it/corpus/conversations/KPS014_jefferson.html;61-65;F;FG;intell;no;simmetrico;puglia;laurea;3;pasto;// sì // cinquecento euro // si soprattutto se hanno fatto di nuovo la passerella ciclabile // eh eh // al mare //;sai;com''è utile // così puoi acquistare una bicicletta che ti permetta di non cadere // sì che ti tiene a piombo // a piombo sul;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS014;#719869;doc#90;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS014&begin=1419777&end=1423089;1419777;1423089;PKP096;KPS014;00:35:07;libero;https://search.corpuskiparla.it/corpus/conversations/KPS014.html;https://search.corpuskiparla.it/corpus/conversations/KPS014_jefferson.html;61-65;F;FG;intell;no;simmetrico;puglia;laurea;3;pasto;permesso di aprire // per la merenda c''era la merenda però mo non ricordo a che ora perchè sono passati molti anni // non lo;sai;se era lo spuntino di metà mattina oppure // era lo spuntino di metà mattina si era // ci consentivano di aprire il panaro;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#726759;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=1457898&end=1459939;1457898;1459939;PKP033;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;26-30;F;LE;intell;no;simmetrico;emilia-romagna;laurea;3;pasto;qualcuna di te giovane con la lambretta? // eh quella tipo tutte quelle mie persona~ // ma me ne hai data qualcuna già xxx;sai;// sul cantiere // sulle co~ // secondo me qualcuna me l''hai data // eh beh mo le vedi // io voglio vedere veracruz voglio;;;;;1;;;;;;;;1;;;;;;;;;;;;1;;;;;1;;;Interazionale & Cognitiva;Marcatura della conoscenza condivisa & Modulazione del grado di confidenza del parlante
KPS004;#729403;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=2188640&end=2194861;2188640;2194861;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;è andata a finire là dentro subito il nero è sceso e l''ha salvata sì perchè tutti volevamo vedere eccetera e allora;sai;// vero? // che guarda un po'' dentro è scivolante cioè l''attenzione // e poi abbiamo visto i leoni i leoni madonna mia eh //;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;Metatestuale;General extenders e marche di generalizzazione
KPS004;#729625;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=2252871&end=2254062;2252871;2254062;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;go~ // però guarda // e poi cattivini // no ma poi ci stavan~ ci stavano i neri // i i masai è un discorso // so'' belli // che ne;sai;tu xxx // però dei masai un altro // xxxxxxxx // xxxx // ah ma ci sono più // i m~ i masai li devi andare a trovare fuori dalla //;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#729812;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=2304850&end=2308111;2304850;2308111;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;// passami quel finoccchio // io i kenyoti viene proprio per i neri xxxxxxxxxx quel vecchio là // e poi mi ricordo //;sai;che facevano quelle feste là sai quando fanno nel xx // le feste allora devono // ma comunque // sì quello che mi ricordo;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#733834;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=3481080&end=3484731;3481080;3484731;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;// qui c''è un museo // fammi andare a vedere quello che c''è andiamo insieme voglio vedere quello che c''è // ad esempio;sai;nei musei ci sta tutta la storia de~ del posto // eh sì eh sì // e io guarda luna di miele // ma poi non è la luna di miele // è è una;;;;;1;;;;;;;;1;;;;;;;;1;;;;;;;;;1;;;Interazionale & Metatestuale;Marcatura della conoscenza condivisa & Esemplificazione
KPS004;#734206;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=3558795&end=3567816;3558795;3567816;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;sopra tutto vedi tutto poi scendemmo ha detto nonna camminiamo qua che qua è bello ecce~ dopo un po'' la nonna mia madre;sai;che disse // dice ma non // non si mangia dice // // voleva anda'' a mangia'' // vedi questa è la sostanza // dice tu // dice ma;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#735599;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=3915653&end=3918597;3915653;3918597;PKP035;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;over 85;M;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;non s''è voluta andare // attraverso villa borghese // ma non siamo già andati al pincio lì c''è il pincio // allora // tu la;sai;quelle filastrocche senza senso? // a ai tempi di rascel renato rascel hai sentito nominare? // no no no no // comico;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#736153;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=4068398&end=4069655;4068398;4069655;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;io mi ricordo a quei tempi xx // ma non è stata male? // è sta~ quella volta che è stata male // è quella quando è stata male lo;sai;// sì sì sì // allora stavamo // sì no questa la so // stavamo a positano // e io avevo fatto già i biglietti tutta per il;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#736309;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=4106356&end=4107440;4106356;4107440;PKP035;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;over 85;M;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;poi mettiamo den~ dentro i xx lì // ho detto // xx ecco // usciamo un''altra volta perchè amalfi siamo andati // questo;sai;come si dice? // mh // #menescia // mh // #menescia dentro // cioè la minestra // #lì rovesciata menescia // ah dici che è la;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#738674;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=4783756&end=4785734;4783756;4785734;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;tante cose su google c''è questo su questo no mamma mia xx // ma posso fare un caffè? // certo xx // stai bella seduta // ma non;sai;come devo fare io // ma l''ho già fatto per due giorni di seguito // stai // cosa // no puoi stare bella seduta // no perchè io;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#739597;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=5055286&end=5057768;5055286;5057768;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;proprio sono contenta guarda // lo so lo so // ora io non mi voglio neanche riempire di cose che // vabbè è una cosa che;sai;che te la metti non la butti // infatti // questa non piglia manco tanto posto tanto è leggera // no no ma lo so // è che ho poco;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#741170;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=5528124&end=5532327;5528124;5532327;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;tremendo guarda mio nonno giovane era // ehm era giovane rispetto a mia nonna perchè avevano vent''anni di differenza lo;sai;no? // mhmh // e quindi lui partiva s''organizzava tutto bene e partiva // e andò lì // e poi quando andò a trovare questi;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS004;#742020;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=5788325&end=5792367;5788325;5792367;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;tengo // poi dipende eh // non ho cose di san gabriele inso~ // e faceva i lavoretti così con le perline per la chiesa perchè;sai;a quei tempi // facevano tutte ste no e facevano tutt~ e si passa il tempo con ste cose qui della chiesa // mio nonno // la;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;Interazionale;Marcatura della conoscenza condivisa
KPS004;#743270;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6187081&end=6192673;6187081;6192673;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;è stato pio dodi~ sì dodicesimo senz''altro // che mandava gli auguri perchè mio padre aveva lasciato una mancia una;sai;come fai nella chiesa e quindi arrivava ques~ // poi loro partirono subito in viaggio di nozze // e andarono // a a napoli a;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;Interazionale;Marcatura della conoscenza condivisa
KPS004;#743926;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6409224&end=6411381;6409224;6411381;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;nella guerra che stess~ stavan~ // in previsione pot~ che potevano // che potevano peggiorare // perchè era l''inizio;sai;le cose eccetera // eccetera e lui allora disse allora mo prendo u~ una ca~ un''altra casa // l''ha presa lì eh // a quella lì;;;;;1;;;;;;;;1;;;;;;;;;;1;;;;;;;1;;;Interazionale & Metatestuale;Marcatura della conoscenza condivisa & General extenders e marche di generalizzazione
KPS004;#744252;doc#92;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS004&begin=6513091&end=6515755;6513091;6515755;PKP034;KPS004;02:02:15;libero;https://search.corpuskiparla.it/corpus/conversations/KPS004.html;https://search.corpuskiparla.it/corpus/conversations/KPS004_jefferson.html;81-85;F;LE;pens;no;simmetrico;puglia;dip_tec_prof;3;pasto;detto ma dov''è capito? // mia madre dice sì va bene // però poi non sei curata che ha det~ che ha // che le~ // la so questa // la;sai;sta cosa e lei la cristiana se n''è scesa // mhmh // per conto suo e io scesa per conto mio // xx quattro piani a piedi // allora;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPC001;#749145;doc#93;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC001&begin=850367&end=854228;850367;854228;PKP025;KPC001;00:32:59;libero;https://search.corpuskiparla.it/corpus/conversations/KPC001.html;https://search.corpuskiparla.it/corpus/conversations/KPC001_jefferson.html;21-25;F;AN;stud;no;simmetrico;marche;laurea in corso;2;pasto;è piccolissima poi c''è quella sala rossa // minusc~ // no piccola no // piccolissima // quella rossa è piccolissima ma;sai;cos''è è che le porte so chiuse // sì ma lì cosa c''era // l''afro // eh // bellissima però era talmente piccola e chiusa // e poi;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOA3011;#752532;doc#94;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3011&begin=242387&end=246468;242387;246468;BO097;BOA3011;00:15:17;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3011.html;https://search.corpuskiparla.it/corpus/conversations/BOA3011_jefferson.html;21-25;F;BO;stud;no;simmetrico;lombardia;laurea in corso;2;conversazione libera;// un po'' raffreddata // xxxx // se ti va abbiamo le tisanine quelle allo zenzero quelle fanno bene per la gola // sì no;sai;che ieri me ne sono mangiata un sacco di zenzero // perché mi piace un sacco quello candito // quello candito? // cioè non;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOA3011;#752609;doc#94;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3011&begin=283799&end=285212;283799;285212;BO095;BOA3011;00:15:17;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3011.html;https://search.corpuskiparla.it/corpus/conversations/BOA3011_jefferson.html;21-25;F;BO;stud;no;simmetrico;sicilia;laurea in corso;2;conversazione libera;adesso mi voglio muovere un po'' // pilates? // sì dopo all'' una // mi devo fare la ceretta // // non la faccio da secoli // io;sai;cosa non faccio da secoli? // mh // la spesa // devo fare anche quella dopo // non c'' ho voglia // // dice e che mangi? boh // //;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOA3011;#752930;doc#94;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3011&begin=671340&end=673354;671340;673354;BO097;BOA3011;00:15:17;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3011.html;https://search.corpuskiparla.it/corpus/conversations/BOA3011_jefferson.html;21-25;F;BO;stud;no;simmetrico;lombardia;laurea in corso;2;conversazione libera;di sforzi // // sperando che abbiano cachimela decenti alla coop perché ogni volta mamma mia me li giro tutti // // eva tu;sai;per caso che cos'' è? // eh una cosa che si chiama hera? xxx? // qui a bologna? // mh sì è l'' azienda che distribuisce gas e luce;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTD016;#762014;doc#96;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD016&begin=366270&end=366670;366270;366670;TOR004;PTD016;00:55:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD016.html;https://search.corpuskiparla.it/corpus/conversations/PTD016_jefferson.html;21-25;F;TO;stud;sì;asimmetrico;piemonte;laurea in corso;4;intervista semistrutturata;ciucci // mh mh // però i ciucci durano meno // ogni tot lo puoi mettere nell''acqua a bollire e lo sterilizzi così // ah // lo;sai;che // cioè ad esempio le coppette cioè sostituiscono i // i gli assorbenti eh risparmi in un anno se fai xxx hanno fatto un;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTD016;#762317;doc#96;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD016&begin=448565&end=449105;448565;449105;TOR004;PTD016;00:55:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD016.html;https://search.corpuskiparla.it/corpus/conversations/PTD016_jefferson.html;21-25;F;TO;stud;sì;asimmetrico;piemonte;laurea in corso;4;intervista semistrutturata;e // un po'' di tutto // mh mh // da // ma? // da // da? // // eh che senti che scuole avete fatto? // da è russo // che ne so // da no //;sai;che da // // magari secondo me è // eh eh no // per esempio il suo amichetto diceva da che è rumeno // da è russo e si anche;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTD016;#764453;doc#96;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD016&begin=992030&end=995520;992030;995520;TOI076;PTD016;00:55:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD016.html;https://search.corpuskiparla.it/corpus/conversations/PTD016_jefferson.html;26-30;F;TO;disocc;sì;asimmetrico;piemonte;dip_tec_prof;4;intervista semistrutturata;quando faccio un pezzo cioè un quadro metto già i gancetti dietro // oltre che esserci anche il mio timbro il sigillo cioè;sai;che è dritto // sì // ma è matta // ah okay // lei l''ha completamente girata // e l''ha appoggiata // e l''ha appoggiata gli ho;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTD016;#764512;doc#96;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD016&begin=1003920&end=1007926;1003920;1007926;TOI076;PTD016;00:55:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD016.html;https://search.corpuskiparla.it/corpus/conversations/PTD016_jefferson.html;26-30;F;TO;disocc;sì;asimmetrico;piemonte;dip_tec_prof;4;intervista semistrutturata;ma guarda x è al contrario // eh ma è lì come interpreti il lavoro // sì ma ci sono i due gancetti se c~ c''è il gancetto in alto;sai;che devi appenderlo // ah beh quello sì // quello è vero era a prova di scemo proprio // eh // però lei poi completamen~ //;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTD016;#764841;doc#96;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD016&begin=1076325&end=1078620;1076325;1078620;TOI077;PTD016;00:55:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD016.html;https://search.corpuskiparla.it/corpus/conversations/PTD016_jefferson.html;36-40;M;TO;impr;sì;asimmetrico;piemonte;dip_tec_prof;4;intervista semistrutturata;// ha fatto l''idraulico ha fatto // giulio sa tutto // come mio papà praticamente // giulio sa tutto cioè // sì // servono;sai;quelli sono vecchio stampo // sì sì sì sì // sì che tipo ti si rompe qualche mio papà mi ricordo si è rotto un;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;Interazionale;Marcatura della conoscenza condivisa
PTD016;#764938;doc#96;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD016&begin=1098216&end=1099956;1098216;1099956;TOI076;PTD016;00:55:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD016.html;https://search.corpuskiparla.it/corpus/conversations/PTD016_jefferson.html;26-30;F;TO;disocc;sì;asimmetrico;piemonte;dip_tec_prof;4;intervista semistrutturata;mette lì apre tutto ripara cosa // poi lui // ha fatto tutto ha fatto l''idraulico ha fatto // elettricista eh eh // poi // ma;sai;ha fatto anche il salda~ no // qualche cosa di elettricista poi // tubista forse no // sì poi ha fatto // in aziende ha;;;;;1;1;;;;;;;1;;;;;;;;;;;;;1;;;;1;;;Interazionale & Cognitiva;Marcatura della conoscenza condivisa & Approssimazione
PTD016;#765705;doc#96;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD016&begin=1273593&end=1277883;1273593;1277883;TOI077;PTD016;00:55:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD016.html;https://search.corpuskiparla.it/corpus/conversations/PTD016_jefferson.html;36-40;M;TO;impr;sì;asimmetrico;piemonte;dip_tec_prof;4;intervista semistrutturata;conosciuta bene // eh vabbè poi dopo però // // xx // subito così e ho detto mah // xx // faccio vedere però // mi sa che que~ eh;sai;quando vedi quello perché devi xxx son passati eh di di di gente // non avevo le unghie già lì dovevi capire se x ho le unghie;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;
PTD016;#767419;doc#96;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD016&begin=1659080&end=1662870;1659080;1662870;TOI077;PTD016;00:55:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD016.html;https://search.corpuskiparla.it/corpus/conversations/PTD016_jefferson.html;36-40;M;TO;impr;sì;asimmetrico;piemonte;dip_tec_prof;4;intervista semistrutturata;fare le torte zia ma io non so neanche montare la panna cioè // // voglio dire // mh // eh però boh almeno io preferirei pu~ //;sai;te da quello che mi raccontava lei comunque in cassa dopo un po'' minchia sei sempre lì // la cassa è sempre una cosa al // in;;;;;1;;;;;;;;1;;;1;;;;;;;;;;;;;;1;;;Interazionale & Metatestuale;Marcatura della conoscenza condivisa & Gestione del topic: introduzione o ripresa di topic
PTD016;#771297;doc#96;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD016&begin=2597210&end=2599415;2597210;2599415;TOR004;PTD016;00:55:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD016.html;https://search.corpuskiparla.it/corpus/conversations/PTD016_jefferson.html;21-25;F;TO;stud;sì;asimmetrico;piemonte;laurea in corso;4;intervista semistrutturata;e tutto // // io mi ricordo che ogni tanto aprivo gli occhi e facevo così // // vi giuro madonna mia che roba // ma tu la;sai;la storia di mia nonna e le mummie? // infatti non mi ricordo poco e niente mi ricordo // infatti sa un cacchio lei quando;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
