Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;"Omissione: omettendo ""sai"" cambia il senso della predicazione";"Sintassi: ""sai"" regge una subordinata secondaria (es. sai che…)";"Prosodia: ""sai"" non costituisce un'unità prosodica indipendente";SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti;Macrofunzioni;Microfunzioni
TOD2016;#44833;doc#8;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2016&begin=385783&end=389689;385783;389689;TO080;TOD2016;00:30:39;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD2016.html;https://search.corpuskiparla.it/corpus/conversations/TOD2016_jefferson.html;21-25;F;TO;stud;sì;simmetrico;lombardia;laurea in corso;2;intervista semistrutturata;più o meno piccole paesini // confinanti uno con l'' altro // ogni // attaccati proprio // attaccate // okay // e quindi non;sai;dove inizia uno e finisce un altro a meno che non vedi un cartello // certo // quindi noi effettivamente siamo in;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTB019;#57504;doc#9;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB019&begin=2417887&end=2421585;2417887;2421585;TOI071;PTB019;00:43:39;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB019.html;https://search.corpuskiparla.it/corpus/conversations/PTB019_jefferson.html;66-70;F;TO;pens;sì;asimmetrico;puglia;dip_lic;3;intervista semistrutturata;// devi andare fuori torino per esem~ c''è il mio consuocero che ogni tanto parla // e qualcu~ uno lo senti parlare ma poi;sai;// noneh // se poi parlano stretto non lo capisco proprio // se parlano stretto non lo capisco // e i vostri figli lo;;;;;1;;;;;;;;1;;;;;;;;;1;;;;;;;;1;;;Interazionale & Metatestuale;Marcatura della conoscenza condivisa & Filler, riempimento dei tempi di formulazione
PBA004;#60806;doc#10;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=852760&end=855400;852760;855400;BOR018;PBA004;00:57:15;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;F;BO;stud;sì;asimmetrico;calabria;laurea in corso;4;intervista semistrutturata;io non lo so anche il fatto ci sono alcuni che puliscono dopo e non lo sopporto pulisci subito // eh // oppure eh però che ne;sai;alcuni // non so si seccano non puoi neanche tanto insistere // con alcuni // ma p~ poi cioè dipende // e anche // dipende;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBA004;#65487;doc#10;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA004&begin=2358220&end=2359230;2358220;2359230;BOI060;PBA004;00:57:15;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA004.html;https://search.corpuskiparla.it/corpus/conversations/PBA004_jefferson.html;21-25;M;BO;oper;sì;asimmetrico;emilia-romagna;dip_tec_prof;4;intervista semistrutturata;dietro casa nella parte di dietro che è in discesa // e // a forza di girare girare girare girare ovviamente // dopo un po'';sai;// prendi il ritmo ed inizi ad andar // mh // e niente vado giù per questa discesa ehm sinceramente non ricordo il motivo;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;Interazionale;Marcatura della conoscenza condivisa
KPS008;#79325;doc#12;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS008&begin=265665&end=268395;265665;268395;PKP040;KPS008;00:29:53;libero;https://search.corpuskiparla.it/corpus/conversations/KPS008.html;https://search.corpuskiparla.it/corpus/conversations/KPS008_jefferson.html;51-55;F;BR;uff;no;simmetrico;estero;laurea;3;pasto;un un pino una cosa del genere // # ho detto ad antonello antonè mo che nasce tua nipote na foresta chiantu // // ieri;sai;perchè li ho riconosciuti alla conad? // mh // perchè ho visto uno che guardava un cane che era entrato alla conad stava;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KPS008;#81219;doc#12;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS008&begin=1447719&end=1449369;1447719;1449369;PKP040;KPS008;00:29:53;libero;https://search.corpuskiparla.it/corpus/conversations/KPS008.html;https://search.corpuskiparla.it/corpus/conversations/KPS008_jefferson.html;51-55;F;BR;uff;no;simmetrico;estero;laurea;3;pasto;// di tasse? // vuoi? // no // mo stanno quelli là // xx xx // che assumeranno // e metteranno in cassa integrazione lo;sai;no? // be non credo che si possa fare // be eppure molte // mo col centro dell''impiego si vede subito eh // alcuni li hanno;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTB002;#84323;doc#13;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB002&begin=971219&end=976063;971219;976063;TOI017;PTB002;01:27:40;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB002.html;https://search.corpuskiparla.it/corpus/conversations/PTB002_jefferson.html;over 85;M;TO;pens;sì;asimmetrico;puglia;elem;3;intervista semistrutturata;una ragazza // ti metteva no per carità // non si poteva // eh chi è che ti diceva ma magari // se non // oh ma quella eh quella;sai;è uscita con quello là questa ragazza perdeva tutto // eh sì poverina certo // eh niente allora niente // volevo ballare;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;Interazionale;Marcatura della conoscenza condivisa
TOA3005;#96868;doc#14;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3005&begin=185748&end=190573;185748;190573;T0032;TOA3005;00:31:26;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3005.html;https://search.corpuskiparla.it/corpus/conversations/TOA3005_jefferson.html;21-25;M;TO;stud;no;simmetrico;piemonte;laurea in corso;2;conversazione libera;// ha detto che era venuta male perché l'' uovo si era rappreso // quindi // no va bene ma è anche gusto personale eh // sì ma;sai;come sono i romani pretendono di sapere loro come si fa tutto quindi // mi fido anche // lei poi fa una pasta eccezionale //;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOA3005;#97544;doc#14;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3005&begin=471513&end=474393;471513;474393;T0032;TOA3005;00:31:26;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3005.html;https://search.corpuskiparla.it/corpus/conversations/TOA3005_jefferson.html;21-25;M;TO;stud;no;simmetrico;piemonte;laurea in corso;2;conversazione libera;ieri non è stata apprezzata abbastanza // perché? // che mondo di xxx // solo venti likes // un mondo di ingoranza sarà che;sai;come xxx // no eh allora posso dirti una cosa? dipende anche all'' ora in cui lo metti l'' ho messa ieri alle tre e tre non è un'';1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOA3005;#97981;doc#14;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3005&begin=723494&end=724844;723494;724844;T0032;TOA3005;00:31:26;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3005.html;https://search.corpuskiparla.it/corpus/conversations/TOA3005_jefferson.html;21-25;M;TO;stud;no;simmetrico;piemonte;laurea in corso;2;conversazione libera;un cesso a pedali così? // no // se no sarei innamorato della xxx // cesso a pedali // a fattona // brutto cesso a pedali //;sai;di cosa sto parlando? // no // è un video bellissimo // uma thurman e donatella versace // e niente ha vinto la lega è troppo;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOA3005;#99654;doc#14;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3005&begin=1387581&end=1392308;1387581;1392308;TO030;TOA3005;00:31:26;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3005.html;https://search.corpuskiparla.it/corpus/conversations/TOA3005_jefferson.html;21-25;F;TO;stud;no;simmetrico;liguria;laurea in corso;2;conversazione libera;è una roba che io non sopporto // cioè questa è gente che non ha niente di meglio da fare // e sai che ha ragione mia madre;sai;cosa dice mia madre dice che ''sti qua allo stadio probabilmente vanno // non stanno neanche a guardar la partita passan;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBC005;#103883;doc#15;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC005&begin=1085140&end=1092560;1085140;1092560;BOI014;PBC005;01:01:27;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC005.html;https://search.corpuskiparla.it/corpus/conversations/PBC005_jefferson.html;76-80;F;BO;pens;sì;asimmetrico;emilia-romagna;dip_lic;2;intervista semistrutturata;// da usare come // eh // mh laboratorio // per fare le riparazioni // a a a alle ai ai mobili delle persone che abitavano lì;sai;nessuno aveva soldi aveva quelle poche cose // e mio padre si è inventato il mestiere di falegname // perchè non e poi;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;Interazionale;Marcatura della conoscenza condivisa
PBC005;#108935;doc#15;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC005&begin=2925835&end=2929205;2925835;2929205;BOI014;PBC005;01:01:27;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC005.html;https://search.corpuskiparla.it/corpus/conversations/PBC005_jefferson.html;76-80;F;BO;pens;sì;asimmetrico;emilia-romagna;dip_lic;2;intervista semistrutturata;// ma va là // sì // anche avevano // tante poi avevano una scala mobile anomala // anomala // la scala mobile lo;sai;che è quel meccanismo che // eh // permette a agli stipendi di adeguarsi al costo della vita // adesso e'' tale che è;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTA002;#111743;doc#16;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA002&begin=248320&end=254960;248320;254960;TOI003;PTA002;00:05:39;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA002.html;https://search.corpuskiparla.it/corpus/conversations/PTA002_jefferson.html;26-30;M;TO;oper;sì;asimmetrico;piemonte;dip_tec_prof;5;intervista semistrutturata;o bocciarla // okay // okay va bene // però non sei di quelli che fanno le perizie per l''assicurazione // mh magari //;sai;quanta corruzione sai quanti soldi no purtroppo no hanno provato a corrompermi anche lì però // // // // // avevi era più;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTA002;#111746;doc#16;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA002&begin=248320&end=254960;248320;254960;TOI003;PTA002;00:05:39;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA002.html;https://search.corpuskiparla.it/corpus/conversations/PTA002_jefferson.html;26-30;M;TO;oper;sì;asimmetrico;piemonte;dip_tec_prof;5;intervista semistrutturata;// okay va bene // però non sei di quelli che fanno le perizie per l''assicurazione // mh magari // sai quanta corruzione;sai;quanti soldi no purtroppo no hanno provato a corrompermi anche lì però // // // // // avevi era più quello che che perdevi;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PBB033;#112166;doc#17;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=51330&end=59006;51330;59006;BOI119;PBB033;00:48:35;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB033.html;https://search.corpuskiparla.it/corpus/conversations/PBB033_jefferson.html;71-75;M;BO;intell;sì;asimmetrico;emilia-romagna;laurea;2;intervista semistrutturata;è un p~ quartiere molto popoloso // mhmh // e invece come persone come si è trovato con gli abitanti di borgo panigale // ma;sai;io poi abitavo mh a casteldebole esattamente che era praticamente un paesino di borgo panigale e faceva // mhmh // ah sì;;;;;1;1;;1;;;;;1;;;;;;;;;;;;;;;;;1;;;Interazionale;Richiesta di accordo/conferma & Marcatura della conoscenza condivisa
