Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Filler, riempimento dei tempi di formulazione;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
BOC1002;#1693415;doc#223;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1002&begin=268685&end=276050;268685;276050;BO087;BOC1002;00:28:44;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1002.html;https://search.corpuskiparla.it/corpus/conversations/BOC1002_jefferson.html;41-45;M;BO;2;intell;sì;asimmetrico;emilia-romagna;esame;phd;comunque un'' analisi diretta dei documenti ovviamente c'' è stata però // mh // eh // mi è rimasto questo dubbio insomma //;dunque;bisogna però capire una cosa questa è la bibliografia delle opere cinesi tradotte in italiano sì sì sì sì perfetto // sì;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;0;;
BOC1002;#1695313;doc#223;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1002&begin=925223&end=928492;925223;928492;BO087;BOC1002;00:28:44;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1002.html;https://search.corpuskiparla.it/corpus/conversations/BOC1002_jefferson.html;41-45;M;BO;2;intell;sì;asimmetrico;emilia-romagna;esame;phd;vuol dire che c'' è // febbraio // marzo // aprile maggio // giugno // mah particolare come periodicità sta rivista //;dunque;la cosa importante è che lei deve sapere di una rivista l'' anno // mh mh // lei lo sa // l'' annata // che non è detto sia l'' anno e;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
BOC1009;#1701086;doc#226;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1009&begin=3933&end=7308;3933;7308;BO117;BOC1009;00:12:21;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1009.html;https://search.corpuskiparla.it/corpus/conversations/BOC1009_jefferson.html;36-40;F;BO;2;intell;sì;asimmetrico;lombardia;esame;phd;// eh // posso pensarci un attimo? s~ // sì sì sì io scrivo qua lei ci pensi con comodo // va bene // va bene // okay // //;dunque;lei su quali manuali si è preparata da non frequentante? // su bianchi andorno emh // e poi penco e domaneschi // mhmh // e;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;0;;
PTB024;#1705558;doc#228;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB024&begin=40726&end=41280;40726;41280;TOI109;PTB024;00:23:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB024.html;https://search.corpuskiparla.it/corpus/conversations/PTB024_jefferson.html;76-80;F;TO;3;pens;sì;asimmetrico;veneto;intervista semistrutturata;elem;// sì tutto quello che ti viene in mente // eh // coi miei genitori // mh // che // a quei tempi avevo diciassette anni //;dunque;// mh mh // mi ricordo benissimo // dove ci dove // siamo andati a abitare // mh mh // siamo andati a abitare nella zona di;;;;;1;;;;;;;;;;;;;;;;;1;1;;;;;;1;;
PTB024;#1708579;doc#228;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB024&begin=1091593&end=1095350;1091593;1095350;TOI109;PTB024;00:23:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB024.html;https://search.corpuskiparla.it/corpus/conversations/PTB024_jefferson.html;76-80;F;TO;3;pens;sì;asimmetrico;veneto;intervista semistrutturata;elem;con loro // ah // ma perché non aveva~ non avev~ eh e la macchina quando l''avevate // quando l''avete presa? // la macchina;dunque;mi sembra del sessan~ // sessanta nove? // sess~ sessantotto sessan~ // io mi ricordo sessantotto poi // ah ho capito //;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;0;;
PTB024;#1709076;doc#228;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB024&begin=1258848&end=1261060;1258848;1261060;TOI109;PTB024;00:23:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB024.html;https://search.corpuskiparla.it/corpus/conversations/PTB024_jefferson.html;76-80;F;TO;3;pens;sì;asimmetrico;veneto;intervista semistrutturata;elem;poi avete iniziato ad andare anche in altri in altri posti tipo in liguria? // eh beh in altri posti siamo andati // eh //;dunque;lì è cos''è nelle marche? // ma in liguria quando siete andati? // ah in liguria // liguria abbiamo iniziato // eh u~ devo;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBB009;#1719170;doc#229;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB009&begin=3460122&end=3460873;3460122;3460873;BOI028;PBB009;01:12:38;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB009.html;https://search.corpuskiparla.it/corpus/conversations/PBB009_jefferson.html;71-75;F;BO;3;intell;sì;asimmetrico;molise;intervista semistrutturata;laurea;c''è // sì // è bellissimo // no c''è stato un periodo che è stato pesante nel ah ecco alla fine degli anni ottanta // sì //;dunque;// negli anni ottanta c''avevo la polizia la camionetta delle po~ della polizia sempre sotto casa perchè c''era la sede;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;0;;
TOD2011;#1755384;doc#234;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2011&begin=986882&end=995100;986882;995100;TO047;TOD2011;00:31:38;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD2011.html;https://search.corpuskiparla.it/corpus/conversations/TOD2011_jefferson.html;21-25;F;TO;2;stud;sì;simmetrico;piemonte;intervista semistrutturata;laurea in corso;detto che ti piacerebbe andare a vivere all'' estero hai mai fatto viaggi non lo so in posti particolari // sì // e allora;dunque;eh i viaggi all'' estero che sono stati mh diciamo viaggi studio // eh risalgono tutti al periodo delle superiori ad;;;;;1;1;1;;;;;;;;;;;;;;;;1;;;;;;1;;
TOA1003;#1774801;doc#236;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=2910302&end=2912779;2910302;2912779;TO065;TOA1003;01:02:39;libero;https://search.corpuskiparla.it/corpus/conversations/TOA1003.html;https://search.corpuskiparla.it/corpus/conversations/TOA1003_jefferson.html;51-55;M;TO;3;intell;no;asimmetrico;piemonte;ricevimento studenti;phd;finiamo contemporaneamente t'' accompagno un pezzo così ti racconto che cosa ho fatto xxx // sì // allora // io credo di //;dunque;qui c'' è un equivoco probabilmente // nel senso che // ehm tutto questo // ha a che fare sicuramente con l'' idea che la;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;0;;
TOA1003;#1776182;doc#236;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=3603560&end=3605928;3603560;3605928;TO065;TOA1003;01:02:39;libero;https://search.corpuskiparla.it/corpus/conversations/TOA1003.html;https://search.corpuskiparla.it/corpus/conversations/TOA1003_jefferson.html;51-55;M;TO;3;intell;no;asimmetrico;piemonte;ricevimento studenti;phd;// e dunque la letteratura // è in grado di eclissare il dato banale // no // perché se lei lo scrive così // xxx // la parola e;dunque;la letteratura // sì non si capi~ // abbiamo un soggetto duplice // e il verbo deve essere plurale // xxx // plurale è vero;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PTD008;#1776729;doc#237;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD008&begin=9110&end=10380;9110;10380;TOR001;PTD008;00:31:09;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD008.html;https://search.corpuskiparla.it/corpus/conversations/PTD008_jefferson.html;26-30;F;TO;4;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;vi tengo prigionieri eh se poi dovete andare io non // sì no non vuoi passare // basta uno che si // okay // va benissimo //;dunque;in che zona di torino vivi? // parella // e hai sempre vissuto qui? // sì // da sempre? // da sempre // okay // nella stessa;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
TOA1001;#1786578;doc#238;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1001&begin=1217470&end=1219572;1217470;1219572;TO026;TOA1001;00:36:22;libero;https://search.corpuskiparla.it/corpus/conversations/TOA1001.html;https://search.corpuskiparla.it/corpus/conversations/TOA1001_jefferson.html;41-45;M;TO;2;intell;no;asimmetrico;piemonte;ricevimento studenti;phd;solo questo va'' come esempio buono // qua va bene // qui metterei sempre un tradizionalmente lì // qui lo eliminerei;dunque;qui // ma cioè // sono considerazioni eh // dunque ve~ // s~ s~ sono considerazioni diciamo valutative sul perché la;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
TOA1001;#1786588;doc#238;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1001&begin=1237153&end=1238096;1237153;1238096;TO026;TOA1001;00:36:22;libero;https://search.corpuskiparla.it/corpus/conversations/TOA1001.html;https://search.corpuskiparla.it/corpus/conversations/TOA1001_jefferson.html;41-45;M;TO;2;intell;no;asimmetrico;piemonte;ricevimento studenti;phd;// qui metterei sempre un tradizionalmente lì // qui lo eliminerei dunque qui // ma cioè // sono considerazioni eh //;dunque;ve~ // s~ s~ sono considerazioni diciamo valutative sul perché la tradizione di studi sul linguaggio giovanile in;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBC008;#1789780;doc#239;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC008&begin=339360&end=346940;339360;346940;BOI021;PBC008;00:58:59;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC008.html;https://search.corpuskiparla.it/corpus/conversations/PBC008_jefferson.html;71-75;F;BO;3;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_lic;sua casa di allora // a la mia casa di allora è la stessa casa di adesso a un piano diverso // ah // nel senso che // mhmh // eh //;dunque;quando io sono arrivata qua avevo tredic''anni e ero già proiettata avevo le amicizie fuori dal quartiere insomma // mh;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBC008;#1793122;doc#239;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC008&begin=1700942&end=1701450;1700942;1701450;BOI021;PBC008;00:58:59;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC008.html;https://search.corpuskiparla.it/corpus/conversations/PBC008_jefferson.html;71-75;F;BO;3;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_lic;noi faremo un un incontro su mh // primo levi viene una // vabbè // eh sì // eh noi poi abbiamo un rapporto particolare //;dunque;no // questa è // una delle cose // che intenzionalmente facciamo tutti gli anni è // questi due anni no // è un''iniziativa;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;0;;
TOA3008;#1807931;doc#241;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3008&begin=2378131&end=2388234;2378131;2388234;TO050;TOA3008;01:31:46;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3008.html;https://search.corpuskiparla.it/corpus/conversations/TOA3008_jefferson.html;21-25;M;TO;4;stud;no;simmetrico;campania;conversazione libera;laurea in corso;me xx dei complimenti vivi perché secondo me loro // se ne sbattono le palle perché sono vecchi // più grandi adulti e;dunque;sono talmente abituati a queste conferenze che non hanno nemmeno pen~ non pensano nemmeno che tu tu che sei all'' inizio;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBC012;#1832177;doc#245;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC012&begin=439896&end=445582;439896;445582;BOI034;PBC012;00:48:29;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC012.html;https://search.corpuskiparla.it/corpus/conversations/PBC012_jefferson.html;over 85;M;BO;3;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;elem;quanti anni avevi quando ti sei trasferito qui // quan~ // qui a bologna // a bologna proprio a bolo~ // no qua e guarda;dunque;su su e da~ dal quaran~ // mhmh // quara~ qua~ quaranta quaranta // dopo la guerra // nel quaranta? // quaranta x // dopo la;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOC1006;#1856362;doc#249;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=18740&end=22860;18740;22860;BO092;BOC1006;00:23:00;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;61-65;M;BO;2;intell;sì;asimmetrico;emilia-romagna;esame;phd;posso entrare? xx grazie // prego prego si accomodi // buongiorno // buongiorno // alloramh // marta banchi // sì // sì //;dunque;marta tu porti il programma dell'' anno accademico duemilasedici duemiladiciassette // sì // dell''anno scorso //;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
BOC1006;#1856401;doc#249;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=61188&end=64790;61188;64790;BO092;BOC1006;00:23:00;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;61-65;M;BO;2;intell;sì;asimmetrico;emilia-romagna;esame;phd;// dell''anno scorso // quindi fai la prima parte con me // hai un documento? // sì // grazie // okay perfetto // allora // sì;dunque;la tua tesina l'' ho corretta io però te la commento dopo // okay // alla fine dell'' esame // ehmh dunque della par~ tu dai l'';;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;0;;
BOC1006;#1856423;doc#249;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1006&begin=66750&end=70321;66750;70321;BO092;BOC1006;00:23:00;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1006.html;https://search.corpuskiparla.it/corpus/conversations/BOC1006_jefferson.html;61-65;M;BO;2;intell;sì;asimmetrico;emilia-romagna;esame;phd;// allora // sì dunque la tua tesina l'' ho corretta io però te la commento dopo // okay // alla fine dell'' esame // ehmh;dunque;della par~ tu dai l'' esame da frequentante? // eh sì // devi darlo da frequentante hai portato per la mia parte sia le slide;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTB025;#1885638;doc#253;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB025&begin=363030&end=367566;363030;367566;TOI116;PTB025;01:09:45;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB025.html;https://search.corpuskiparla.it/corpus/conversations/PTB025_jefferson.html;66-70;F;TO;4;pens;sì;asimmetrico;piemonte;intervista semistrutturata;dip_lic;eh eh io ho messo italiano eh // come come // mh // come volete // anche lui allora // eh no è nato città e provincia di nascita;dunque;papà è nato // a castell''alfero // parla a casa sua dialetto? sì // // parlicchia // qualche altra lingua // // // eh no xx;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;0;;
PTB025;#1889376;doc#253;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB025&begin=1552066&end=1556009;1552066;1556009;TOI117;PTB025;01:09:45;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB025.html;https://search.corpuskiparla.it/corpus/conversations/PTB025_jefferson.html;71-75;M;TO;4;pens;sì;asimmetrico;piemonte;intervista semistrutturata;laurea;// // eh però // // ma eh lei lavorava sempre in quartiere anche lei oppure altrove? // no no allora io la la zona di lavo~;dunque;// partiamo dall''inizio // mh // io ho cominciato nel settantacinque // e e ho insegnato nove anni fino;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;0;;
PTB025;#1893628;doc#253;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB025&begin=2929170&end=2930370;2929170;2930370;TOI117;PTB025;01:09:45;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB025.html;https://search.corpuskiparla.it/corpus/conversations/PTB025_jefferson.html;71-75;M;TO;4;pens;sì;asimmetrico;piemonte;intervista semistrutturata;laurea;se li prende eh cioè non // non non disdegna niente eh non disdegna niente // no // sì sì no no ma io son fatto così // xx // eh;dunque;// mh come dicevi? cosa cosa fate dopo la pensione // dopo // sì // allora // tanto per cominciare premetto una cosa ma non;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTB025;#1894750;doc#253;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB025&begin=3306999&end=3309693;3306999;3309693;TOI117;PTB025;01:09:45;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB025.html;https://search.corpuskiparla.it/corpus/conversations/PTB025_jefferson.html;71-75;M;TO;4;pens;sì;asimmetrico;piemonte;intervista semistrutturata;laurea;attivo infatti il prezzemolo // // no no no // un po'' dappertutto // allora allora allora io se volete // xxx // saperlo //;dunque;io vado è vero a dormire // nove n~ no~ nove e mezza esagera alle dieci // sì va va lascia perdere va // però io non adesso da;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;0;;
TOC1002;#1900568;doc#254;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1002&begin=1126870&end=1134501;1126870;1134501;TO006;TOC1002;00:20:06;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1002.html;https://search.corpuskiparla.it/corpus/conversations/TOC1002_jefferson.html;56-60;M;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;responsabilità di quello che fa e l'' assemblea che eventualmente lo sanziona ma non può comandarlo // mh mh // ehm //;dunque;abbiamo detto tutto sul rapporto sugli amministratori direi di sì abbiamo chiarito la nomina la revoca una cosa ci;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;0;;
BOC1005;#1908112;doc#256;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1005&begin=655958&end=660340;655958;660340;BO104;BOC1005;00:26:22;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1005.html;https://search.corpuskiparla.it/corpus/conversations/BOC1005_jefferson.html;36-40;F;BO;2;intell;sì;asimmetrico;emilia-romagna;esame;phd;senso che si dovrebbe attenere appunto a valutare ciò per cui è stato costruito il test // sì quindi diciamo allora il c~;dunque;il la validità è un concetto estremamente ampio // l~ una piccola parte del concetto di validità che è quello che tu hai;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;0;;
BOD1010;#1941965;doc#261;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1010&begin=2283400&end=2284928;2283400;2284928;BO103;BOD1010;01:49:14;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1010.html;https://search.corpuskiparla.it/corpus/conversations/BOD1010_jefferson.html;51-55;M;BO;1;intell;no;asimmetrico;lazio;lezione;phd;quindi fa re quino primo si di bemolle quinto primo di sol bemolle quinto primo di re // okay? // quindi la cosa suona // // e;dunque;no // e poi lui fa // // chiaro? // seconde quattro battute // cioè lui avrebbe potuto spalmarlo su quattro battute invece;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOD1010;#1942375;doc#261;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1010&begin=2556063&end=2557671;2556063;2557671;BO103;BOD1010;01:49:14;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1010.html;https://search.corpuskiparla.it/corpus/conversations/BOD1010_jefferson.html;51-55;M;BO;1;intell;no;asimmetrico;lazio;lezione;phd;non te le chiede nessuno però // si fanno // capita di ascoltarle // a volte anche proprio come omaggio a coltrane // ehm;dunque;// gli ho fatto dimenticare le cose // sì bra~ bravo difendimi difendimi // allora ehm // c'' è infine // infine c'' è prima di;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOA3017;#1971172;doc#264;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=1417530&end=1419255;1417530;1419255;BO139;BOA3017;00:30:22;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3017.html;https://search.corpuskiparla.it/corpus/conversations/BOA3017_jefferson.html;21-25;M;BO;4;stud;no;simmetrico;emilia-romagna;conversazione libera;laurea in corso;altra della lindt? // sì // no però tipo l'' ultima era abbastanza formale quindi era piena di // ehmh // no no certo no sì;dunque;// no che palle cazzo // eh // adesso mi divertirò anche riascoltando l'' audio di // // questa è molto più colorita // //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;"Sta in un discorso riportato; interessante che venga considerato come ""formale"""
BOD1005;#1985705;doc#267;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1538907&end=1545862;1538907;1545862;BO094;BOD1005;01:24:55;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1005.html;https://search.corpuskiparla.it/corpus/conversations/BOD1005_jefferson.html;66-70;F;BO;1;intell;no;asimmetrico;toscana;lezione;phd;// allora dopo aver discusso la cosa anche col dottor rossi vediamo di // trovare una soluzione equa per tutti //;dunque;la distanza fra il dicio~ diciannove dicembre e il diciotto gennaio // è praticamente di due settimane lavorative //;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
BOD1005;#1987688;doc#267;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2432293&end=2439707;2432293;2439707;BO094;BOD1005;01:24:55;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1005.html;https://search.corpuskiparla.it/corpus/conversations/BOD1005_jefferson.html;66-70;F;BO;1;intell;no;asimmetrico;toscana;lezione;phd;a è derivabile capito ora questo lo leggo come derivabile // se a è derivabile da gamma uno // e bi è derivabile da gamma due;dunque;la loro congiunzione è derivabile da gamma uno e gamma due e è zero // quindi tutte le regole che vi abbiamo dato //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1005;#1988168;doc#267;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2673392&end=2678522;2673392;2678522;BO094;BOD1005;01:24:55;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1005.html;https://search.corpuskiparla.it/corpus/conversations/BOD1005_jefferson.html;66-70;F;BO;1;intell;no;asimmetrico;toscana;lezione;phd;della logica va bene dove voi avete visto una formula molto piccola ma almeno // un'' idea // ve la siete fatta // va bene eh;dunque;io direi a questo punto forse di // a meno che non abbiate domande sulla dimostrazione del teorema di validità // eh //;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;0;;
BOD1005;#1988378;doc#267;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2800658&end=2802013;2800658;2802013;BO094;BOD1005;01:24:55;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1005.html;https://search.corpuskiparla.it/corpus/conversations/BOD1005_jefferson.html;66-70;F;BO;1;intell;no;asimmetrico;toscana;lezione;phd;insieme al foglio con le domande e fate lì // poi quello che voi non volete che io legga // xx sopra e basta // va bene? // oh //;dunque;eh // diciamo vorrei un atti~ diciamo ci sono due argomenti // di cu~ che vorrei trattare oggi // uno // è se volete un;;;;;1;1;;;;;;;;;;1;;;;;;;1;;;;;;1;;
PBB031;#2051410;doc#277;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB031&begin=1395030&end=1398040;1395030;1398040;BOI108;PBB031;00:49:58;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB031.html;https://search.corpuskiparla.it/corpus/conversations/PBB031_jefferson.html;56-60;F;BO;3;comm;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;sì // e quindi c''é anche quell''aspetto l''altra faccia della medaglia sicuramente // che non è // eh sempre positivo //;dunque;mh direi che // eh // fa un po'' parte della // di questi cambiamenti ecco // de // sì sì sì sì // mh // che mh ecco non abi~ non;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBC021;#2057554;doc#278;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC021&begin=299120&end=302460;299120;302460;BOI051;PBC021;00:51:51;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC021.html;https://search.corpuskiparla.it/corpus/conversations/PBC021_jefferson.html;76-80;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;med;per delle scuole sì facevamo da mangiare per le scuole // e prima // mh lavoravi sempre lì oppure // no prima ho fatto //;dunque;da da ragazzina il primo lavoro è stato // ho fatto un po'' la sarta // ma ero una bambina allora avevo dodici anni // sì sì // e;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;0;;
PTD004;#2077244;doc#280;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD004&begin=1615373&end=1617411;1615373;1617411;TOI042;PTD004;01:15:14;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD004.html;https://search.corpuskiparla.it/corpus/conversations/PTD004_jefferson.html;66-70;M;TO;4;pens;sì;asimmetrico;piemonte;intervista semistrutturata;laurea;anni settanta era ancora così // anni settanta no // c''era ancora un ambiente molto // eh // era ancora così // ruspante mh;dunque;// eh // mio padre che era lì sempre per // perché il comune era era lì no // e combinazione ehm all''epoca fumava // la;;;;;1;1;;;;;;;;;;1;;;;;;;1;;;;;;1;;
PBB006;#2135472;doc#287;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB006&begin=2289093&end=2291221;2289093;2291221;BOI020;PBB006;01:00:07;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB006.html;https://search.corpuskiparla.it/corpus/conversations/PBB006_jefferson.html;51-55;M;BO;2;intell;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;di prima // eh di anpi // volevo chiederle come ha conosciuto anpi // eh x x xx non lo so eh per caso ha xxx con loro? //;dunque;adesso ci penso un attimo // la prima sì aspetta // la prima cosa che abbiamo fatto con anpi // xxx con anpi del quartiere xx;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBB019;#2153759;doc#291;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB019&begin=1075170&end=1079746;1075170;1079746;BOI057;PBB019;00:30:45;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB019.html;https://search.corpuskiparla.it/corpus/conversations/PBB019_jefferson.html;51-55;F;BO;2;intell;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;// sì sì sì // quello già rientra quelli già rientrano nella biografia // quindi non t~ n~ è diviso a metà tra // però;dunque;diciamo dovrebbere essere un film un f~ un festival di film indipendenti // ah okay // per cui non prendere quelli di;;;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;0;;
