Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Filler, riempimento dei tempi di formulazione;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
PTD017;#1251772;doc#160;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD017&begin=1139301&end=1146988;1139301;1146988;TOI078;PTD017;00:38:22;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD017.html;https://search.corpuskiparla.it/corpus/conversations/PTD017_jefferson.html;36-40;M;TO;2;impr;sì;asimmetrico;piemonte;intervista semistrutturata;dip_lic;te quali sono // ah // le differenze principali con i pro e i contro di ciascuna delle città // milano non è una ci~ eh;dunque;il discorso è che mh le parti di ci~ di città che ho visto io poi chiaro io arrivavo alle nove e andavo via quindi // // mh mh //;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;0;;
PTD017;#1255133;doc#160;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD017&begin=2067410&end=2070822;2067410;2070822;TOR001;PTD017;00:38:22;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD017.html;https://search.corpuskiparla.it/corpus/conversations/PTD017_jefferson.html;26-30;F;TO;2;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;città totalmente diversa poi alla fine // mh mh mh // beh cambia il modo in cui vivi la città no? // x // mh mh // certo // e mh //;dunque;quindi mi sembra che globalmente sia molto soddisfatto del posto in cui vivi // ma sì sì // ci sono delle cose che invece ti;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
TOD2015;#1256016;doc#161;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2015&begin=32150&end=34146;32150;34146;TO073;TOD2015;00:30:52;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD2015.html;https://search.corpuskiparla.it/corpus/conversations/TOD2015_jefferson.html;21-25;F;TO;2;stud;sì;simmetrico;piemonte;intervista semistrutturata;laurea in corso;duemiladiciotto dove hai vissuto quali sono state o qualè stata la tua casa nel duemiladiciotto // d'' accordo // allora;dunque;// ehm la il mio concetto di casa è un concetto un po'' strano nel senso che // eh io vivo mh con mia mamma // ah ah // eh a;;;;;1;1;1;;;;;;;;;;;;;;;;1;;;;;;1;;
TOC1007;#1272844;doc#164;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1007&begin=1250715&end=1251769;1250715;1251769;TO024;TOC1007;00:20:55;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1007.html;https://search.corpuskiparla.it/corpus/conversations/TOC1007_jefferson.html;56-60;F;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;più al writ ma a una sentenza precedente // sì diciamo in linea molto generale è così // // ventiquattro // sì lo accetto //;dunque;lei è // ecco // grazie // per disturbarvi // ma io cioè per me figurati // sto tranquillo? // okay // sì // ho xxxxxxx //;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
PTA013;#1274146;doc#165;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA013&begin=400125&end=404215;400125;404215;TOR001;PTA013;00:44:45;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA013.html;https://search.corpuskiparla.it/corpus/conversations/PTA013_jefferson.html;26-30;F;TO;4;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;piuttosto che un''altra // mh mh mh mh // d''accordo // sei una merda // eh // x potevi averne uno dei due // po po po //;dunque;al lavoro mi hai detto che andresti avanti potendo scegliere andresti avanti a fare quello che fai giusto? // sì // okay;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
PTA013;#1274878;doc#165;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA013&begin=582686&end=587766;582686;587766;TOR001;PTA013;00:44:45;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA013.html;https://search.corpuskiparla.it/corpus/conversations/PTA013_jefferson.html;26-30;F;TO;4;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;a torino o? // asso // no no no // io viaggio a torino a trecentosessanta gradi quindi // ah okay // d''accordo // // mh //;dunque;invece la zona in cui stavi prima oltre al legame affettivo secondo te? come zona della città? // mi sono giocato xx xxx le;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;0;;
PTA013;#1281672;doc#165;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA013&begin=2301800&end=2302230;2301800;2302230;TOR001;PTA013;00:44:45;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA013.html;https://search.corpuskiparla.it/corpus/conversations/PTA013_jefferson.html;26-30;F;TO;4;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;non arrivi tipo gullit se no siamo fottuti // è un disatro eh certo // prossimo anno è già con // ehm // va bene // ah //;dunque;// e hai detto che esci con gli amici? // che posti frequenti? // che posti frequento // // oh non guardare me eh non è che;;;;;1;1;;;;;;;;;;1;;;;;;;1;;;;;;1;;
BOC1008;#1318289;doc#170;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1008&begin=8855&end=13810;8855;13810;BO117;BOC1008;00:14:20;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1008.html;https://search.corpuskiparla.it/corpus/conversations/BOC1008_jefferson.html;36-40;F;BO;2;intell;sì;asimmetrico;lombardia;esame;phd;vatti a lavare i denti // i~ il lavati col sapone le mani // // no se deve andare via xx // e te ne vai // okay // allora // ehm;dunque;mi ricordo che lei ha frequentato ehm // sì esatto // le direi di eh cominciare con una definizione di eh cortesia // mh? //;;;;;1;1;1;;;;;;;;;;;;;;;;1;;;;;;1;;
PTB003;#1342221;doc#173;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB003&begin=1458664&end=1460461;1458664;1460461;TOI017;PTB003;00:52:01;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB003.html;https://search.corpuskiparla.it/corpus/conversations/PTB003_jefferson.html;over 85;M;TO;3;pens;sì;asimmetrico;puglia;intervista semistrutturata;elem;la la persona di servizio // per aiutare il fratello che studiava // ah // e il suo fratello era a // faceva l''istitutore //;dunque;eh // dove c''è la statua di corso vittorio emanuele // sì // corso vittorio emanuele c''è la statua // il vittorione // e il;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTB003;#1345769;doc#173;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB003&begin=2571412&end=2576579;2571412;2576579;TOI017;PTB003;00:52:01;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB003.html;https://search.corpuskiparla.it/corpus/conversations/PTB003_jefferson.html;over 85;M;TO;3;pens;sì;asimmetrico;puglia;intervista semistrutturata;elem;al mattino // eh la sera e la domenica si faceva quello che si poteva // certo // difatti eh // la parte dove dove ca~ //;dunque;la casa l''aveva comprata giovanni e sua sorella assie~ da soli // perché giovanni lavorava // alla a settimo alla;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;0;;
