Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Introduzione di topic/passaggio a un nuovo topic/ripresa di un topic allora, quindi, dopo di che ecc.;Chiusura di un topic;Riformulazione;Digressione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Intensificazione;Polifunzionalità
PBC024;#787293;doc#117;2024;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC024&begin=2931740&end=2935530;2931740;2935530;BOR036;PBC024;01:10:00;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC024.html;https://search.corpuskiparla.it/corpus/conversations/PBC024_jefferson.html;31-35;F;BO;3;intell;sì;asimmetrico;emilia-romagna;intervista semistrutturata;phd;capito queste cose qua ti racconto io di cesare // beh giusto va bene giusto giusto // e poi cosa volete ancora? // no ma no;direi;che gua~ guardami un attimo // sì guardo sì // per non dire anche quando che magari andavamo alla biblioteca // ehm // qui;1;;;;;;;;;;;;;;;;;;;;;;;0
BOD2006;#791739;doc#118;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=466961&end=467811;466961;467811;BO051;BOD2006;00:18:57;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2006.html;https://search.corpuskiparla.it/corpus/conversations/BOD2006_jefferson.html;26-30;M;BO;2;stud;sì;simmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;// assolutamente sí assolutamente sí // un'' esperienza meravigliosa sotto tutti i punti di vista // sí //;direi;sí // ti ha c''é q~ c''é q~ un qualche episodio in particolare m magari divertente che puoi raccontare o // beh e // anche;1;;;;;;;;;;;;;;;;;;;;;1;;0
BOD2006;#791981;doc#118;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=552671&end=556011;552671;556011;BO051;BOD2006;00:18:57;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2006.html;https://search.corpuskiparla.it/corpus/conversations/BOD2006_jefferson.html;26-30;M;BO;2;stud;sì;simmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;o a parigi avevi dei coinquilini con cui passavi del tempo? oppure // sí peró anche lí ho mantenuto lo stesso regime;direi;// sí? // sí grosso modo sí // lupo solitario // sí in casa sí in casa sí // bene // ehm vediamo // puoi parlarmi un po'' del dei;;;;;1;;;;;;;;;;;;;;;;;1;;0
BOD2006;#792952;doc#118;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=911700&end=917130;911700;917130;BO051;BOD2006;00:18:57;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2006.html;https://search.corpuskiparla.it/corpus/conversations/BOD2006_jefferson.html;26-30;M;BO;2;stud;sì;simmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;visitato grosso modo tutto il vietnam del sud // che però ci è piaciuto meno della cambogia sì // ah meno come mai? // mah;direi;forse anche la stanchezza dopo dopo tanto tempo in viaggio // ah // e anche perché diciamo che le persone in vietnam hanno;;;;;1;1;;;;;;;;;;;;;;;;1;;0
BOD2006;#793540;doc#118;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=1127270&end=1132260;1127270;1132260;BO049;BOD2006;00:18:57;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2006.html;https://search.corpuskiparla.it/corpus/conversations/BOD2006_jefferson.html;21-25;F;BO;2;stud;sì;simmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;m'' ha regalato i biglietti // bella bella // eh ma che bello // sì sì // bello // per me e per leisì // bene dai // sì // dai io;direi;siamo a posto così non ti disturbooltre // okay // ti ringrazio // buona giornata // buona giornata // okay // allora //;;;;;1;;;;;;;;;;;;;;;;;1;;0
TOC1002;#801762;doc#120;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1002&begin=1126870&end=1134501;1126870;1134501;TO006;TOC1002;00:20:06;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1002.html;https://search.corpuskiparla.it/corpus/conversations/TOC1002_jefferson.html;56-60;M;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;lo sanziona ma non può comandarlo // mh mh // ehm // dunque abbiamo detto tutto sul rapporto sugli amministratori;direi;di sì abbiamo chiarito la nomina la revoca una cosa ci resta da dire // un dato mnemonico se se lo ricorda lei mi ha detto che;;;;;1;;;;;;;;;;;;;;;;;1;;0
BOD2016;#802197;doc#121;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2016&begin=76368&end=81020;76368;81020;BO120;BOD2016;00:09:52;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2016.html;https://search.corpuskiparla.it/corpus/conversations/BOD2016_jefferson.html;26-30;M;BO;2;stud;sì;simmetrico;puglia;intervista semistrutturata;laurea in corso;la cucina è diciamo è cucina è poco vivibile // quindi cioè non ci sono gli spazi umani per vivercela assieme // quindi;direi;piuttosto che cioè non si vivono molto gli spazi comuni ma piuttosto // che una persona cucina e poi magari o mangia in in;1;;;;;;;;;;;;;;;;;;;;;;;0
BOD2016;#802334;doc#121;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2016&begin=121061&end=122817;121061;122817;BO120;BOD2016;00:09:52;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2016.html;https://search.corpuskiparla.it/corpus/conversations/BOD2016_jefferson.html;26-30;M;BO;2;stud;sì;simmetrico;puglia;intervista semistrutturata;laurea in corso;una convivenza non convivenza perché comunque ci si vede poco e quindi cioè // più convivenza che amicizia magari // sì;direi;di sì sì // ehm tu sei stato anche in erasmus comunque quindi hai fatto anche un'' altra esperienza con~ sempre con;;;;;1;;;;;;;;;;;;;;;;;1;;0
BOD2016;#803511;doc#121;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2016&begin=543541&end=544608;543541;544608;BO120;BOD2016;00:09:52;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2016.html;https://search.corpuskiparla.it/corpus/conversations/BOD2016_jefferson.html;26-30;M;BO;2;stud;sì;simmetrico;puglia;intervista semistrutturata;laurea in corso;tre stanze da letto più un una mansardina per gli ospiti // mh mh // salone cucina balconcino // grande // terrazzo;direi;// okay e è vicinissimo al mare // ed è sì cioè scendo una discesa e sono al mare praticamente // quindi d'' estate andate;;;;;1;;;;;;;;;;;;;;;;;1;;0
KPS001;#816979;doc#123;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS001&begin=2229933&end=2234788;2229933;2234788;PKP100;KPS001;01:28:55;libero;https://search.corpuskiparla.it/corpus/conversations/KPS001.html;https://search.corpuskiparla.it/corpus/conversations/KPS001_jefferson.html;21-25;F;CZ;4;stud;no;simmetrico;calabria;pasto;laurea in corso;tre? e le man~ eh li mando a fanculo // è chiaro // e che fai? // no // dico che non ma anche loro penseranno due notti però io;direi;trentuno e uno non trenta e trentuno // no no // a allora vuoi fare trenta e trentuno // eh trenta e trentuno // e uno x x x // e;1;;;;;;;;;;;;;;;;;;;;;;;0
KPS001;#818173;doc#123;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS001&begin=2491792&end=2495649;2491792;2495649;PKP103;KPS001;01:28:55;libero;https://search.corpuskiparla.it/corpus/conversations/KPS001.html;https://search.corpuskiparla.it/corpus/conversations/KPS001_jefferson.html;21-25;F;CZ;4;stud;no;simmetrico;calabria;pasto;laurea in corso;// mh eh mh // c''hanno c(ioè diciamo) // anche pure valentina fa la bambina // eh x x // io ti giu~ ogni tanto ogni tanto le;direi;ti prego stai zitta sei insopportabile no // vabbé valentina guard~ // ha una voce cioè sia? // ma perchè x x x // sia una;1;;;;;;;;;;;;;;;;;;;;;;;0
BOD1010;#836744;doc#124;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1010&begin=3092748&end=3096741;3092748;3096741;BO103;BOD1010;01:49:14;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1010.html;https://search.corpuskiparla.it/corpus/conversations/BOD1010_jefferson.html;51-55;M;BO;1;intell;no;asimmetrico;lazio;lezione;phd;qui anche in central park west // c'' e questa ehm // tensione // che permea tutti i pezzi di coltrane fra il cinquantasette;direi;già // e il sessanta questa tensione // eh tra staticità e movimento armonico // siccome non abbiamo parlato // mah;;;;;1;;;;;;;;;;;;;;;;;1;;0
BOD1010;#841434;doc#124;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1010&begin=5613975&end=5621186;5613975;5621186;BO103;BOD1010;01:49:14;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1010.html;https://search.corpuskiparla.it/corpus/conversations/BOD1010_jefferson.html;51-55;M;BO;1;intell;no;asimmetrico;lazio;lezione;phd;// è stato il più grande innovatore del pianoforte moderno inseme a cecil taylor // se dovessi fare due nomi;direi;cecil taylor anzi tre bill evans tutti negli stessi anni bill evans cecil taylor mccoy tyner // ci sono pianisti che;1;;;;;;;;;;;;;;;;;;;;;;;0
BOD1010;#841463;doc#124;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1010&begin=5625390&end=5626170;5625390;5626170;BO103;BOD1010;01:49:14;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1010.html;https://search.corpuskiparla.it/corpus/conversations/BOD1010_jefferson.html;51-55;M;BO;1;intell;no;asimmetrico;lazio;lezione;phd;evans tutti negli stessi anni bill evans cecil taylor mccoy tyner // ci sono pianisti che fanno cose nuove in giro? // non;direi;// si ce ne so~ ce n'' è qualcuno interessante tipo vijay iyer // ma alla fine // jarret korea hancock sono // franco d'';1;;;;;;;;;;;;;;;;;;;;;;;0
PBC016;#843336;doc#125;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC016&begin=1720&end=9130;1720;9130;BOR010;PBC016;00:48:51;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC016.html;https://search.corpuskiparla.it/corpus/conversations/PBC016_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;vene~ venerdì ventidue sì ventidue // perfettto // ah quindi dicevamo che comunque sì quindi lei non non a questo punto;direi;che salterò la parte su bologna // ehm appunto perché lei diceva che non è proprio bolognese di nascita diciamo // no //;1;;;;;;;;;;;;;;;;;;;;;;;0
