Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Introduzione di topic/passaggio a un nuovo topic/ripresa di un topic allora, quindi, dopo di che ecc.;Chiusura di un topic;Riformulazione;Digressione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Intensificazione;Polifunzionalità
KPN005;#22732;doc#4;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN005&begin=263446&end=264700;263446;264700;PKP018;KPN005;00:41:40;libero;https://search.corpuskiparla.it/corpus/conversations/KPN005.html;https://search.corpuskiparla.it/corpus/conversations/KPN005_jefferson.html;51-55;F;BO;4;tec;no;simmetrico;emilia-romagna;pasto;dip_tec_prof;così non ci scordiamo // è quello cortesie d~ per gli ospiti // sì // secondo me è sufficiente non è freddissimo stasera //;direi;che come fuoco // sì va bene va bene // mhmh // sì col fatto che la tavernetta è più bassa è tutto molto caldino giù eh // mhmh;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC010;#35277;doc#5;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC010&begin=1567780&end=1575940;1567780;1575940;BOI029;PBC010;00:45:06;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC010.html;https://search.corpuskiparla.it/corpus/conversations/PBC010_jefferson.html;61-65;F;BO;2;intell;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;parecchio fuori bologna però sì // scuole // ah okay okay // e mh ha notato differenze in questo caso // mah sul gio~;direi;sul discorso della memoria si è sempre lavorato in qualsiasi scuola io mh sono andata insomma nel senso che // x // mh // io;;;;;1;;;;;;;;;;;;1;;;;;;;0
PBB026;#48250;doc#6;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=2928900&end=2930501;2928900;2930501;BOR031;PBB026;01:01:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;21-25;M;BO;4;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;scoperte // sì esatto // eh // quindi sì immagina che loro fossero o paesi un po'' più nordici dei nostri // // mhmh // eh sì;direi;di sì // quindi un po'' così // i bar ormai ci son quasi tutti cinesi per cui te fai bene a studiare il cinese // è vero sì // sì no;;;;;1;1;;;1;;;;;;;;;;;;;1;;1
PBB026;#48740;doc#6;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=3071558&end=3075970;3071558;3075970;BOI093;PBB026;01:01:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;51-55;F;BO;4;tec;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_tec_prof;sì sì anche quello è un dolce sì sì sì // ah // quello è un dolce che è proprio tipico di ferrara // okay // mh // però cioè;direi;che i tortellini sono il top // // eh per cui niente da dire // vero buoni // ci sono differenze tra il cioè ci sono piatti che;1;;;;;;;;;;;;;;;;;;;;;;;0
PBB026;#50807;doc#6;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB026&begin=3671590&end=3674490;3671590;3674490;BOR031;PBB026;01:01:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB026.html;https://search.corpuskiparla.it/corpus/conversations/PBB026_jefferson.html;21-25;M;BO;4;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;alla fine un po'' il sapore cambia // lo senti // mhmh mh sì in base alla forma cambia sì // mh // ho capito // va bene okay io;direi;che abbiamo finito // eh // e t''è venuto appetito? // eh sì andiamo a mangiare va bene // // allora buonasera // buuonasera;1;;;;;;;;;;;;;;;;;;;;;;;0
TOC1003;#51602;doc#7;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=253025&end=266057;253025;266057;TO006;TOC1003;00:17:47;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1003.html;https://search.corpuskiparla.it/corpus/conversations/TOC1003_jefferson.html;56-60;M;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;quindi può essere messo a capo di una di una singola sede // di un ramo di un ramo deleh di un ramo d'' impresa // di un ramo //;direi;che abbiamo detto tutto l'' unica cosa che dovremmo aggiungere se se la ricorda è quello che alcuni si ricordano e alcuni;1;;;;;;;;;;;;;;;;;;;;;;;0
TOC1003;#53831;doc#7;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=1004512&end=1009261;1004512;1009261;TO006;TOC1003;00:17:47;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1003.html;https://search.corpuskiparla.it/corpus/conversations/TOC1003_jefferson.html;56-60;M;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;si tratta // esatto è gioco chi~ è parte chiamata in causa // sì // sì // comunque va bene i tipi li abbiamo individuati //;direi;che è sufficienteehmh direi che la sua è una buona preparazione mhmh // diciamo che semmai eh eh è il problema della sua;1;;;;;;;;;;;;;;;;;;;;;;;0
TOC1003;#53835;doc#7;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=1004512&end=1009261;1004512;1009261;TO006;TOC1003;00:17:47;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1003.html;https://search.corpuskiparla.it/corpus/conversations/TOC1003_jefferson.html;56-60;M;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;chi~ è parte chiamata in causa // sì // sì // comunque va bene i tipi li abbiamo individuati // direi che è sufficienteehmh;direi;che la sua è una buona preparazione mhmh // diciamo che semmai eh eh è il problema della sua esposizione che risulta un po'';1;;;;;;;;;;;;;;;;;;;;;;;0
TOC1003;#53863;doc#7;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=1010104&end=1021275;1010104;1021275;TO006;TOC1003;00:17:47;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1003.html;https://search.corpuskiparla.it/corpus/conversations/TOC1003_jefferson.html;56-60;M;TO;2;intell;sì;asimmetrico;piemonte;esame;phd;buona preparazione mhmh // diciamo che semmai eh eh è il problema della sua esposizione che risulta un po'' ehmh neh non;direi;confusa perché la confusione è un'' altra cosa // èmh è è èeh mh è un'' esposizione singolare cioè un modo mh un modo di;1;;;;;;;;;;;;;;;;;;;;;;;0
TOA3003;#62458;doc#9;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3003&begin=691671&end=692497;691671;692497;TO037;TOA3003;00:26:41;libero;https://search.corpuskiparla.it/corpus/conversations/TOA3003.html;https://search.corpuskiparla.it/corpus/conversations/TOA3003_jefferson.html;21-25;F;TO;3;stud;no;simmetrico;piemonte;conversazione libera;laurea in corso;vivere // costruzione collegiale del progetto // eh in più // tu vuoi mettere un disabile? o no? // nella copertina? // io;direi;di no // no // ma non avete un simbolo voi? // no // abbiamo ancora il e l'' omino // no ma è bello xxx // mi immagino xx // l'' omino;1;;;;;;;;;;;;;;;;;;;;;;;0
PTB020;#65308;doc#10;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB020&begin=19811&end=20897;19811;20897;TOR009;PTB020;00:55:11;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB020.html;https://search.corpuskiparla.it/corpus/conversations/PTB020_jefferson.html;21-25;F;TO;4;stud;sì;asimmetrico;sicilia;intervista semistrutturata;laurea in corso;settentuno // ha sempre vissuto a torino? é di torino lei? // sì sono di torino sono nato in corso spezia venti quindi //;direi;é proprio di qui // é una maternità // é di torino anche i suoi genitori sono di torino? // sì i miei genitori sì // ho capito e;;;;;1;;;;;;;;;;;;;;;;;;1;0
PTB020;#72154;doc#10;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB020&begin=2772700&end=2780598;2772700;2780598;TOI069;PTB020;00:55:11;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB020.html;https://search.corpuskiparla.it/corpus/conversations/PTB020_jefferson.html;66-70;F;TO;4;pens;sì;asimmetrico;sicilia;intervista semistrutturata;elem;mh // in generale di torino mh co~ come l''ha vissuta? le piace le é piaciuta subito // si é ambientata facilmente // sì;direi;di sì che mh mi sono ambientata facilmente all''inizio megari c''é stato un periodo che abbiamo pensato con mio marito di;;;;;1;1;;;;;;;;;;;;;;;;1;;0
PTB020;#72643;doc#10;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB020&begin=2953307&end=2957417;2953307;2957417;TOI069;PTB020;00:55:11;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB020.html;https://search.corpuskiparla.it/corpus/conversations/PTB020_jefferson.html;66-70;F;TO;4;pens;sì;asimmetrico;sicilia;intervista semistrutturata;elem;é naturale // sì // c''erano dei pezzi anche mh eh dei prati nella zona ehm // non ci sono più // non ci sono più da tanto // ed é e;direi;che é diventata sempre anche più bella come zona // nonna guarda guarda nonna // mh // dove u~ un tempo // nonna guarda;1;;;;;;;;;;;;;;;;;;;;;;;0
PTB020;#73558;doc#10;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB020&begin=3300598&end=3303417;3300598;3303417;TOR009;PTB020;00:55:11;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB020.html;https://search.corpuskiparla.it/corpus/conversations/PTB020_jefferson.html;21-25;F;TO;4;stud;sì;asimmetrico;sicilia;intervista semistrutturata;laurea in corso;tra astigiano e il torinese? // sì c''é sempre sì sì qualcosa di diverso c''é sì sì // mh // ho capito // eh // ehm va bene io;direi;che // che va bene così // la ringrazio // s''immagini // é stata molto gentile signora // s''immagini eh non c''é di che // è;1;;;;;;;;;;;;;;;;;;;;;;;0
PTD021;#91062;doc#13;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=51796&end=56121;51796;56121;TOI013;PTD021;01:31:29;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;21-25;M;TO;5;oper;sì;asimmetrico;puglia;intervista semistrutturata;dip_tec_prof;parole // è unameh è una figura professionale che // si occupa di creare la linea dalle centrale telecom // o fastweb;direi;qualsiasi altro operatore fino alla cantina // okay // okay // dei civici // okay // di abitazioni // io guido i pullman;;;;;1;;;;;;;;;;;;1;;;;;;;0
PTD021;#91284;doc#13;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=119930&end=121305;119930;121305;TOR001;PTD021;01:31:29;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;26-30;F;TO;5;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;andare a prendere l''altro pullman // quindi ancora un paio d''ore // poi torni a casa mangi fai una doccia e vai a dormire //;direi;morto // e son finite le ore sono morto e quindi // okay // ma come funziona scusa? cioè mh guidi sempre lo stesso mezzo // no;;;;;1;;;;;;;;;;;;1;;;;;;;0
PTD021;#107326;doc#13;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD021&begin=4698536&end=4703520;4698536;4703520;TOR001;PTD021;01:31:29;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD021.html;https://search.corpuskiparla.it/corpus/conversations/PTD021_jefferson.html;26-30;F;TO;5;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;// se dovessi scegliere allo stadio // se potessi scegliere allo stadio // okay d''accordo // ehmeh okay di calcio;direi;basta altri sport avete detto? // meh no // no // poi andavo ne ho praticati tanti quindi li seguo volentieri // skate //;;;;;1;;;;;;;;;;;;;;;;;;1;0
PBC014;#115686;doc#15;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC014&begin=464510&end=473850;464510;473850;BOR010;PBC014;00:45:35;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC014.html;https://search.corpuskiparla.it/corpus/conversations/PBC014_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;no? // e credo che una cosa diciamo imp~ molto caratteristica di bologna siano siano i portici no? perché proprio;direi;che sia la prima osa che si nota // eh quando si e quando si equando si arriva qui no? ehm // eallora volevo volevo capire un;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC014;#121580;doc#15;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC014&begin=2702630&end=2707510;2702630;2707510;BOR010;PBC014;00:45:35;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC014.html;https://search.corpuskiparla.it/corpus/conversations/PBC014_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;certe strutture della città quindi diciamo // signorina mi scusi ma ma // ah // ha ancora molto? da // ah e allora io;direi;che più o meno ho fatto più o meno comunque ho fatto più o meno ( molte domande // sì sì no perché sa io dovrei andar via // ah ok;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC014;#121613;doc#15;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC014&begin=2709090&end=2711450;2709090;2711450;BOR010;PBC014;00:45:35;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC014.html;https://search.corpuskiparla.it/corpus/conversations/PBC014_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;o meno ho fatto più o meno comunque ho fatto più o meno ( molte domande // sì sì no perché sa io dovrei andar via // ah ok allora;direi;che se deve // cioè se deve andare dire che possiamo // no eh di fatti non ero nemmeno stabilito che dovessi star qua però;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC014;#121649;doc#15;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC014&begin=2716640&end=2721526;2716640;2721526;BOR010;PBC014;00:45:35;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC014.html;https://search.corpuskiparla.it/corpus/conversations/PBC014_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;possiamo // no eh di fatti non ero nemmeno stabilito che dovessi star qua però xxxxxxxxx // ah eh non non non lo sapevo ma;direi;che più o meno allora cioè co~ // credo di aver fatto la maggior parte delle domande // delle domande che volevo farle // va;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC014;#121683;doc#15;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC014&begin=2727960&end=2730960;2727960;2730960;BOR010;PBC014;00:45:35;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC014.html;https://search.corpuskiparla.it/corpus/conversations/PBC014_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;di aver fatto la maggior parte delle domande // delle domande che volevo farle // va bene allora posso andare? // ah beh ah;direi;di x giusto se vuole firmare solo // cioè noi e spengo e noi // quindi // mhmh // n~ niente // mi faceva gli scherzi queste;;;;;1;;;;;;;;;;;;;;;;;1;;0
TOD2002;#124303;doc#16;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2002&begin=744481&end=748095;744481;748095;TO081;TOD2002;00:16:33;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD2002.html;https://search.corpuskiparla.it/corpus/conversations/TOD2002_jefferson.html;21-25;F;TO;2;stud;sì;simmetrico;piemonte;intervista semistrutturata;laurea in corso;che puoi aver visto // ma non lo so // beh dipende anche cosa dovrei fare // se dovessi venire sempre all'' università;direi;non troppo lontano dall'' università // perché la cosa positiva di vivere qui sarebbe eliminare // le due ore di tragitto;;;;;1;;;;;;;;;;;;;;;;;1;;0
PBC018;#139051;doc#18;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC018&begin=1569687&end=1570807;1569687;1570807;BOR010;PBC018;00:37:48;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC018.html;https://search.corpuskiparla.it/corpus/conversations/PBC018_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;che gli interessi ce ne siano meno // e allora // beh beh e se~ // e allora // x x // suonano il piave // che è ancora peggio;direi;// ah qua ve~ credo di averlo stampato senza volere due due volte però se vuole // in che zona di bologna vive eh eh // vivevo;;;;;1;;;;;;;;;;;;;;;;;;1;0
PTA013;#159617;doc#22;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA013&begin=202072&end=204430;202072;204430;TOI015;PTA013;00:44:45;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA013.html;https://search.corpuskiparla.it/corpus/conversations/PTA013_jefferson.html;26-30;M;TO;4;oper;sì;asimmetrico;piemonte;intervista semistrutturata;dip_tec_prof;// dove sarebbe meglio lavorare secondo te? // cioè in alternativa a torino? // // un''alternativa a torino // ehm // ti;direi;o in francia o // o in spagna // okay // ma per motivi economici o perché ti ispirerebbe come paese? // no perché mi;1;;;;;;;;;;;;;;;;;;;;;;;0
PTB018;#169298;doc#23;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB018&begin=43229&end=45308;43229;45308;TOI056;PTB018;00:54:46;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB018.html;https://search.corpuskiparla.it/corpus/conversations/PTB018_jefferson.html;over 85;F;TO;2;pens;sì;asimmetrico;piemonte;intervista semistrutturata;dip_tec_prof;di italiani // okay // c''è il gatto qua // // si può distinguere // tra torinese e piemontese quale le piace di più? // io;direi;torinese // se sì se è sempre stata qui direi anch''io torinese // ne ho studiate diverse ma non ne parlo nessuna // ah okay;1;;;;;;;;;;;;;;;;;;;;;;;0
PTB018;#169308;doc#23;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB018&begin=44762&end=47751;44762;47751;TOR001;PTB018;00:54:46;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB018.html;https://search.corpuskiparla.it/corpus/conversations/PTB018_jefferson.html;26-30;F;TO;2;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;// si può distinguere // tra torinese e piemontese quale le piace di più? // io direi torinese // se sì se è sempre stata qui;direi;anch''io torinese // ne ho studiate diverse ma non ne parlo nessuna // ah okay // xx // perfetto // c''è tutto // okay //;1;;;;;;;;;;;;;;;;;;;;;;;0
KPN020;#218355;doc#29;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN020&begin=951570&end=953310;951570;953310;PKP030;KPN020;00:30:17;libero;https://search.corpuskiparla.it/corpus/conversations/KPN020.html;https://search.corpuskiparla.it/corpus/conversations/KPN020_jefferson.html;21-25;M;VE;3;stud;no;simmetrico;veneto;pasto;laurea in corso;a casa mia? sì sì sì ho capito qual è // sì è quello de // xxxx xxx // è quello? // eh // non so perchè avev~ un ricordo un po'' vago;direi;// non mi ricordo il nome // #si ma mi ricordo ghe zera anca i chi c''erano? aspetta i // tutti // tutti di tuo fratello tutti;;;;;1;;;;;;;;;;;;;;;;;;1;0
TOD1005bis;#224155;doc#30;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1005bis&begin=1090141&end=1094222;1090141;1094222;TO017;TOD1005bis;00:50:44;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD1005bis.html;https://search.corpuskiparla.it/corpus/conversations/TOD1005bis_jefferson.html;31-35;M;TO;1;intell;no;asimmetrico;piemonte;lezione;phd;abbiamo? // come documenti della lingua araba del passato // xxx // la~ la~ la poesia okay la poesia // e l'' altro // testo;direi;piuttosto importante del passato della lingua araba // corano okay abbiamo la poesia // corano testo coranico // tu;;;;;1;;;;;;;;;;;;;;;;;;1;0
KPN016;#233725;doc#32;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN016&begin=21193&end=26632;21193;26632;PKP057;KPN016;00:30:01;libero;https://search.corpuskiparla.it/corpus/conversations/KPN016.html;https://search.corpuskiparla.it/corpus/conversations/KPN016_jefferson.html;21-25;F;RE;2;stud;no;simmetrico;emilia-romagna;pasto;laurea in corso;no // no perchè io i documenti che a loro servivano glieli ho inviati per mail // e il codice ce l''ho nel portafoglio quindi;direi;che mh // allora andiamo là direttamente conviene // ma direi di sì // direi di sì mami // cucciolo sono rilassata // sì? //;1;;;;;;;;;;;;;;;;;;;;;;;0
KPN016;#233736;doc#32;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN016&begin=29198&end=30300;29198;30300;PKP057;KPN016;00:30:01;libero;https://search.corpuskiparla.it/corpus/conversations/KPN016.html;https://search.corpuskiparla.it/corpus/conversations/KPN016_jefferson.html;21-25;F;RE;2;stud;no;simmetrico;emilia-romagna;pasto;laurea in corso;per mail // e il codice ce l''ho nel portafoglio quindi direi che mh // allora andiamo là direttamente conviene // ma;direi;di sì // direi di sì mami // cucciolo sono rilassata // sì? // anch''io adesso // sono rilassata xxx // ero un po'' in pensiero;;;;;1;1;;;;;;;;;;;;;;;;1;;0
KPN016;#233740;doc#32;2020;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN016&begin=35785&end=36989;35785;36989;PKP057;KPN016;00:30:01;libero;https://search.corpuskiparla.it/corpus/conversations/KPN016.html;https://search.corpuskiparla.it/corpus/conversations/KPN016_jefferson.html;21-25;F;RE;2;stud;no;simmetrico;emilia-romagna;pasto;laurea in corso;// e il codice ce l''ho nel portafoglio quindi direi che mh // allora andiamo là direttamente conviene // ma direi di sì //;direi;di sì mami // cucciolo sono rilassata // sì? // anch''io adesso // sono rilassata xxx // ero un po'' in pensiero // eh;;;;;1;;;;;;;;;;;;;;;;;1;;0
PBC019;#268743;doc#38;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=2022480&end=2025227;2022480;2025227;BOR010;PBC019;00:34:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC019.html;https://search.corpuskiparla.it/corpus/conversations/PBC019_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;dai anche solo per sentito dire qualcosa di solito // capita magari che // poi // sì diciamo il fatto che quanto era brutta;direi;che // non ci sia bisogno di di chiederlo quello quindi // ah direi che più o meno // ah sì okay direi che come numero come;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC019;#268757;doc#38;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=2030387&end=2031893;2030387;2031893;BOR010;PBC019;00:34:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC019.html;https://search.corpuskiparla.it/corpus/conversations/PBC019_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;che // poi // sì diciamo il fatto che quanto era brutta direi che // non ci sia bisogno di di chiederlo quello quindi // ah;direi;che più o meno // ah sì okay direi che come numero come domande avremmo // abbiamo fatto più o meno quello che // sì sì //;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC019;#268766;doc#38;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=2032773&end=2036505;2032773;2036505;BOR010;PBC019;00:34:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC019.html;https://search.corpuskiparla.it/corpus/conversations/PBC019_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;che quanto era brutta direi che // non ci sia bisogno di di chiederlo quello quindi // ah direi che più o meno // ah sì okay;direi;che come numero come domande avremmo // abbiamo fatto più o meno quello che // sì sì // volevo così era un po'' per parlare;1;;;;;;;;;;;;;;;;;;;;;;;0
PBC019;#268838;doc#38;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=2057527&end=2060821;2057527;2060821;BOR010;PBC019;00:34:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC019.html;https://search.corpuskiparla.it/corpus/conversations/PBC019_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;// quanto sei riuscito a fare? // eh // abbiamo parlato per eh trentaquattro minuti // quindi per più di mezz''ora anzi;direi;che qua // okay sì mi dica // quindi eham ho pensato di fare la ricerca in paragoni delle forme di cortesia e i suoi usi tra;1;;;;;;;;;;;;;;;;;;;;;;;0
PBB018;#278591;doc#40;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=3170640&end=3173380;3170640;3173380;BOR013;PBB018;00:52:59;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;21-25;F;BO;2;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;// mh // quindi questo è // il discorso s~ se se vogliamo fare un attimo una // un confronto // okay va bene benissimo così;direi;che possiamo // fermarci grazie mille // davvero? // sì // va bene // bene // arrivederci e grazie // // posso? // prego // è;1;;;;;;;;;;;;;;;;;;;;;;;0
PBB014;#293562;doc#43;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB014&begin=1907876&end=1908341;1907876;1908341;BOR005;PBB014;00:31:54;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB014.html;https://search.corpuskiparla.it/corpus/conversations/PBB014_jefferson.html;21-25;M;BO;2;stud;sì;asimmetrico;marche;intervista semistrutturata;laurea in corso;o~ // per noi è talmente scontato che si sanno che poi invece no // è una cosa di qua proprio eh mh // va bene adesso allora //;direi;che // siamo alla fine ti ringrazio // e // figurati // ti lascio andare a lavoto // torno a castel san pietro // ehm ciao //;1;;;;;;;;;;;;;;;;;;;;;;;0
BOD2010;#296085;doc#44;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2010&begin=833949&end=837594;833949;837594;BO074;BOD2010;00:24:57;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2010.html;https://search.corpuskiparla.it/corpus/conversations/BOD2010_jefferson.html;21-25;M;BO;2;stud;sì;simmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;// e questo in parte l'' avevo un po'' sentito a livello fisico perché comunque molto faticoso // però comunque una persona;direi;in salute // soprattutto un ragazzo giovane anche senza allenamento // giovane // lo riesce a fare direi abbastanza;;;;;1;;;;;;;;;;;;;;;;;1;;0
BOD2010;#296103;doc#44;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2010&begin=842822&end=845974;842822;845974;BO074;BOD2010;00:24:57;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD2010.html;https://search.corpuskiparla.it/corpus/conversations/BOD2010_jefferson.html;21-25;M;BO;2;stud;sì;simmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;una persona direi in salute // soprattutto un ragazzo giovane anche senza allenamento // giovane // lo riesce a fare;direi;abbastanza tranquillamente // poi ovvio magari cioè difficoltà // eh di tipo fisico ma anche psicologico perché;;;;;1;;;;;;;;;;;;;;;;;1;;0
