corpus	conv_id	token_id	token_span	audio	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	BOA3003	781-3	781-3	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1352197&end=1359010	yes	_	Prolettico	_	cosa // anch'' hio // ha ha ha ha // magari // tipo beatrice c'' è un microfono davanti a te // mh a voglia // // a te // ehm piè	praticamente	pren~ allora a me mi fa schifo l'' insalata in busta non la posso mangiare cioè proprio mi s~ fa ven'' da vomitare // mhmh //
KIP	BOA3003	859-0	859-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1470237&end=1475356	yes	_	Prolettico	_	è uguèl // l'' è uguèl l'' è uguèl // l'' è uguèl // ué l''é tant i stéss // molto buone ste robe beatrice // eh lo dirò a mia madre //	praticamente	noi passiamo il nostro tempo a parlare di cibo sfotterci per come diciamo le cose // sì // e parliamo di nuovo di cibo? // eh
KIP	BOA3003	876-5	876-5	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=1499150&end=1506627	yes	_	Prolettico	_	no per sopprimere la fame bisogna bere un sacco d'' acqua quindi ora // io og~ sì grazie // la butto via? // son dell'' idea che	praticamente	sicuramente tra un po'' io andrò giù di sotto a prendermi le qualcosa col cioccolato // fanculo te e l'' acqua // eh gerry
KIP	BOA3003	1606-0	1606-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3565366&end=3579649	yes	_	Prolettico	_	cognitivo // okayay // atto a okay ah okay okay okay okay questa ci sono xx atto a ehmh no devo imparare a dirla sta roba //	praticamente	essendo la realtà molto complessa ehmh l'' uomo naturalmente è portato amh a rielaborare le informazioni
KIP	BOA3003	1649-6	1649-6	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3765317&end=3771628	yes	_	Prolettico	_	anch'' io a lavorare lì? // ho fatto una figura di merda mara // perché? // ricordati sempre che siamo // c'' era xxx che	praticamente	stava mentre scendeva le scale m'' ha fatto proprio xxxx a me // topeh // dopo gli ho detto tipo grazie e lui prego // è che
ParlaTO	TOD2011	91-9	91-9	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2011&begin=679466&end=684351	yes	_	_	Specificazione	e quasi mh tutto il giorno // emh // e // mentre la tua facoltà non è a torino giusto? // la mia facoltà è a torino però eh è	praticamente	mh fuori torino // perchéè mhpraticamente è nella zona di mirafiori // okay // emh sì e la facoltà purtroppo è molto
ParlaTO	TOD2011	115-16	115-16	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2011&begin=842080&end=857625	yes	_	Riformulazione	Specificazione	anche a torino quando ehc'' erano alcuni spettacoli // ehmh // però ehmh eh quest'' anno ho ehm eh ho scoperto deleh cus che	praticamente	è una mh un'' associazione sportiva che comprende diversi tipi di sporteh tra cui anche la danza // okay // mhmh // e ci sono
KIP	BOD1003	180-0	180-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=779160&end=781653	yes	_	Prolettico|Esemplificazione	_	punto della singola sfera // io lo devo considerare come // un affare di questo tipo solo che di punti ne ha infiniti //	praticamente	è come se fosse una scatola // in cui ho un punto di partenza zero // e un punto di fine chiamiamolo effe // mi basta che cosa
KIP	BOD1003	594-8	594-8	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=2850486&end=2855853	yes	_	Riformulazione	Specificazione	// quattro sette sette due? // quattro sette sette due moltiplicato due // quindi diventa nove cinque e qualcosa cioè	praticamente	quello che succede è che // tra quel valore meno i due sigma e quel la media più quel i due sigma // automaticamente vi viene
KIP	BOD2010	120-4	120-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2010&begin=319879&end=324015	yes	_	Prolettico	_	spazio molto personale // okay // anche perché di fatto // né i miei né mia sorella sorella ci vann~ cioè // non non ci vanno	praticamente	mai l'' ho sempre usata principalmente io // ehm ti trovi lì coi tuoi amici mi hai detto // sì // cosa cosa fate quando siete
KIP	BOD2010	256-15	256-15	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2010&begin=648620&end=653512	yes	_	Prolettico	Attenuazione	di tempo allora abbiamo detto // vabbè facciamocela in treno e ci siamo attraversati l'' italia e la francia in treno	praticamente	// è stato un bel viaggio? // sì // piacevole? // poi è stato // poi quello è stato l'' inizio del vero viaggio poi dopo // eh //
KIP	BOD2019	184-0	184-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=423045&end=424643	yes	_	_	Specificazione|Intensificazione	la staziona è vicina il centro è vicina è vicino ce stanno // concerti in ogni dove vicini anche parecchio perché //	praticamente	casa mia è circondata da tre l~ // tre locali che fanno musica dal vivo // anzi quattro perché c'' è pure~ c'' è il locomotiv il
KIP	BOD2019	755-4	755-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2019&begin=1853022&end=1855839	yes	_	_	Specificazione	posto // certo // quindi non so se se bologna è adatta // a // a me perché poi io so mh una persona // che sente veramente caldo	praticamente	tutto l'' anno // e passa'' l'' estate a bologna è ''na cosa che me terrorizza cioè se so // no ce credo // se penso de doverlo fare
ParlaBO	PBB029	57-14	57-14	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB029&begin=181732&end=187577	yes	_	Prolettico	_	a parte che // ma le uscite serali? // le uscite serali io tra virgolette per tutto il periodo m medie superiori avevo	praticamente	// principalmente uscivo con il mio gruppetto di amici del paesino // mh mh // quindi eravamo lì // quindi ci
ParlaBO	PBB029	236-4	236-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB029&begin=654276&end=657996	yes	_	Prolettico	Marcatura dell'inferenza	qua della @nomesocietà a bolo~ nel campo estivo // che eh che facciamo alla @nomesocietà // avendolo preso in mano	praticamente	faccio fatica a spostarmi essendo il cordinatore // devo essere quasi sempre presente // mhmh // quindi // tutta
ParlaBO	PBB029	310-4	310-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB029&begin=855541&end=857933	yes	_	Prolettico	_	più forti al mondo anche perché // ah funzio~ sì vabbè // hanno hanno il predominio // mhmh // nel mondo della ginnastica	praticamente	e quindi // vabbè ultimamente c''è quella brasiliana no? anche // sì rebecca andrade // cosa ne pensi? // che è un exploit
ParlaBO	PBB029	494-10	494-10	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB029&begin=1242408&end=1247121	yes	_	Prolettico	Intensificazione	// stat~a torino qualche città ma non a viverci proprio e // mhmh // poi vabbé però bologna è proprio bella tutta poi aveva	praticamente	tutto // cioè // okay quello che dicono tutti gli manca il mare però cioè // vabbé // chi se ne frega cioè // bastanza vicini
ParlaBO	PBB029	591-0	591-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB029&begin=1458356&end=1459321	yes	_	Prolettico|Filler	_	incontri sempre le stesse persone gli stessi cioè anche vedo // allenando appunto bambini di medie superiori // mhmh //	praticamente	// alle medie e quando passano alle superiori metà classe è praticamente la stessa perché hanno scelto tutti la stessa
KIPasti	KPN029	165-2	165-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=267266&end=268662	yes	_	Filler	_	ti ricordi alessio? quell''amico di andre fighissimo? // quello che vedemmo // sì okay me lo ricordo okay // quello là	praticamente	// ci siamo incontrati con andre // eh in giro così che c''era marco pure // sì // eh e abbiamo detto vabbè che cosa vogliamo
KIPasti	KPN029	594-1	594-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=850390&end=852043	yes	_	Prolettico|Filler	_	// ho visto tipo la foto il be real però // dove // perché diceva in giornata // eh mh a quanto ho capito // vediamo se ha // mh	praticamente	// avevano organizzato una cosa proprio con l''università // c''aveva invitato pure a noi // e lei è andata con i suoi amici
KIPasti	KPN029	601-2	601-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=864680&end=866288	yes	_	Prolettico	_	// sono andati là a fare questa giornata di sci // ma è tipo sci~ ah okay a sciare // tip~ tu pagavi cinquanta euro // e stavi	praticamente	una giornata // cinquanta euro compreso // è poco per andare a sciare è poco // il viaggio // eh // il ehm le c~
KIPasti	KPN029	806-1	806-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=1149790&end=1151164	yes	_	Prolettico|Filler	_	super tranquilla // l''altra era un po'' tutta // ua ua ua cioé dai io sono brava // piena // io sono su per così // oddio // eh	praticamente	// successe che una sera // eh andammo c~ in questo locale // a prendere un po'' di birra sai a monaco vai // beh certo ci
KIPasti	KPN029	1135-1	1135-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN029&begin=1576450&end=1577860	yes	_	Prolettico	_	na roba allucina~ // tremendo // e noi eravamo proprio sotto // cioè noi eravamo xx nel // nel seminterrato // // perché	praticamente	tu entravi // e c''erano // due aule // in basso // tipo nello scantinato non lo so // mh // capito tipo a discesa //
KIPasti	KPN015	252-2	252-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN015&begin=682525&end=692320	yes	_	Prolettico	_	nessuno secondo me // eh beh // ehm a proposito della zecca eh domani fanno un pranzo a tema // quelli della zecca? // sì	praticamente	si sono messi d''accordo con lo shabu che è un mh è un ristorante orientale di carpi // mo veh // mh // mh // un orientale però
KIPasti	KPN015	266-3	266-3	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN015&begin=717860&end=721267	yes	_	Prolettico	_	più buoni in zona in assoluto // ah sì? // sì // beh ci andiamo domani prenotiamo // quanto ci vuole? // eh aspetta e	praticamente	si son messi d''accordo allora // quelli dello shabu gli danno tot piatti che sono tipo // cinque o sei tra cui scegliere
KIP	BOA3002	112-13	112-13	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3002&begin=230335&end=235613	yes	_	Prolettico	_	// i giovani di oggi sono violenti // violenti // una ragazza pure // no io l'' unica cosa mi sono levata è stato nel lì perché	praticamente	l'' abbiamo preso insieme in e dentro c'' è la data // altro che il femminismo // ah carino // e e // ogni volta che lui capisce
KIP	BOA3002	340-3	340-3	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3002&begin=577171&end=578570	yes	_	Filler	_	da sol~ // ''sta marianna qua // faccio anche da poco purtroppo faccio cazzate quindi a questo punto // ''sta marianna qua	praticamente	// marianna // ha // ecco esatto // che bella marianna // // non si sente tanto // non so cantare // vabbè // comunque // let
KIP	BOA3002	416-4	416-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3002&begin=715705&end=718725	yes	_	Prolettico	_	questo ultimo tentativo // mh // i miei due mood // il cane che morde // c'' est moi // comunque dicevamo // e niente e quindi	praticamente	loro hanno hanno parlato // e e giovanni gli ha detto tutto perché giovanni la odia cioè perché dice che lei si comporta un
KIP	BOA3017	233-1	233-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=375717&end=377697	yes	_	Prolettico	_	la cosa come si chiama? // sedia // la sedia // // // la sedia gi~ mh girevole quindi // eh no eh sì quella da studio // // e	praticamente	ha fatto // così gli ho detto x gli ho detto eh vincenzo diventerà papà // lei // // // io tipo // io // cioè // ma // // // eh ieri
KIP	BOA1004	6-4	6-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1004&begin=12156&end=15674	yes	_	Prolettico	_	mail e poi si era interrotta un po'' la comunicazione // per due saggi // x xx chi è lei? // rossi chiara // per dei saggi e	praticamente	io ho dato l'' esame di // rossi // mh mh // chiara // perfetto // e // ho dato l'' esame di didattica elle due in triennale // lei
KIP	BOA1004	17-1	17-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1004&begin=32730&end=39256	yes	Presa di turno	Prolettico	_	elle due in triennale // lei me l'' ha già fatto // mh mh // e praticamente // e quindi deve sostituire la prima parte // s~	praticamente	lei mi aveva detto che siccome il l'' esame con il programma di quest'' anno solamente due saggi si si ripetono // per il
ParlaBO	PBB022	340-1	340-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=939940&end=946113	yes	_	Prolettico	_	come si fa // esatto credo credo sia una delle poche cose di cui non ho ben presente ormai come si fa perchè // che // eh	praticamente	tu fai addensare eh il il riso con cotto nel latte se non se non mi ricordo male // ah // eh il latte aromatizzato con poi in
ParlaBO	PBB022	1169-2	1169-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=3281050&end=3284600	yes	_	Prolettico	_	cos''è lo spillo? // no // è // bisogna insegnargli tutto a questa gente io non lo so // ma no ma da noi carnevale // non esiste	praticamente	è un peccato esisteva quando ero piccola // no? // io ho sempre fatto i carri passavano sempre poi // secondo me anche per
KIP	BOA3015	244-5	244-5	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3015&begin=969794&end=973890	yes	_	Prolettico|Filler	_	e si mollano una volta a settimana // sì que~ quello è sem~ sì ê così da quando si sono conosciuti // sì nnon cambia niente	praticamente	sempre la stessa situazione // ma lui è a rimini? // e simone invece hai saputo di simone? // sì sì è stato allora l'' ho visto
ParlaBO	PBB009	61-2	61-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB009&begin=115667&end=120287	yes	_	Prolettico	_	// da ottobre? eh antonio? // s~ credo // credo di sì // sì // da ottobre abbiamo iniziato presso la cgil // mhmh // e quindi	praticamente	organizza la cgil e noi // siamo tutti del @nomeassociazione veniamo a fare // a insegnare ai agli immigrati // okay // e
ParlaBO	PBB009	548-18	548-18	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB009&begin=1324436&end=1334196	yes	_	Prolettico	_	cancro infantile // mhmh // e e la fondazione è quella di @nomefondazione l''ac~ l''accademia del cinema che l''accademia	praticamente	di @nomeazienda di @nomeazienda di @nomeazienda // sì // ehm la fondazione si chiama appunto @nomefondazione e // io
ParlaBO	PBB009	609-0	609-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB009&begin=1501064&end=1507241	yes	_	Prolettico|Filler	_	maniera casuale // sì // e // perchè io ho studiato a napoli // mhmh // ho vissuto a napoli anche dopo aver studiato lì // e //	praticamente	nel duemila quindici eh faccio questo excursus poi dimmi tu se ha senso no? // sì sì sì sì no no va bene // eh // nel duemila e
ParlaBO	PBB009	861-8	861-8	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB009&begin=2103330&end=2107725	yes	_	Prolettico|Esemplificazione	_	// sì // se invece te lo fai tutto dritto dall''altro lato arrivi // alla certosa // eh sì no a parte la certosa ma	praticamente	la ciclabile che arriva in centro // mhmh // eh sì // quindi no sotto questo punto di vista non è è innegabile che sia forse
ParlaBO	PBB009	1605-7	1605-7	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB009&begin=3760652&end=3764541	yes	_	Filler	_	che arrivano a san lu~ quindi il mio aneddoto è abbastanza // sì // per i portici? // passando per i portici che vanno da	praticamente	// la fine di via saragozza verso san luca // ah sì // sì sì // e // vabbè // il mio aneddoto è monotono // nel senso che andavo e
ParlaTO	PTA016	732-1	732-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=1368100&end=1370350	yes	_	Prolettico	_	andare i nostri amici robe varie // e alla fine ci hanno portato in una via di torinoin un posto sperdutissimo // e	praticamente	ci hanno portato in un bar // anzi li hanno portati in un bar perché io non ero andato con loro // perché avevo // sapendo
ParlaTO	PTA016	856-20	856-20	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=1592380&end=1596090	yes	_	Chiusura del topic	Approssimazione	ileh in quel momento lì // e la cosa che m''ha dato fastidio di questi ragazzi che son due ragazzi tral''altro della mia età	praticamente	// mhmh // boh se la tirano un pochettino // e io avevo detto ragazzi io sono il tecnico gli avevo detto se c''è qualche
ParlaTO	PTA016	1204-16	1204-16	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=2200940&end=2205340	yes	_	Prolettico	_	// ah okay quindi non è razzismo ma è // quindi // x // esa~ // no c''è gen~ no c''è gente che è convinta di questa cosa perché xx	praticamente	è razzismo // tipo // sì // perché è razzismo ma c''è gente che è convinta di che non è razzismo cioè io lo faccio // a favore
ParlaTO	PTA016	1300-3	1300-3	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA016&begin=2337940&end=2339680	yes	_	_	Specificazione	la guardo veramente poco // mhmh // perché in settimana la guardo // uscendo di casa sette e mezza // entrando a casa	praticamente	alle nove // mhmh // guardo giusto i film // ah okay // ehm // unicamente film // quindi guardi i film // tra sky netflixeh
ParlaBO	PBC001	479-3	479-3	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC001&begin=1667119&end=1670037	yes	_	Prolettico|Marca di generalizzazione	_	vi~ // mh probabilmente in eg~ in egual misura ecco però per quanto mi riguarda per me boh per me il basket io // io sono nato	praticamente	in via san felice quindi // xxx // è inutile dire a quale parrocchia appartengo // quello per me è uno de de de de dei ricordi
ParlaBO	PBC001	646-17	646-17	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC001&begin=2191220&end=2197530	yes	_	Riformulazione	_	// facendo campionati // di serie inferiore // e e e e già il primo anno faceva tremila abbonamenti poi subito dopo ne fac~	praticamente	era tutto in // in abbonamento voglio dire // problemi non non non // cioè qua c''è una un''amore tale per il basket che forse
KIP	TOD1016	1315-18	1315-18	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=4882860&end=4888874	yes	_	Filler	_	però ricordatevi // che // in queste in questa frase qui non si pasce di cibo mortale chi si pasce di cibo celeste	praticamente	// mozart // usa tutti i dodici suoni a disposizione il cosiddetto totale cromatico no? // e quindi questo vuol dire che
ParlaTO	TOD2002	47-4	47-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2002&begin=98898&end=102510	yes	_	_	Approssimazione	terrore dei cani // do di matto mi paralizzo // addirittura? // sì // // è proprio irrazionale // ma come mai? // e non si sa	praticamente	nessuno se lo ricorda a casa mia // perché cioè vivendo in campagna senza un recinto insomma probabilmente è arrivato un
ParlaTO	TOD2002	108-1	108-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2002&begin=242580&end=245338	yes	_	Prolettico	_	facilissimo // e niente è molto grande ci sono tantissime stanze // ci sono il piano terra primo piano secondo piano // e	praticamente	la stiamo ristrutturando perché siamo tre fratelli // e quindi ogni // piano dovrebbe essere destinato a noi // che però
ParlaTO	TOD2002	372-14	372-14	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2002&begin=882660&end=887798	yes	_	_	Approssimazione	sì vita sociale vera e propria // non troppa in verità // vabbè ma non c'' è niente da fare in effetti in settimana è tutto	praticamente	chiuso morto se non // in estate quando c'' è molto turismo in langhe allora sì // se no zero // eh // boh sì però esco // posso
KIP	BOC1004	154-4	154-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1004&begin=450750&end=456081	yes	_	Riformulazione	_	se~ tra segnalazione e recensione? // la segnalazione è più legata magari appunto alla s~ a chi ehmh // eh // a rece~ cioè	praticamente	deve esporre il pro~mh libro che magari è edito // eh mentre // mh // anche la segnalazione // sì la segnalazione scusi
KIP	BOD2009	10-17	10-17	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2009&begin=30649&end=35993	yes	_	Prolettico	_	spostare lo facevano // però effettivamente nella zona nuova del mio quartiere che è quello dove abito io ora era	praticamente	tutto vuoto // okay // un sacco di spazio una zona tranquilla dove ci siam'' sempre trovati da dio alla fine conveniva
KIP	BOA3021	249-3	249-3	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3021&begin=588383&end=591395	yes	_	Prolettico	_	benson ha fatto ha pu~ cioè mh // in realtà non l'' ha prodotto lui l'' han~ l'' ha prodotto? // inri torino // sì que~ che	praticamente	è tiromancino // l'' inferno dei vivi // sì no ma infatti inri tipo anche levan~ eh ha prodotto il primo album di levante //
KIP	BOA3021	466-7	466-7	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3021&begin=971516&end=975980	yes	_	Prolettico	_	// sì ma m'' ha detto mh // mi ha detto la marta che eh è la la ragazza del eh del mio gruppo // ehmh // eh ha detto che l'' ha visto	praticamente	che è arrivato alle otto e mezza in facoltà // // cioè no eh // eh lei è arrivata alle otto e mezza lui stava andando via // sì
KIP	BOA3021	552-0	552-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3021&begin=1134090&end=1137876	yes	_	Prolettico	Attenuazione	mi fa incazzare a me fa incazzare lui eh s~ c'' è // quello è il messaggio subliminale la rabbia // sì no ma eh vi dico questo //	praticamente	sì lui era andato quella mattina per fare ''sto esame // eh e tipo non c'' era // e ha deciso quindi di iniziare a prepararne un
KIP	BOA3021	1490-0	1490-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3021&begin=3147635&end=3149851	yes	_	Prolettico	_	l'' app // io non l'' ho ancora cioè ho visto un po'' il funzionamente non so se effettivamente ha dei benefici o cosa // ehm //	praticamente	ti fa visualizzare // eh // le le le parole // solo le ci~ praticamen~ ti manda // a raffica tutte le parole tutta la
KIP	BOA3021	1744-1	1744-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3021&begin=3640507&end=3641838	no	_	_	_	dio po'' che caldo // merda // in piedi stretti // // // concerto da sala // con // il basso diventava un contrabbasso // // sì	praticamente	sì // con ozzy osbourne che entra e dice // tipo mi ero slogato la spalla quella volta // mamma mia // cos'' è che ti dice già
KIPasti	KPS003	54-0	54-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS003&begin=117820&end=122930	yes	_	Prolettico	_	una nuova società con alcune delle squadre con cui abbiamo giocato in serie a quest''anno // mh non tutte // e mh //	praticamente	rinizia una sett~ cioè adesso son rimasti gli ultimi allenamenti a bologna ma son tipo // tre e poi // tutto agosto //
KIPasti	KPS003	65-0	65-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS003&begin=159730&end=163200	yes	_	Prolettico|Filler	_	si vede e nel caso le intenzioni sono buone perchè mh appunto abbiamo unito queste squadre siamo tutti presi bene //	praticamente	non ti chia~ scusa la tua squadra come si chiama adesso // no allora // adesso il nome della squadra nuova sarà tipo le
KIPasti	KPS003	310-3	310-3	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS003&begin=805010&end=809480	yes	_	Filler	_	la sorella delle gemelline // mh // giulia? // mh giu~ eh insomma // sai già che si chiama giulia // con hous~ // ma cioè	praticamente	erano due wurstel di mozzare~ di mo~ ehm di mortadella // di mozzare~ // così // che bea ha fatto di quei uà // e si è e io così
KIPasti	KPN017	29-1	29-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN017&begin=82535&end=85167	yes	_	Prolettico	_	ma si dai è una pasta asciutta via // alla nonna è piaciuta? // mh secondo me non non t~ non tantissimo // mh // mh // infatti	praticamente	ne ha tenuto là un mucchiettino così adesso // ma tienne di più che xxx // eh // #a gh''è mìa piasù dimondi // son delle
KIPasti	KPN017	386-0	386-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN017&begin=1295305&end=1299482	yes	_	Filler	_	// mhmh sì sì // cioè è separato ma // si sta bene ecco nella sua // e co~ mhmh e coniglietti? c''erano? // ci sono ci sono //	praticamente	ehm stanno fuori son tutti umidi // cucciolini // sì // però sì // si vanno a riparare? un po'' sotto una tanetta o? // ma le
KIPasti	KPN017	451-1	451-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN017&begin=1518841&end=1523742	yes	_	Prolettico	Marcatura dell'inferenza	vale un anno? // un anno un anno sì sì // c''era un''altra clausoletta ''spetta perché era anche quella lì // non si sa mai // mh	praticamente	se perdi le chiavi puoi rifarle gratuitamente // è aggiunta? // ah okay // ehm che in genere è più importante su una
ParlaTO	PTA006	754-4	754-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA006&begin=1914029&end=1916034	yes	_	_	Approssimazione	quindi // quello che manca a torino è un''altra metro ad esempio altre linee di metro // mh mh mh mh // ma dicono di farla	praticamente	// se ciao // è da quando sono arrivata che mi han detto arriva la metro // sono lungo il quattro praticamente // sì? // xxx
ParlaTO	PTA006	1613-0	1613-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA006&begin=3672516&end=3673468	yes	_	_	Specificazione	umbri di dove ah di terni a io gli ho fatto ah io tifo grifo tifo perugia gli ho detto allora // e il bambino gli ha fatto //	praticamente	sì // mh mh // // abbiamo iniziato a a scontrarci un attimo il padre fa allora // col bambino? // sì anche col bambino
ParlaBO	PBC017	21-6	21-6	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC017&begin=56261&end=62471	yes	_	Prolettico	_	un po'' di anni // ehm si trova meglio a casalecchio le piaceva di più dove stava prima? // beh prima ero fuori in campagna	praticamente	ero eravamo isolati diciamo facevamo i custodi in una villa // su a paderno gaibola paderno fra gaibola e paderno era una
ParlaBO	PBC017	44-1	44-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC017&begin=137840&end=140014	yes	_	Introduzione o ripresa del topic|Prolettico	_	che facevano i buchi nelle strade con il martello pneumatico che veniva a casa che tremava ancora // ah okay // // // e	praticamente	diciamo // e gli anni più belli li ho vissuti a casalecchio perché l''infanzia da diciamo da quindici anni si cominciano
ParlaBO	PBC017	340-3	340-3	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC017&begin=1043700&end=1049654	yes	_	Prolettico	_	c''era il diciannove // erano due tre linee che avevano avevano messo anche questi autobus doppi // un autista solo	praticamente	con la con la d normale senza la e perché allora aver la e era // non è che potevano obbligarmi a me perché io sono entrato con
ParlaTO	TOD2003	311-2	311-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2003&begin=847955&end=853311	yes	_	Prolettico|Filler	_	grosso così che puzzava come un camion dell'' immondizia ma piccolo così puzzava da schifo proprio // // e niente	praticamente	era l'' unica compagnia del mio coinquilino che era un signore di // avrà avuto quarant'' anni all'' epoca // e e niente // e
ParlaTO	TOD2003	360-0	360-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2003&begin=981766&end=984233	yes	_	Prolettico	_	// senti e quindi la tua casa ideale come sarebbe cioè proprio da zona città come è fatta dentro alle stan~ tutto // mhmh //	praticamente	è un'' intervista per una rivista di architettura // sì // praticamente sì // okay la mia casa ideale è così // vista mar~
ParlaTO	TOD2003	362-0	362-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2003&begin=984630&end=985538	yes	_	_	Attenuazione	come è fatta dentro alle stan~ tutto // mhmh // praticamente è un'' intervista per una rivista di architettura // sì //	praticamente	sì // okay la mia casa ideale è così // vista mar~ allora sulla spiaggia // mh // enormi finestre // mh // tende bianche //
ParlaBO	PBA015	16-0	16-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA015&begin=26197&end=27400	yes	_	_	Approssimazione	è ben collegata // coi mezzi // allora // esattamente dove abito io no // però è vicino a @nomeluogo // dove invece passa //	praticamente	qualsiasi autobus // ah eh okay // ho capito // e hai sempre vissuto lì? // oppure anche in altre zone // ho vissuto in
ParlaBO	PBA015	178-4	178-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA015&begin=388410&end=389911	yes	_	_	Specificazione	// e c''è una porta che però non mi viene come si chiama // sì // sì // no però ho capito // però ho capito qual è // quella è	praticamente	lì // sì // va bene // a posto // okay // mh e secondo te // ehm la città in generale è sicura? // oppure // allora // mh sicura
ParlaBO	PBA015	482-4	482-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA015&begin=1066396&end=1071045	yes	_	_	Marcatura dell'inferenza	no // anche perché // forse inizierò a frequentarli di più una volta patentata // certo // perché sono raggiungibili	praticamente	solo in motorino o macchina meglio se macchina // sì solamen~ // ehm ci sono stata raramente // a volte per tipo dei picnic
