corpus	conv_id	token_id	token_span	audio	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	TOD1014	2405-1	2405-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1014&begin=6108531&end=6109980	yes	_	_	Approssimazione	gebbia // che è l'' ideatore del brand l'' inventore del brand // che inizialmente si rivolgeva a una nicchia di // skaters	praticamente	// ma è diventato un fenomeno globale un brand globale // di streetwear // ha inventato un modo nuovo di // distribuire la
ParlaBO	PBA002	689-0	689-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA002&begin=1408690&end=1409784	yes	_	Filler	_	no qua costerebbe molto di più // eh immagino perchè vedo i miei compagni tutti eh ragazzi devo cercare una casa aiuto //	praticamente	// vabbè poi // domande sugli studi direi che // ah beh ecco una cosa che // non vi ho mai cioè // no~ non so voi // parte~ pa~ eh
KIP	TOD1002	14-4	14-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1002&begin=37190&end=39570	yes	_	_	Specificazione	c'' è il fatto per esempio che oggi // giorno di apertura delle lezioni // il sito internet // dell'' università si è	praticamente	bloccato // con l'' impossibilità di vedere // di vedere // le aule di lezione // e molte altre cose del genere // perché
KIP	TOD1002	951-7	951-7	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1002&begin=2873712&end=2877175	yes	_	_	Specificazione	poco // i concerti dei beatles // che ci sono in questo film che ho visto ieri // ai concerti dei beatles non si sentiva	praticamente	niente // perché le ragazze urlavano in modo tale // che // non si sentiva // quasi niente // ma c'' è un altro aspetto che è
ParlaBO	PBB033	12-16	12-16	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=33562&end=39350	yes	_	_	Approssimazione	borgo panigale // // faceva parte della periferia ma anche quasi della campagna adesso è più inglobato dentro la città	praticamente	per cui // sì // col passare degli anni la città si è espansa e borgo panigale è stato risucchiato per cui è un p~ quartiere
ParlaBO	PBB033	17-11	17-11	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=51330&end=59006	yes	_	_	Approssimazione	come si è trovato con gli abitanti di borgo panigale // ma sai io poi abitavo mh a casteldebole esattamente che era	praticamente	un paesino di borgo panigale e faceva // mhmh // ah sì // noi dicevamo addirittura che era un po'' u~ fuori confine insomma
ParlaBO	PBB033	179-6	179-6	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=571682&end=577339	yes	_	Prolettico	_	è l''altro segreto è quello del portico del del palazzo del podestà // mhmh // mhmh // dove si parlavano e si confessavano	praticamente	i lebbrosi da una parte all''altra dell''arco // sentir~ sì // lì poi c''erano anche se guardi in alto verso piazza maggiore
ParlaBO	PBB033	266-7	266-7	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=824722&end=830367	yes	_	Prolettico	_	prima volta che son andato a san luca è perché c''era una tradizione a bologna // mhmh // che noi che abitavamo in campagna	praticamente	a casteldebole nel quartiere di borgo panigale // tutti i lunedì di pasqua // i miei genitori andavano a san luca a piedi
ParlaBO	PBB033	303-4	303-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=932391&end=938054	yes	_	_	Specificazione	c''era anche la funivia che portava a san luca una volta che non c''è più // mhmh // no è vero non c''è più sì sì // eh e che era	praticamente	sotto san luca lì proprio dove il posto dove chiamano ancora la funivia // mhmh // i bolognesi che passano per via andrea
ParlaBO	PBB033	308-1	308-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=949621&end=954906	yes	_	Introduzione o ripresa del topic	_	c''era quella casa lì dove adesso credo ci sia la pizzeria dei ragazzi non so se c''è ancora quella // da lì si prendeva // eh	praticamente	la teleferica e si andava su a san luca eh // eh si era comodo // eh però è già tanti anni che non c''è più // mhmh // ma san luca è è
ParlaBO	PBB033	512-14	512-14	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=1605339&end=1610080	yes	_	Chiusura del topic	_	adesso non ricordo bene piove // mhmh // e viene sempre questa spruzzata d''acqua eccetera e poi dopo comincia l''estate	praticamente	// // è molto interessante sì sì // eh eh e altra altre tradizioni particolari no non ce ne sono altre queste sono le più //
ParlaBO	PBB033	558-4	558-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=1737806&end=1743300	yes	_	Prolettico	_	di // ah sì // e e dentro c''hanno la ghiacciaia rest~ tutta restaurata sopra c''hanno fatto // tutto un vetro perché	praticamente	lì c''era la ghiacciaia che era il frigo di una volta no? // quando veniva la neve d''inverno che veniva molta neve la
ParlaBO	PBB033	568-26	568-26	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=1771979&end=1782026	yes	_	Prolettico	_	su e sotto c''hanno fatto la cantina in questa ghiacciaia eccet~ e c''è un vetro a pavimento vedi tutta la cantina giù sotto	praticamente	hanno restaurato tutta la ghiacciaia // e sopra in teoria lì si potrebbe anche mangiare ti possono anche // sì // se non
ParlaBO	PBB033	578-11	578-11	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=1803834&end=1808585	yes	_	_	Specificazione	dei dei portici poi è fatto dentro il piccolo teatro che avevano // mhmh // eh per cui anche lì si mangia in un posto dove	praticamente	è un trea~ è un teatrino // è molto bello da visitare per cui val la pena e quella era la più antica ghiacciaia // che c''è
ParlaBO	PBB033	611-9	611-9	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB033&begin=1905466&end=1911606	yes	_	Prolettico	_	// e in questa osteria del pratello avevano dei tavolini dove avevano fatto una // a buca dentro il tavolo che c''era	praticamente	il il tegame a tavolo // e dove ti versavano la minestra in fagioli dentro questo qui e ognuno col proprio // col proprio
ParlaTO	TOD2004	107-4	107-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2004&begin=227640&end=229966	yes	_	Filler	_	// però è sempre molto accogliente colorata e // e poi è in collina // quindi aria fresca // dove di preciso? // e a carro eh	praticamente	// sopra sopra levanto in collina // cinque terre // ho capito // ah beh bello // eh bel~ la zona è bellissima // ci andate
KIP	BOD2006	93-0	93-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2006&begin=192695&end=196055	yes	_	Introduzione o ripresa del topic	_	parte della mia vita cioé quello dove vivo tutt'' ora // é un quartiere residenziale quindi devo spostarmi // okay //	praticamente	non non copro nessuna distanza a piedi // mh okay quindi // tranne quando voglio uscire per bere // okay allora ti
ParlaBO	PBA016	197-8	197-8	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA016&begin=274109&end=279109	yes	_	_	Approssimazione	via toscana // che è appunto quindi verso diciamo il passo della futa // x // eh c''è san ruffillo // eh che è lì è al confine	praticamente	tra bologna e rastignano // mhmh // è b~ è bello? // eh // beh // ma s~ cioè allora io a me piace molto essere di rast~ di di san
ParlaBO	PBA016	255-1	255-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA016&begin=379637&end=385179	yes	Presa di turno	_	_	// eh // ecco // che si chiama // che si chiama @nomeluogo // eh fuori @nomeluogo // ah ho capito // hai capito? // sì // eh	praticamente	da @nomeluogo invece di andare al centro vai da vai dalla parte dove ci sono i // s~ // i barili di fieno che rotolano e le
ParlaBO	PBA016	381-13	381-13	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA016&begin=631497&end=638044	yes	_	_	Intensificazione	coltivano niente però è bella poi cioè dietro ci sono i // c''è tutta @nomeluogo che è una via storica che ancora è rimasta	praticamente	intatta dai dal eh da~ dall''ottocen~ dal novecento // anche le stesse persone non non muoiono mai son sempre le stesse //
ParlaBO	PBA016	584-13	584-13	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA016&begin=959919&end=965248	yes	_	Prolettico	_	xxxxx cani // no è stato subito da subito una gag // // e // eh perché noi a~ prendiamo la pizza tipo qua vicino alla porta	praticamente	c''è il portico // mh // che è un posto che fa tipo boh la pizza fino a tarda notte // ah ho capito capito quel barazzo sì ci
