corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	BOC1009	2-0	2-0	BO117	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1009&begin=3933&end=7308	exam	00:12:21	2	asymmetric	yes	fixed	2018	BO	2-Professionals	F	lombardia	36-40	yes	Presa di turno	_	_	// eh // posso pensarci un attimo? s~ // sì sì sì io scrivo qua lei ci pensi con comodo // va bene // va bene // okay // //	dunque	lei su quali manuali si è preparata da non frequentante? // su bianchi andorno emh // e poi penco e domaneschi // mhmh // e
ParlaTO	PTB024	18-0	18-0	TOI109	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB024&begin=40726&end=41280	semistructured-interview	00:23:23	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	veneto	76-80	yes	_	Filler	Marcatura dell'inferenza	// sì tutto quello che ti viene in mente // eh // coi miei genitori // mh // che // a quei tempi avevo diciassette anni //	dunque	// mh mh // mi ricordo benissimo // dove ci dove // siamo andati a abitare // mh mh // siamo andati a abitare nella zona di
ParlaTO	PTB024	616-2	616-2	TOI109	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB024&begin=1091593&end=1095350	semistructured-interview	00:23:23	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	veneto	76-80	yes	_	Riformulazione|Filler	_	con loro // ah // ma perché non aveva~ non avev~ eh e la macchina quando l''avevate // quando l''avete presa? // la macchina	dunque	mi sembra del sessan~ // sessanta nove? // sess~ sessantotto sessan~ // io mi ricordo sessantotto poi // ah ho capito //
ParlaTO	PTB024	710-0	710-0	TOI109	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB024&begin=1258848&end=1261060	semistructured-interview	00:23:23	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	veneto	76-80	yes	_	Prolettico|Filler	_	poi avete iniziato ad andare anche in altri in altri posti tipo in liguria? // eh beh in altri posti siamo andati // eh //	dunque	lì è cos''è nelle marche? // ma in liguria quando siete andati? // ah in liguria // liguria abbiamo iniziato // eh u~ devo
ParlaBO	PBB009	1455-0	1455-0	BOI028	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB009&begin=3460122&end=3460873	semistructured-interview	01:12:38	3	asymmetric	yes	fixed	2022	BO	2-Professionals	F	molise	71-75	yes	_	Prolettico	_	c''è // sì // è bellissimo // no c''è stato un periodo che è stato pesante nel ah ecco alla fine degli anni ottanta // sì //	dunque	// negli anni ottanta c''avevo la polizia la camionetta delle po~ della polizia sempre sotto casa perchè c''era la sede
ParlaTO	TOD2011	135-2	135-2	TO047	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2011&begin=986882&end=995100	semistructured-interview	00:31:38	2	symmetric	yes	fixed	2018	TO	0-Students	F	sicilia	21-25	yes	Presa di turno	Filler	_	detto che ti piacerebbe andare a vivere all'' estero hai mai fatto viaggi non lo so in posti particolari // sì // e allora	dunque	eh i viaggi all'' estero che sono stati mh diciamo viaggi studio // eh risalgono tutti al periodo delle superiori ad
KIP	TOA1003	1394-0	1394-0	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=2910302&end=2912779	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	yes	_	Riformulazione	_	finiamo contemporaneamente t'' accompagno un pezzo così ti racconto che cosa ho fatto xxx // sì // allora // io credo di //	dunque	qui c'' è un equivoco probabilmente // nel senso che // ehm tutto questo // ha a che fare sicuramente con l'' idea che la
KIP	TOA1003	1628-4	1628-4	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=3603560&end=3605928	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	no	_	_	_	// e dunque la letteratura // è in grado di eclissare il dato banale // no // perché se lei lo scrive così // xxx // la parola e	dunque	la letteratura // sì non si capi~ // abbiamo un soggetto duplice // e il verbo deve essere plurale // xxx // plurale è vero
ParlaTO	PTD008	5-0	5-0	TOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD008&begin=9110&end=10380	semistructured-interview	00:31:09	3	asymmetric	yes	fixed	2019	TO	2-Professionals	F	lombardia	26-30	yes	Presa di turno	Introduzione o ripresa del topic	_	vi tengo prigionieri eh se poi dovete andare io non // sì no non vuoi passare // basta uno che si // okay // va benissimo //	dunque	in che zona di torino vivi? // parella // e hai sempre vissuto qui? // sì // da sempre? // da sempre // okay // nella stessa
KIP	TOA1001	293-3	293-3	TO026	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1001&begin=1217470&end=1219572	office-hours	00:36:22	2	asymmetric	no	free	2018	TO	2-Professionals	M	piemonte	41-45	yes	_	Filler	_	solo questo va'' come esempio buono // qua va bene // qui metterei sempre un tradizionalmente lì // qui lo eliminerei	dunque	qui // ma cioè // sono considerazioni eh // dunque ve~ // s~ s~ sono considerazioni diciamo valutative sul perché la
KIP	TOA1001	296-0	296-0	TO026	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1001&begin=1237153&end=1238096	office-hours	00:36:22	2	asymmetric	no	free	2018	TO	2-Professionals	M	piemonte	41-45	yes	_	Filler	_	// qui metterei sempre un tradizionalmente lì // qui lo eliminerei dunque qui // ma cioè // sono considerazioni eh //	dunque	ve~ // s~ s~ sono considerazioni diciamo valutative sul perché la tradizione di studi sul linguaggio giovanile in
