corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	TOA1003	77-1	77-1	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=148142&end=149254	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	no	_	_	_	vediamo se neri mi può mandare qualche cosa // perché son proprio fondamentaliproprio l'' argomento fondamentale // e	direi	di sì // ecco // sempre a proposito di neri in quell'' articolo che lei ha letto // sì? ho poi controllato allora in realtà
KIP	TOA1003	180-2	180-2	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=383947&end=385506	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	no	_	_	_	il fatto che dobbiamo acquisire un volume del genere il problema è trovarlo // certo // mhmh // nel senso che se // io le	direi	di fare questo // appunto visto se lei mi manda qualche link // // ehm // scusi zittisco questo coso // mh di nulla // ehm su
KIP	TOA1003	230-2	230-2	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=471156&end=472424	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	no	_	_	_	// ah allor~ queste le sono tutte perché mi ero segnata i punti sì // no no sono tutti // i i punti che avevo // allora io	direi	// eh a questo punto le cose importanti sono due // beh innanzitutto è già un dato il fatto che // la rivista di studi
KIP	TOA1003	375-4	375-4	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=808793&end=812914	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	yes	_	_	Intensificazione	// idee o ipotesi originali // n~ // lei ha letto delle cose e ha le ha sintetizz~ // certo // ora però // è importante anzi	direi	è tassativo // denunciare sempre // la fonte // la propria fonte // schematizzando // i rapporti tra me che scrivo // e //
KIP	TOA1003	386-1	386-1	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=830894&end=833114	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	no	_	_	_	i rapporti tra me che scrivo // e // la mia bibliografia possono essere di tre tipi // uno // citazione diretta // dire~ // e	direi	che in questo caso i~ il dubbio non c'' è // tra virgolette si mette una bella nota // perfetto // e poi sarà // costanza di
KIP	TOA1003	841-4	841-4	TO061	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=1673110&end=1674608	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	0-Students	F	valle-d-aosta	21-25	yes	_	_	Modulazione del grado di confidenza	// avrà avrà tutta una serie di complicazioni grafiche e tipografiche // certo // grafiche // no meglio non rischiare	direi	// su cui secondo me è meglio non rischiare // no le sto p~ stavo pensando che effettivamente su un altro computer ho word
KIP	TOA1003	892-1	892-1	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=1759603&end=1760603	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	yes	_	Filler	_	mh? // ehm // e poi questo è un carattere troppo grande // non so che cosa sia questo se un tredici // eh può essere // sì // ehm	direi	// u~ a~ perché lì ho usato un undici mi pare // eh // per le note un undici e questo sì dovrebbe essere un tredici // allora
KIP	TOA1003	896-1	896-1	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=1765105&end=1766407	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	yes	_	Introduzione o ripresa del topic|Prolettico|Filler	_	// u~ a~ perché lì ho usato un undici mi pare // eh // per le note un undici e questo sì dovrebbe essere un tredici // allora	direi	// direi che normalmente nello standard abbiamo dodici // dodici // per il testo e dieci per le note // note // va bene //
KIP	TOA1003	897-0	897-0	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=1766598&end=1770010	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	no	_	_	_	perché lì ho usato un undici mi pare // eh // per le note un undici e questo sì dovrebbe essere un tredici // allora direi //	direi	che normalmente nello standard abbiamo dodici // dodici // per il testo e dieci per le note // note // va bene // eh? //
KIP	TOA1003	957-2	957-2	TO065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA1003&begin=1878743&end=1879798	office-hours	01:02:39	3	asymmetric	no	free	2019	TO	2-Professionals	M	piemonte	51-55	no	_	_	_	// questo adesso poi lo vediamo quando poi sarà // ho capito // son cose che sì sì // quando sarà il momento // però io	direi	// tutto sommato lei se la cava abbastanza bene a scrivere // se mi posso permettere // a volte // c'' è verame~ è fino
