corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaBO	PBB032	763-0	763-0	BOI117	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB032&begin=1527560&end=1530843	semistructured-interview	00:47:12	3	asymmetric	yes	fixed	2024	BO	4-Clerical-Workers	F	calabria	46-50	yes	_	Introduzione o ripresa del topic	_	come università // okay // okay buono // vabbè anche mia sorella tutt~ le mie sorelle hanno studiato anche qui // okay //	quindi	una ha fatto giurisprudenza l''altra economia aziendale // quindi // mhmh // non posso dir niente per me va bene // oh bene
ParlaBO	PBB032	777-0	777-0	BOI118	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB032&begin=1552000&end=1554360	semistructured-interview	00:47:12	3	asymmetric	yes	fixed	2024	BO	2-Professionals	M	calabria	51-55	yes	_	Introduzione o ripresa del topic	_	tu sei andata a bologna no // lui è più vecchio di me // no // okay // sono andato a roma perchè c''era mia sorella // okay //	quindi	sono andato che c''era lei e ho abbiamo // mh // prima stavamo in un appartame~ in appartamento eravamo insieme // ah ho
ParlaBO	PBB032	916-14	916-14	BOI118	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB032&begin=1812660&end=1816020	semistructured-interview	00:47:12	3	asymmetric	yes	fixed	2024	BO	2-Professionals	M	calabria	51-55	yes	_	Chiusura del topic	_	poi abbiamo un carattere che evitiamo // mhmh // sì // se una cosa è storta magari la vediamo un po'' più dritta dell''altro	quindi	// ah // sì // ho capito // non non // sì // non ce ne mettiamo tante addosso // ecco // okay // eh tornate // cioè tornate ogni
ParlaTO	PTD015	193-1	193-1	TOI072	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD015&begin=384903&end=387200	semistructured-interview	00:48:55	4	asymmetric	yes	fixed	2019	TO	2-Professionals	F	piemonte	36-40	yes	_	Filler	_	zona molto verde é una zona molto tranquilla nel senso che non non ci sono non c''é molto traffico // mh mh // mh mh // eh // e	quindi	é é piena di servizi // mh mh // quindi // eh si sta bene // okay in che zona rimane lungo po antonelli? // rimane tra il ponte
ParlaTO	PTD015	487-0	487-0	TOR001	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD015&begin=1009682&end=1013510	semistructured-interview	00:48:55	4	asymmetric	yes	fixed	2019	TO	2-Professionals	F	lombardia	26-30	yes	_	_	Marcatura dell'inferenza	un''altra // realtà nella stessa città diversa e trovare comunque persone // insomma di un certo valore // mh mh mh //	quindi	hai trova~ cioé comunque é stata un''esperienza positiva sia diciamo la parte pre // in in collina che la parte? // mah eh
ParlaTO	PTD015	1117-7	1117-7	TOI073	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD015&begin=2279793&end=2282000	semistructured-interview	00:48:55	4	asymmetric	yes	fixed	2019	TO	2-Professionals	F	piemonte	36-40	yes	_	Chiusura del topic	_	no non é di torino lui é é di bra // okay // peró ha una // casetta // molto piccola // in vanchiglia // eh peró da da un annetto	quindi	// ah okay quindi non hai posto lì? // non ho seguito l''evoluzione no questo no // okay // mh // perché é uno dei grandi
ParlaTO	PTD015	1337-4	1337-4	TOI073	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD015&begin=2689489&end=2692800	semistructured-interview	00:48:55	4	asymmetric	yes	fixed	2019	TO	2-Professionals	F	piemonte	36-40	no	_	_	_	// cioé é un buco // é esaltare la propria città ma // xxx // c''é la zia di forlì a forlì // // // siamo educatrici del nido	quindi	// quindi parte subito // // eh // ne é valsa la pena? // sì // no mi é uscita come domanda ma era un''affermazione ne é valsa la
ParlaTO	PTB001	738-1	738-1	TOR005	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=1366010&end=1368330	semistructured-interview	01:17:52	3	asymmetric	yes	fixed	2019	TO	0-Students	M	abruzzo	31-35	no	_	_	_	i veneti // eh // xxxx // ah ah okay // eh sì quella sì eh // cioè anche loro non è che hanno avuto vita facile però // sì sì // ah	quindi	pure con i veneti c''era un po'' di // eh // eh eh eh un po'' sì // perché // si invadeva // chiaro // è quello il problema
ParlaTO	PTB001	1558-0	1558-0	TOR005	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=2797564&end=2799804	semistructured-interview	01:17:52	3	asymmetric	yes	fixed	2019	TO	0-Students	M	abruzzo	31-35	yes	_	_	Marcatura dell'inferenza	// di tutto c''era sì su // f~ mh di tutto abbigliamento gos~ mercerie c''erano tutti i negozi bar // sono spariti tutti //	quindi	ha perso comunque qualcosa xxx // certo ha perso tutto // perché secondo voi eh? // ma perché non and~ andando via la la xxx
ParlaTO	PTB001	1593-0	1593-0	TOR005	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB001&begin=2869545&end=2872025	semistructured-interview	01:17:52	3	asymmetric	yes	fixed	2019	TO	0-Students	M	abruzzo	31-35	yes	_	_	Marcatura dell'inferenza	più le altre fabbriche che c''è lì // fa sì che questo fa~ eh // a di diventato proprio corso belgio ha perso moltissimo //	quindi	mi pare di capire è una zona un po'' meno viva // rispetto // è un po'' meno no più che è un po'' è un po'' meno viva sì ma viva più di
