corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaBO	PBA016	743-2	743-2|743-3	BOI079	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA016&begin=1210597&end=1212009	semistructured-interview	00:32:01	4	asymmetric	yes	fixed	2023	BO	0-Students	M	emilia-romagna	16-20	no	_	_	_	è vicino a pesaro però sul mare sì cioè // gradara? // eh non so // fano? // x // no fano è dentr~ xx è dentro fano // no // no fano	mi sa	che è nell''interno // fano no // eh tipo // vabbè adesso non mi ricordo // mh // x // boh io sono al sud delle marche comunque
ParlaTO	TOD2013	452-12	452-12|452-13	TO071	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2013&begin=1104276&end=1107922	semistructured-interview	01:08:28	3	symmetric	yes	fixed	2019	TO	0-Students	M	abruzzo	31-35	no	_	_	_	allora corsoubria è lunghissima // eh si infatti xxx se // pure quella tipo corso le~ anzi a un certo punto corso umbria	mi sa	che // vaafinire in corso lecce non mi vorrei sbagliare // non sono mai arrivata fi~ // potrebbe essere non son sicura //
KIP	BOA3017	54-0	54-0|54-1	BO145	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=73328&end=74108	free-conversation	00:30:22	4	symmetric	no	free	2019	BO	0-Students	F	emilia-romagna	21-25	no	_	_	_	// a parte che // no perché scivola // a parte che pallotti fa anche il coso // l'' aperitivo no? // sì non so come lo fa cioè //	mi sa	che costa // vabbè però è anche // è anche ristorante // quella volta che ci siamo andati noi non c'' era un granché mi pare //
KIP	BOA3017	424-0	424-0|424-1	BO139	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=636952&end=638992	free-conversation	00:30:22	4	symmetric	no	free	2019	BO	0-Students	M	emilia-romagna	21-25	no	_	_	_	vuol dire che ho mangiato e che siamo a tavola // // un giorno ci trascriviamo mentre scopiamo? // daniela // // // //	mi sa	che dobbiam bippare tutto // // tutti i due minuti // no perché? // eh? // // a beh i due minuti // // ti puoi impegnare? // oh
KIP	BOA3017	488-1	488-1|488-2	BO145	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=715497&end=718857	free-conversation	00:30:22	4	symmetric	no	free	2019	BO	0-Students	F	emilia-romagna	21-25	no	_	_	_	xxxx // eh? // la finiremo quando torniamo xxxxxx // che dici che dici l'' uovo? // eh sì // vuoi l'' uovo? // mh mh // ma	mi sa	che dovete parlare forte raga se no dopo andrea non sente // fate normale // // meglio che se non capisco niente scrivo
KIP	BOA3017	611-6	611-6|611-7	BO145	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=908942&end=912022	free-conversation	00:30:22	4	symmetric	no	free	2019	BO	0-Students	F	emilia-romagna	21-25	no	_	_	_	andre // eh beh te lo ricicla da là // ti porto giù quello là tanto non lo mangio mai // intero // io te ne volevo regalare uno	mi sa	che non te lo regalo dopo questa // xx // oddio sono offeso // quanto sei stronzo // se vuoi te ne regalo uno a me non me ne
KIP	BOA3017	636-0	636-0|636-1	BO147	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3017&begin=943800&end=944760	free-conversation	00:30:22	4	symmetric	no	free	2019	BO	0-Students	M	marche	21-25	no	_	_	_	grosso però // quello dell'' anno scorso // questo è quello più piccolo // uno simile // // no è che che non lo mangio // no? //	mi sa	che è un braccialetto xx // te non mangi l''uovo di pasqua // cioèmh // non ti piace l''uovo di pasqua? // no sì mi piace è
ParlaBO	PBA030	1306-7	1306-7|1306-8	BOI116	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA030&begin=2031033&end=2035160	semistructured-interview	00:39:04	3	asymmetric	yes	fixed	2024	BO	0-Students	M	emilia-romagna	21-25	no	_	_	_	con dei pesciolini // mhmh // di pesce // le sardin~ no quello non lo ricordo // ah okay // no no mh dei pesci minuscoli che	mi sa	che non si possono neanche pescare adesso // pesci piccolini // mh // ah beh // mhmh // xx però lo fan lo stesso è buona // mh
KIP	BOA3001	180-1	180-1|180-2	BO003	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3001&begin=358853&end=362216	free-conversation	01:08:22	2	symmetric	no	free	2018	BO	0-Students	F	emilia-romagna	21-25	no	_	_	_	// è la faccia perché alla fine il fisico a meno che tu non abbia davvero il diametro del tavolo // // // cioè non // eccolo	mi sa	che è lui da la foto whatsapp // sì sì è lui // dov'' è andato a finire // sì ora un guardà le condizioni // // vabbè però sì si
KIP	BOA3001	569-10	569-10|569-11	BO003	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3001&begin=1202627&end=1208783	free-conversation	01:08:22	2	symmetric	no	free	2018	BO	0-Students	F	emilia-romagna	21-25	no	_	_	_	// no poi forse non l'' ho xxx no infatti // ma poi si è comportata troppo male // poi il tuo io non lo conosco per niente però	mi sa	di uno che ha un po'' l'' onore anche con gli amici // sì sì abbastanza sì // ha dei bei principi nel senso non è certo uno // no no
