corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	BOD1005	497-3	497-3	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2020305&end=2024587	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	no	_	_	_	// poi pensate al caso semplicissimo dell'' aritmetica in cui si ha xx assiomi che possiamo studiare // e poi però	immagino	che al liceo xxxxx prova commutativa // o avete dimostrato altre proprietà // oh // perché studiare da un punto di vista
ParlaBO	PBA007	41-1	41-1	BOR020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA007&begin=157750&end=158745	semistructured-interview	00:35:18	3	asymmetric	yes	fixed	2022	BO	0-Students	F	trentino-alto-adige	21-25	yes	Conferma dell'attenzione	_	_	e le pepoli le medie // ma di sicuro il liceo è stato quello un po'' più importante diciamo per la mia formazione // certo	immagino	// ehm non lo so ad esempio come come raggiungevi il centro dato che sei insomma // allora io per fortuna ho una abito in un
ParlaBO	PBA007	79-1	79-1	BOR020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA007&begin=338710&end=344228	semistructured-interview	00:35:18	3	asymmetric	yes	fixed	2022	BO	0-Students	F	trentino-alto-adige	21-25	yes	_	_	Modulazione del grado di confidenza	sempre appunto queste chicche un po'' così eh // // quindi io l~ la vedevo come un po'' un cartone animato bologna // beh	immagino	molto bello hai hai dato una nuova prospettiva xx adesso // // eh e tuo padre anche quindi è di bologna? // mhmh mio padre è
ParlaBO	PBA007	264-4	264-4	BOR020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA007&begin=898800&end=900380	semistructured-interview	00:35:18	3	asymmetric	yes	fixed	2022	BO	0-Students	F	trentino-alto-adige	21-25	yes	Accordo	_	_	// no mi anzi sarebbe molto bella ma conosco le mie i miei limiti e so che li supera e anche // // un bel po'' // eh no no infatti	immagino	// anche perchè non è una cosa che si fa in giornata // no no c~ // a piedi ci metti un bel po'' di tempo poi devi stare negli
ParlaBO	PBA007	479-1	479-1	BOR020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA007&begin=1497040&end=1497830	semistructured-interview	00:35:18	3	asymmetric	yes	fixed	2022	BO	0-Students	F	trentino-alto-adige	21-25	yes	Conferma dell'attenzione	_	_	mia zia // però alla fine comunque non ha molto influito sul nostro ah sul nostro rapporto ecco sinceramente // no	immagino	// quindi siamo riuscite a non ridere in fila per la comunione // questo era già un traguardo // ottimo // eh che non
ParlaBO	PBA007	673-2	673-2	BOR020	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA007&begin=2018150&end=2019540	semistructured-interview	00:35:18	3	asymmetric	yes	fixed	2022	BO	0-Students	F	trentino-alto-adige	21-25	yes	Conferma dell'attenzione	_	_	però // poi quando ti abitui anche a giù // certo // senti un po'' la mancanza di entrambe le parti ecco // certo certo	immagino	// e anche vostro padre ha questa questa impressione? // nostro padre forse preferisce bologna sinceramente anche mh
KIP	BOD2003	157-0	157-0	BO070	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2003&begin=476226&end=481308	semistructured-interview	00:19:25	2	symmetric	yes	fixed	2018	BO	0-Students	F	N/A	N/A	no	_	_	_	è una bella domanda // che opportunità pensi ti possa dare? // innanzitutto vorrei imparare il tedesco // quindi //	immagino	cioè ora come ora non sapendo il tedesco la immagino come una realtà // a cui non posso non potrò mai accedere // però eh so
KIP	BOD2003	157-14	157-14	BO070	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2003&begin=476226&end=481308	semistructured-interview	00:19:25	2	symmetric	yes	fixed	2018	BO	0-Students	F	N/A	N/A	no	_	_	_	possa dare? // innanzitutto vorrei imparare il tedesco // quindi // immagino cioè ora come ora non sapendo il tedesco la	immagino	come una realtà // a cui non posso non potrò mai accedere // però eh so che tantissimi della mia facoltà hanno imparato il
KIP	BOD2003	162-4	162-4	BO070	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2003&begin=496687&end=498540	semistructured-interview	00:19:25	2	symmetric	yes	fixed	2018	BO	0-Students	F	N/A	N/A	no	_	_	_	mia facoltà hanno imparato il tedesco quindi // mi toccherà farlo e mi piacerebbe farlo // comunque // non so come la	immagino	la im~ // immagino più che altro un'' università tedesca // eh la mia facoltà // cioè un luogo in cui // puoimh // accedere
KIP	BOD2003	163-0	163-0	BO070	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2003&begin=499094&end=501574	semistructured-interview	00:19:25	2	symmetric	yes	fixed	2018	BO	0-Students	F	N/A	N/A	no	_	_	_	imparato il tedesco quindi // mi toccherà farlo e mi piacerebbe farlo // comunque // non so come la immagino la im~ //	immagino	più che altro un'' università tedesca // eh la mia facoltà // cioè un luogo in cui // puoimh // accedere direttamente a //
KIP	BOD2003	232-0	232-0	BO057	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2003&begin=704758&end=705590	semistructured-interview	00:19:25	2	symmetric	yes	fixed	2018	BO	0-Students	F	calabria	21-25	yes	Conferma dell'attenzione	_	_	mi è davvero piaciuta molto // perché non ci vivresti mai? // perché è molto sporca // è anche difficile viverci penso //	immagino	// e con chi sei stata lì? // coneh il mio ragazzo // vi siete divertiti // moltissimo // è davvero una città // non non non mi
ParlaBO	PBC017	409-1	409-1	BOR009	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC017&begin=1255260&end=1256123	semistructured-interview	00:51:26	2	asymmetric	yes	fixed	2022	BO	0-Students	F	piemonte	21-25	yes	Conferma dell'attenzione	_	_	sì @nomeazienda nel settantacinque hanno inglobato tutto // è stata un''operazione // grossa perché hanno dovuto // eh	immagino	// se volevi accettare e prender tutto dovevi accettare quello che avevano loro loro si s~ // erano c''e~ c''era del //
ParlaBO	PBC017	638-10	638-10	BOR009	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC017&begin=1947220&end=1951962	semistructured-interview	00:51:26	2	asymmetric	yes	fixed	2022	BO	0-Students	F	piemonte	21-25	no	_	_	_	adesso mi ha detto che è responsabile della sezione sci // però // mh cioè da quando ha iniziato a frequentare il circolo	immagino	che all''inizio frequentasse solo // poi // no io l''ho frequentato diciamo per eh // diciamo i primi io sono andato in
ParlaBO	PBA027	293-2	293-2	BOR036	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA027&begin=526771&end=528361	semistructured-interview	00:52:21	3	asymmetric	yes	fixed	2024	BO	2-Professionals	F	emilia-romagna	31-35	no	_	_	_	follow up ambulatoriale di sei mesi // ehm // devo dire che dà soddisfazione il fatto di esserci arrivata in fondo // eh ti	immagino	infatti // non so sì queste cose sul campo sono un po'' // cioè sono un po'' impegnative però danno più // mh // più
ParlaBO	PBA027	1406-1	1406-1	BOR036	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA027&begin=2660847&end=2661760	semistructured-interview	00:52:21	3	asymmetric	yes	fixed	2024	BO	2-Professionals	F	emilia-romagna	31-35	yes	Accordo	_	_	ricavare qualcosa da te nel senso quindi // qualcosa // sì // anche lì la fregatura era sempre un po'' dietro l''angolo // ma	immagino	sì // quello è stata forse l''aspetto più faticoso da gestire perchè // questo pesante // sì e molto faticoso per me // mh //
ParlaBO	PBA027	1417-4	1417-4	BOR036	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA027&begin=2671690&end=2675260	semistructured-interview	00:52:21	3	asymmetric	yes	fixed	2024	BO	2-Professionals	F	emilia-romagna	31-35	no	_	_	_	per me // mh // mamma mia // in india // in india // sì // in marocco sì ma meno // secondo me siamo anche cascati // ah io non mi	immagino	allora perchè già in marocco io l''avevo un po'' sofferto // sì // eh // in india // in continuazione // tutti i giorni a delhi
ParlaTO	PTB015	287-5	287-5	TOI051	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB015&begin=377851&end=379551	semistructured-interview	00:50:58	3	asymmetric	yes	fixed	2019	TO	0-Retired	F	piemonte	81-85	no	_	_	_	è la festa di paese // ah // eh // è proprio // una zona così // no ma infatti è carina come festa comunque cioè // sì ma l~ lo lo	immagino	// solo che ogni anno piove // però vabbè vado vado un po'' da lei stasera // // sì // e invece ehm // il prossimo weekend // per
ParlaTO	PTB015	380-1	380-1	TOI052	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB015&begin=499215&end=500140	semistructured-interview	00:50:58	3	asymmetric	yes	fixed	2019	TO	0-Students	F	piemonte	16-20	yes	Conferma dell'attenzione	_	_	perché // eh ma sì perché fa d~ sempre dieci mila cose // lui dice che non si stanca // // fa solo quello che si sente // eh	immagino	// tu ci credi? // ma figu~ // mio marito ha ottantaquattro anni quasi // // però è ancora sempre in movimento // crede di
KIPasti	KPS009	353-1	353-1	PKP040	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS009&begin=1336296&end=1337355	free-conversation	00:27:18	4	symmetric	no	free	2020	BR	4-Clerical-Workers	F	estero	51-55	yes	Conferma dell'attenzione	_	_	// eh cocchia // vediamo? // eh // hai visto? // e allora impara dai // ma mio padre non è molto contento infatti //	immagino	// tuo zio tuo zio xxx // come lau? // il fatto è tutto quel benzene in bocca // mbo // forse x // benzene // il ciclo del
ParlaTO	TOD2006	177-2	177-2	TO999	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2006&begin=426856&end=428119	semistructured-interview	00:13:19	2	symmetric	yes	fixed	2018	TO	2-Professionals	M	piemonte	26-30	yes	Conferma dell'attenzione	_	_	// mh ne ho comprato le riproduzioni in // in resina eh in realtà // non no~ non in legno da migliaia di euro // eh infatti	immagino	// sì sì sì // e comunque aspetta perché stavamo parlando di quello ah sì perché stavamo parlando di casa tua vecchia okay
KIPasti	KPS024	1597-2	1597-2	PKP131	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS024&begin=2575606&end=2578315	free-conversation	00:44:49	2	symmetric	no	free	2020	CE	0-Unemployed	F	campania	21-25	no	_	_	_	che co~ // // come // è grammaticalmente strutturata xx frase // // dolci di coniglietti // così xx li chiamavano // di io	immagino	i co~ i conigli che impastano // dolci di qua~ // no sono dei conigli di // praticamente hai presente quella pasta di riso?
