corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPS021	135-0	135-0	PKP125	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS021&begin=251286&end=252797	free-conversation	00:54:20	3	symmetric	no	free	2020	CE	0-Students	M	_	26-30	yes	_	Introduzione o ripresa del topic	_	// no perché in realtà se non è stato fatto per questo il pane // mh // quindi mi sembrava inutile renderlo bruschetta //	comunque	sono buone le zucchi~ // eh sono buone // io non le ho fatte così buone l''altra volta // olè // sanno di zucchine
KIPasti	KPS021	274-0	274-0	PKP126	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS021&begin=523928&end=526195	free-conversation	00:54:20	3	symmetric	no	free	2020	CE	0-Unemployed	M	_	26-30	no	_	_	_	secondo me lei lo sorpassa questo limite mia mamma usa olio // xxx // e in più di quanto io lo uso di quando cucino io però //	comunque	sempre con oculatezza cioè non // matteo ma tu devi pensare anche che // non esagera // amo comunque ste cose sono orrende
KIPasti	KPS021	961-11	961-11	PKP126	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS021&begin=1851017&end=1854760	free-conversation	00:54:20	3	symmetric	no	free	2020	CE	0-Unemployed	M	_	26-30	yes	_	Introduzione o ripresa del topic	_	// ma lei le sapeva a memoria non ho capito perché // ma erano belle? // eh perché le ha scritte lei se le ricorda s~ sono	comunque	// eh vabbè xxx // hanno un significato quindi // esatto // è difficile che te le dimenti~ // tipo quella del tramonto che
KIPasti	KPS021	1176-3	1176-3	PKP125	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS021&begin=2348069&end=2352154	free-conversation	00:54:20	3	symmetric	no	free	2020	CE	0-Students	M	_	26-30	yes	_	_	Attenuazione	stile margaret atwood che amo // beh non lo farò mai probabilmente però oggi l''ho pensato // beh sarebbe interessante	comunque	registrare tutta la storia // il problema è farla parlare perché vedi oggi l''ha fatto però poi è sempre un po'' // restia //
KIPasti	KPS021	1354-0	1354-0	PKP126	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS021&begin=2785526&end=2785842	free-conversation	00:54:20	3	symmetric	no	free	2020	CE	0-Unemployed	M	_	26-30	yes	_	Introduzione o ripresa del topic	_	quando ne parli si sente proprio che papà ancora ne soffre // giustamente credo vabbè // ma assolutamente ua scherzi //	comunque	// sì teneva ventitré ventiquattro anni che ce~ mo~ cioè venticinque // sì perché papà si è sposato che teneva ventitré
KIPasti	KPS021	1408-0	1408-0	PKP126	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPS021&begin=2924606&end=2929706	free-conversation	00:54:20	3	symmetric	no	free	2020	CE	0-Unemployed	M	_	26-30	yes	_	Introduzione o ripresa del topic	_	mio padre in parte // no non per la questione della sorella che poi è morta ma per la questione del lavoro // del lavoro //	comunque	cioè questa tata non so come definirla adesso la figura professionale di questa donna ma // si chiamava luisa // questa
KIP	TOA3008	442-4	442-4	TO052	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3008&begin=1955986&end=1960020	free-conversation	01:31:46	4	symmetric	no	free	2018	TO	0-Students	M	sicilia	26-30	yes	_	Introduzione o ripresa del topic	_	// e poi l'' ultima parte invece // sullamh sulla traduzione di di sulla traduzione e su gli // la funzione degli ipotesti	comunque	piùmh // di di analisi dei testi proprio e mi hanno inserito lì // mh mh // e ho parlato // ho fatto il mio intervento io ero
KIP	TOA3008	469-3	469-3	TO052	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3008&begin=2027040&end=2029040	free-conversation	01:31:46	4	symmetric	no	free	2018	TO	0-Students	M	sicilia	26-30	yes	_	_	Marcatura dell'inferenza	che mi hanno detto bravo bravo molto bello questo tuo intervento // rossi mi ha accennato un sorriso // quindi nel senso	comunque	mh // che vale più di mille applausi // quindi nel senso // per una persona che non fa niente cioè meglio un sorriso che uno
KIP	TOA3008	1260-0	1260-0	TO052	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3008&begin=3715991&end=3716470	free-conversation	01:31:46	4	symmetric	no	free	2018	TO	0-Students	M	sicilia	26-30	yes	_	Chiusura del topic|Filler	_	superficiale perché mi piace un sacco il ghiaccio // a me mi hanno insegnato xxx con un po'' di panna sarebbe fantastico //	comunque	// e quindi marina? // marina non c'' era // xxxxx x // me ne vado // xxxxxxx // xxx // ah // mi faceva scoreggiare // xxxx //
KIP	TOA3008	1296-1	1296-1	TO048	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3008&begin=3778090&end=3781111	free-conversation	01:31:46	4	symmetric	no	free	2018	TO	0-Students	F	sicilia	21-25	yes	_	_	Marcatura dell'inferenza	u è u // sì è bourdieu // allora bourdieu // xxx // beh se è scritto u // però forse la erre modifica un po'' la u // bourdieu // ma	comunque	i nomi propri sono idiosincratici in francese // non so // sì // xx xxxxxxx // allora loro lo loro lo pronunciano bourdieu
ParlaTO	PTA015	47-0	47-0	TOI032	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA015&begin=103253&end=104860	semistructured-interview	00:37:36	2	asymmetric	yes	fixed	2019	TO	7-Plant-Operators	M	_	21-25	yes	_	Introduzione o ripresa del topic	_	eh // un mese in una cartotecnica // ah okay // e successivamente comunque e anche in parallelo ho sempre continuato //	comunque	una ricerca // eh // mia // mh mh // sia in questi siti in cui mettono annunci sia anche // in posti in cui magari non c''era
ParlaTO	PTA015	310-11	310-11	TOI032	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA015&begin=717670&end=725070	semistructured-interview	00:37:36	2	asymmetric	yes	fixed	2019	TO	7-Plant-Operators	M	_	21-25	no	_	_	_	eh // // ma in realtà quei due // sto bene porca troia // // okay // // ehmh // eh e sì poi suonicchio un po'' di altra roba perché	comunque	le basi teoriche sono le stesse un po'' per tutto quindi // e l''altra roba è? // l''altra roba pianoforte ukulele // ehmh
ParlaBO	PBB007	257-0	257-0	BOR005	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB007&begin=576233&end=582233	semistructured-interview	00:37:32	3	asymmetric	yes	fixed	2022	BO	0-Students	M	_	21-25	yes	_	Introduzione o ripresa del topic	_	// come dire avete trovato un ambiente lavorativo diverso rispetto a quello che vi era a bologna in meglio in peggio? //	comunque	sentivate la mancanza mettiamola così della città e dell''ambiente lavorativo che avevate in città qua a bologna? //
ParlaBO	PBB007	328-7	328-7	BOR005	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB007&begin=752429&end=756958	semistructured-interview	00:37:32	3	asymmetric	yes	fixed	2022	BO	0-Students	M	_	21-25	yes	_	_	Attenuazione	più tranquillamente // xxxx // xxxx // // vivono meglio secondo me // xxx // di sicuro // no però ecco bello vedere che	comunque	si sen~ mh sentivi un po'' la mancanza della città // sì // beh piangevo quando c''era xx quando facevano vedere bologna //
ParlaBO	PBB007	529-3	529-3	BOI025	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB007&begin=1253873&end=1256477	semistructured-interview	00:37:32	3	asymmetric	yes	fixed	2022	BO	5-Service-Workers	M	_	31-35	yes	_	Introduzione o ripresa del topic	Intensificazione	c''erano xxx eh // sì lo so bene // // // e c''erano i vari bar che erano i punti di ritrovo io non eh mh // ah è vero // cioè c''erano	comunque	tanti ragazzi in centro io poi x // adesso lavorandoci di giorno non non sono mai in centro // mhmh // durante la mattina
ParlaBO	PBB007	887-1	887-1	BOI025	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB007&begin=1934672&end=1936924	semistructured-interview	00:37:32	3	asymmetric	yes	fixed	2022	BO	5-Service-Workers	M	_	31-35	yes	_	Prolettico|Filler	_	sì è la curva storia che è // una pendenza esagerata // no un po'' più su secondo me delle orfanelle ci sono i gradini // vabbè	comunque	sì non è mica niente cioè si fa // però è molto bello eh // mhmh // l''avete fatto di giorno o di sera? // di giorno // di giorno
ParlaBO	PBC013	415-4	415-4	BOR009	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC013&begin=1936000&end=1943394	semistructured-interview	01:08:09	2	asymmetric	yes	fixed	2022	BO	0-Students	F	_	21-25	yes	_	_	Marcatura dell'inferenza	se se non avevi poi i soldi per comprarti le scarpe ah oh // ah certo // ehm c''era poco da fare // ehm // perciò quindi lei è	comunque	soddisfatta almeno per quanto riguarda il periodo di dozza dell''amministrazione della città di bologna lei da //
